N	2gram	Voloshinov_1	Myslijsy
1	то есть	1	34
2	то что	5	29
3	может быть	14	26
4	таким образом	12	24
5	в этом	4	23
6	и в	12	23
7	в том	6	23
8	в слове	1	22
9	и не	10	18
10	и проч	3	18
11	что в	2	17
12	при этом	6	15
13	только в	6	15
14	в себе	3	14
15	для нас	7	14
16	как и	5	14
17	того что	3	14
18	то же	5	14
19	так как	9	14
20	если бы	9	13
21	не было	1	12
22	а не	5	12
23	том что	5	12
24	не может	16	11
25	не в	4	11
26	что я	1	11
27	по себе	3	11
28	но и	3	11
29	что слово	2	10
30	по отношению	11	10
31	и потому	2	10
32	мы можем	2	10
33	не только	4	10
34	что мы	5	10
35	между тем	3	9
36	не есть	2	9
37	о том	3	8
38	отношению к	11	8
39	мы не	3	8
40	было бы	1	8
41	тогда когда	2	8
42	но в	5	8
43	сказать что	7	8
44	в своем	2	8
45	по мере	1	7
46	вовсе не	1	7
47	что это	1	7
48	в нем	6	7
49	это не	2	7
50	как в	5	7
51	и что	2	7
52	могут быть	2	7
53	что и	2	7
54	когда мы	1	6
55	так и	4	6
56	независимо от	2	6
57	вместе с	2	6
58	такой степени	1	6
59	что не	4	6
60	и к	4	6
61	во всяком	1	5
62	слово есть	1	5
63	крайней мере	1	5
64	не менее	3	5
65	есть в	1	5
66	к нему	4	5
67	с ним	3	5
68	должно быть	1	5
69	допустим что	2	5
70	не можем	1	5
71	не то	1	5
72	для него	3	5
73	хотя и	1	5
74	в его	2	5
75	один и	1	5
76	и мы	1	5
77	уже в	2	5
78	по крайней	1	5
79	слова и	6	5
80	тем более	1	5
81	все это	3	5
82	не из	1	5
83	и то	2	5
84	есть только	1	5
85	поэтического произведения	3	5
86	как бы	13	5
87	и с	3	4
88	но есть	1	4
89	только как	1	4
90	когда человек	1	4
91	так же	3	4
92	и все	2	4
93	сих пор	3	4
94	точки зрения	14	4
95	хотя бы	5	4
96	до сих	3	4
97	того чтобы	1	4
98	это последнее	1	4
99	а между	1	4
100	в одном	1	4
101	между ними	2	4
102	в таком	1	4
103	можно сказать	5	4
104	с другими	2	4
105	в то	2	4
106	и о	1	4
107	да и	3	4
108	в истории	1	4
109	тем не	3	4
110	мы имеем	2	4
111	что все	1	4
112	сам по	1	4
113	и тем	1	4
114	в котором	3	4
115	и та	2	4
116	от того	4	4
117	же самое	2	4
118	его в	4	4
119	есть уже	2	4
120	слов в	1	4
121	самое слово	2	4
122	если же	2	4
123	в каком	3	4
124	думать что	1	4
125	только на	3	4
126	слово в	3	4
127	как же	2	4
128	и более	3	4
129	в данном	2	4
130	и тот	1	3
131	все эти	3	3
132	и из	1	3
133	то мы	1	3
134	еще не	3	3
135	же время	1	3
136	должны быть	1	3
137	не всегда	1	3
138	этим словом	1	3
139	в поэзии	3	3
140	связи с	1	3
141	кроме того	2	3
142	и так	2	3
143	было в	1	3
144	там где	2	3
145	самом деле	3	3
146	бы не	2	3
147	в смысле	1	3
148	там же	1	3
149	именно в	1	3
150	то в	1	3
151	слова не	1	3
152	те же	2	3
153	нашего времени	1	3
154	в искусстве	1	3
