N	3gram	Propp_Isto_3	NovoeSre
1	не может быть	1	4
2	подобно тому как	1	3
3	равно как и	1	2
4	что в нем	1	2
5	большую роль в	1	2
6	вместе с тем	1	2
7	так же как	1	2
8	с одной стороны	2	2
9	с другой стороны	7	2
10	она не может	1	2
11	что в этом	1	1
12	а не с	1	1
13	то время как	2	1
14	на них нельзя	1	1
15	одна из сторон	1	1
16	у него как	1	1
17	будет сказать что	1	1
18	в том числе	1	1
19	до сих пор	5	1
20	сами по себе	1	1
21	о том чтобы	1	1
22	но и в	1	1
23	можно было бы	1	1
24	так и должно	1	1
25	вполне возможно что	1	1
26	не только в	1	1
27	поставлен вопрос о	1	1
28	в такой же	1	1
29	во всяком случае	2	1
30	как это делали	1	1
31	о том что	2	1
32	в то время	2	1
33	и к ней	1	1
34	и вместе с	1	1
35	это и есть	1	1
36	в большинстве случаев	1	1
37	в том смысле	1	1
38	в том что	5	1
39	как и в	2	1
