N	3gram	Propp_Morf_1	FransuaR
1	в том что	3	6
2	до сих пор	1	4
3	это уже не	1	3
4	с точки зрения	2	3
5	в этом отношении	1	3
6	на самом деле	4	2
7	и в других	1	2
8	не входит в	1	2
9	с одной стороны	1	2
10	этот вопрос мы	1	2
11	но все же	3	2
12	в большинстве случаев	3	2
13	можно сказать что	1	1
14	не стремится к	1	1
15	и может быть	1	1
16	и ни к	1	1
17	в чем же	1	1
18	по отношению к	4	1
19	некоторые из этих	1	1
20	в настоящее время	3	1
21	том что он	1	1
22	и в некоторых	1	1
23	во всей своей	1	1
24	и в новой	1	1
25	в собственном смысле	3	1
26	но как бы	1	1
27	в наши дни	1	1
28	до известной степени	1	1
29	вплоть до наших	1	1
30	но это и	1	1
31	и многие другие	1	1
32	главным образом как	1	1
33	тех или иных	1	1
34	не потому что	1	1
35	один из них	1	1
36	между тем в	1	1
37	не могут быть	2	1
38	в связи с	8	1
39	все более и	1	1
40	во всяком случае	2	1
41	это и не	2	1
42	с другой стороны	4	1
43	не может быть	9	1
44	до наших дней	2	1
45	еще придется остановиться	1	1
46	имеет огромное значение	2	1
47	бросается в глаза	1	1
48	так например в	1	1
49	остановимся лишь на	1	1
50	и пр и	2	1
51	более и более	1	1
52	мы имеем в	1	1
53	бы они ни	1	1
54	для того чтобы	2	1
55	мы видим что	9	1
56	но это не	1	1
57	из них не	1	1
58	друг с другом	1	1
59	во многих отношениях	1	1
60	вне связи с	2	1
