N	3gram	Bakhtin_fo_1	Sovremen
1	в зависимости от	1	3
2	друг с другом	1	2
3	в этом случае	1	1
4	и у нас	1	1
5	природы и от	1	1
6	в отличие от	2	1
7	друг на друга	2	1
8	всего необходимо отметить	2	1
9	так же как	2	1
10	теперь мы должны	1	1
11	на другой день	2	1
12	мы должны еще	1	1
13	дело в том	2	1
14	играть в нем	1	1
15	и все же	1	1
16	в то же	6	1
17	они не могут	1	1
18	прежде всего необходимо	3	1
19	но все эти	2	1
20	с одной стороны	2	1
21	его таким образом	1	1
22	совершенно независимо от	1	1
23	как мы видим	2	1
24	совершенно так же	1	1
25	в дословном переводе	1	1
26	одной стороны и	2	1
27	в том что	2	1
28	все более и	1	1
29	в свою очередь	1	1
30	таким образом все	1	1
31	то же время	9	1
32	и в то	5	1
33	более и более	1	1
34	не может быть	3	1
