N	2gram	Medvedev_U_1	Tvorches
1	и в	14	20
2	не только	10	13
3	никогда не	1	11
4	таким образом	2	10
5	в его	2	10
6	в то	3	10
7	и не	8	9
8	и с	2	8
9	прежде всего	8	8
10	в том	2	8
11	но и	4	8
12	в этом	7	8
13	может быть	6	8
14	же время	3	7
15	не может	7	7
16	что в	1	7
17	то же	5	7
18	это не	3	7
19	как и	3	6
20	так и	1	6
21	в конце	2	6
22	в своей	3	6
23	у него	1	6
24	все это	5	6
25	а не	10	6
26	что он	2	6
27	но не	2	5
28	все же	3	5
29	то есть	1	5
30	в этой	4	5
31	и даже	1	5
32	о том	1	5
33	но это	2	5
34	на его	1	4
35	отнюдь не	1	4
36	не в	2	4
37	мы не	2	4
38	об этом	1	4
39	если не	2	4
40	что она	2	4
41	нашему мнению	3	4
42	и потому	1	4
43	ничего не	2	4
44	если бы	2	4
45	но в	3	4
46	по нашему	3	4
47	том что	2	4
48	одним из	2	3
49	в себе	2	3
50	у пушкина	1	3
51	до сих	2	3
52	в нем	1	3
53	в их	4	3
54	для него	3	3
55	превращается в	2	3
56	в таком	1	3
57	между тем	2	3
58	в пользу	1	3
59	и через	2	3
60	человека и	1	3
61	в современном	1	3
62	и др	1	3
63	он не	1	3
64	тем что	2	3
65	уже не	1	3
66	то что	7	3
67	в котором	1	3
68	же как	1	3
69	сих пор	2	3
70	в самом	2	3
71	и это	1	3
72	в которых	1	3
73	к этому	1	3
74	по мнению	1	3
75	в которой	1	2
76	приводит к	1	2
77	достоевского и	1	2
78	другой стороны	3	2
79	может служить	1	2
80	так он	1	2
81	в этот	1	2
82	крайней мере	2	2
83	не было	1	2
84	со своими	1	2
85	отказаться от	1	2
86	в виде	1	2
87	его и	2	2
88	или даже	1	2
89	себя на	1	2
90	в искусстве	6	2
91	же не	2	2
92	и только	5	2
93	но если	1	2
94	нет и	1	2
95	в россии	4	2
96	что этот	1	2
97	у нас	3	2
98	только в	2	2
99	не столько	2	2
100	думается что	2	2
101	но прежде	1	2
102	по крайней	2	2
103	могут быть	2	2
104	и что	1	2
105	в процессе	1	2
106	их в	1	2
107	не случайно	2	2
108	с другой	4	2
109	в частности	3	2
110	только для	1	2
111	и у	2	2
112	самом деле	2	2
113	если у	1	2
114	это уже	2	2
115	сводится к	2	2
116	вообще в	1	1
117	в первую	1	1
118	не значит	1	1
119	первую очередь	1	1
120	она не	1	1
121	входит в	1	1
122	мы и	2	1
123	но он	1	1
124	не все	2	1
125	только как	1	1
126	является одним	1	1
127	и независимо	1	1
128	даже не	1	1
129	и для	2	1
130	для себя	1	1
131	как на	1	1
132	случайно и	1	1
133	произведений и	1	1
134	на то	1	1
135	нас до	1	1
136	это для	1	1
137	неизбежно упрощает	1	1
138	дается на	1	1
139	не вполне	1	1
140	встречается у	1	1
141	такое понимание	1	1
142	по себе	2	1
143	мы получаем	2	1
144	о необходимости	1	1
145	а между	2	1
146	литературы в	1	1
147	этом плане	1	1
148	что же	1	1
149	не без	1	1
150	всего что	1	1
151	прием в	2	1
152	звучит у	1	1
153	сам автор	1	1
154	о которой	1	1
155	произведения как	1	1
156	нам представляется	2	1
157	для начала	1	1
158	что для	1	1
159	не спасается	1	1
160	произведения в	1	1
161	в противовес	2	1
162	отлична от	1	1
163	и прежде	1	1
164	она должна	1	1
165	отказ от	1	1
166	но понятие	1	1
167	он будет	1	1
168	но такое	1	1
169	и всякого	1	1
170	в сфере	1	1
171	поскольку он	1	1
172	конечном счете	4	1
173	он пытается	1	1
174	тот же	1	1
175	представляется что	1	1
176	в течение	1	1
177	не то	1	1
178	остается в	1	1
179	теории и	1	1
180	частности с	1	1
181	он называет	1	1
182	лет с	1	1
183	объекта и	1	1
184	принцип построения	1	1
185	сказать что	1	1
186	он был	1	1
187	к которой	1	1
188	случилось с	1	1
189	должно быть	1	1
190	той же	1	1
191	не о	3	1
192	что все	2	1
193	в конечном	4	1
194	а о	2	1
195	важным и	1	1
196	не главное	1	1
197	вряд ли	3	1
198	не делает	1	1
199	метода в	1	1
200	толстого и	1	1
201	является в	2	1
202	что угодно	1	1
203	признать что	1	1
204	с одной	1	1
205	этот и	1	1
206	что и	2	1
207	художественного произведения	2	1
208	а его	2	1
209	не могут	2	1
210	для обоснования	1	1
211	переходит в	1	1
212	месте в	1	1
213	в виду	1	1
214	ничуть не	1	1
215	объясняется и	1	1
216	присущей ему	1	1
217	в различных	1	1
218	с его	2	1
219	наука о	1	1
220	в известном	1	1
221	и является	2	1
222	является только	1	1
223	не столь	1	1
224	в области	3	1
225	ролью в	1	1
226	и возможностей	1	1
227	в наиболее	1	1
228	должна была	2	1
229	представляется нам	2	1
230	было бы	3	1
231	быть в	1	1
232	как раз	2	1
233	что с	1	1
234	в г	1	1
235	и наблюдаем	1	1
236	в пределах	1	1
237	о нем	1	1
238	до предела	1	1
239	представителей в	1	1
240	без этого	1	1
241	еще ничего	2	1
242	литературы и	2	1
243	для читателя	1	1
244	не есть	2	1
