N	2gram	Vinokur_Ku_1	VeschiIm
1	не есть	4	49
2	т е	38	42
3	не может	7	33
4	не только	10	31
5	может быть	13	29
6	и не	12	28
7	и в	24	26
8	то что	9	24
9	и есть	2	23
10	это значит	1	22
11	и т	33	21
12	т д	14	20
13	а не	8	20
14	не просто	5	18
15	есть только	1	17
16	что я	2	16
17	в имени	1	15
18	и следовательно	1	15
19	в смысле	2	15
20	что она	3	14
21	только в	11	14
22	по себе	2	13
23	и что	5	13
24	того что	9	13
25	и то	3	12
26	есть не	1	12
27	все же	12	12
28	в себя	1	12
29	что это	5	12
30	было бы	15	12
31	но и	6	12
32	сказать что	1	12
33	таким образом	12	11
34	что же	6	11
35	и больше	1	10
36	то же	8	10
37	есть нечто	1	10
38	в ней	6	10
39	не значит	1	10
40	как бы	7	10
41	что такое	6	10
42	потому что	23	10
43	уже не	8	10
44	что мы	1	10
45	предполагает что	1	9
46	в самом	10	9
47	то ни	1	9
48	и с	5	9
49	в том	30	9
50	что не	5	9
51	еще и	5	9
52	прежде всего	9	9
53	что иное	1	8
54	иное как	2	8
55	в себе	3	8
56	на то	4	8
57	смысл и	2	8
58	ничего не	2	8
59	себя и	1	8
60	она есть	1	8
61	но это	1	8
62	не что	1	8
63	также и	2	7
64	говорить о	1	7
65	в этом	14	7
66	его в	1	7
67	том что	21	7
68	в то	2	7
69	ли это	2	7
70	что оно	3	7
71	указывает на	1	7
72	как с	2	7
73	д и	2	7
74	себя в	1	7
75	и их	1	7
76	так как	9	7
77	как раз	8	7
78	и пр	15	7
79	е в	2	7
80	совершенно не	1	7
81	есть и	1	7
82	со стороны	4	6
83	что они	4	6
84	и как	2	6
85	но в	2	6
86	бы и	2	6
87	это есть	2	6
88	одно и	1	6
89	бытие и	1	6
90	точки зрения	14	6
91	но если	2	6
92	по крайней	5	6
93	с ним	5	6
94	можно было	6	6
95	ясно что	3	6
96	должно быть	3	6
97	и только	1	6
98	крайней мере	5	6
99	а если	3	6
100	так что	4	6
101	если мы	2	6
102	для него	1	6
103	но что	1	6
104	относится к	2	6
105	когда мы	2	6
106	быть только	1	6
107	в результате	5	6
108	жизни и	1	6
109	что в	17	6
110	того же	4	5
111	это и	4	5
112	ведь и	1	5
113	в сущности	3	5
114	на себя	3	5
115	в чем	1	5
116	но не	5	5
117	отнюдь не	1	5
118	как к	1	5
119	должна быть	3	5
120	же это	1	5
121	вообще не	1	5
122	это не	7	5
123	с тем	5	5
124	не в	11	5
125	тем не	4	5
126	не менее	7	5
127	одна из	1	5
128	только и	3	5
129	у нас	10	5
130	для себя	1	5
131	свою очередь	3	5
132	в ее	1	5
133	должны быть	2	5
134	тут мы	1	5
135	если бы	9	5
136	для этого	3	5
137	еще не	5	5
138	она имеет	1	5
139	что для	1	5
140	с этой	2	5
141	и для	2	5
142	а в	5	5
143	в свою	3	5
144	я понимаю	1	4
145	но тогда	1	4
146	явления и	1	4
147	собственном смысле	1	4
148	так чтобы	1	4
149	я не	2	4
150	как я	2	4
151	то это	3	4
152	в их	3	4
