N	3gram	Losev_Dial_4	Morfolog
1	и т д	15	47
2	в этом случае	1	9
3	мы видим что	2	9
4	в связи с	1	8
5	не может быть	6	8
6	подобно тому как	4	5
7	связи с этим	1	5
8	с точки зрения	9	4
9	т д но	1	4
10	с другой стороны	1	4
11	тем не менее	2	4
12	если мы не	1	3
13	но все же	1	3
14	же может быть	1	2
15	в обоих случаях	1	2
16	в собственном смысле	2	2
17	точно так же	2	2
18	т д как	1	2
19	которое может быть	1	2
20	не значит что	1	2
21	для того чтобы	5	2
22	в том что	9	2
23	т д в	1	2
24	т д он	1	2
25	уже не может	1	1
26	но вот мы	1	1
27	т д это	1	1
28	это было бы	1	1
29	вопрос в каком	1	1
30	же время и	2	1
31	это нисколько не	1	1
32	о том как	2	1
33	что иное как	8	1
34	как бы в	1	1
35	т е мы	1	1
36	том случае если	1	1
37	ни в коем	2	1
38	мы переходим к	1	1
39	так как мы	1	1
40	но это не	1	1
41	он как бы	1	1
42	мы должны теперь	1	1
43	в том случае	1	1
44	в коем случае	2	1
45	теми или другими	1	1
46	в данном случае	1	1
47	т е берет	1	1
48	и этот момент	1	1
49	имеет ничего общего	2	1
50	не входит в	1	1
51	и пр предметы	1	1
52	если она есть	1	1
53	т е на	1	1
54	иметь в виду	2	1
55	т д все	2	1
56	не вызывает никаких	1	1
57	но если бы	1	1
58	не имеет ничего	2	1
59	есть не что	5	1
60	то же время	6	1
61	она есть всегда	1	1
62	из которых каждый	1	1
63	коем случае не	2	1
64	о том что	1	1
65	если бы мы	1	1
66	это значит что	7	1
67	ни одна из	1	1
68	он не может	1	1
69	той или иной	1	1
70	т е не	2	1
71	из которых один	1	1
72	можно сказать что	1	1
73	на то что	3	1
74	которые могут быть	1	1
75	в то же	6	1
76	не что иное	8	1
77	т е о	3	1
78	как же может	1	1
79	того или другого	2	1
80	она не есть	3	1
