N	2gram	Tiupa_Lite_3	Sotsiolo
1	все это	1	7
2	в том	12	5
3	в этом	14	5
4	и только	2	3
5	для нас	1	3
6	не только	14	3
7	и в	16	3
8	не в	10	3
9	в его	6	3
10	за пределы	1	2
11	как только	1	2
12	но и	14	2
13	было бы	2	2
14	исторической жизни	1	2
15	только в	7	2
16	далеко не	2	2
17	нужно было	1	2
18	в литературоведении	1	2
19	том что	8	2
20	одно дело	2	2
21	в частности	11	2
22	как будто	4	2
23	то что	12	2
24	или даже	1	2
25	еще не	6	2
26	это и	1	2
27	отношению к	4	2
28	в конце	2	2
29	что в	2	2
30	может быть	12	2
31	как бы	8	2
32	по отношению	4	2
33	очевидно что	1	2
34	по существу	4	2
35	то же	9	2
36	друг от	1	1
37	я и	10	1
38	право на	2	1
39	быть не	2	1
40	наконец в	3	1
41	по себе	2	1
42	даже в	4	1
43	сама по	1	1
44	в мире	16	1
45	сказать и	2	1
46	в этой	8	1
47	тому что	1	1
48	отнюдь не	3	1
49	более не	1	1
50	эти два	1	1
51	даже не	1	1
52	но одно	1	1
53	на все	1	1
54	с другой	6	1
55	его в	2	1
56	только для	3	1
57	это не	5	1
58	новые и	1	1
59	на этот	1	1
60	именно в	5	1
61	в чем	1	1
62	все же	2	1
63	один из	2	1
64	и есть	1	1
65	перед нами	1	1
66	в то	9	1
67	его собственная	1	1
68	мысли в	1	1
69	и наконец	3	1
70	еще и	2	1
71	а с	1	1
72	том как	1	1
73	тем что	2	1
74	и как	3	1
75	в процессе	1	1
76	что эти	1	1
77	что он	5	1
78	прежде всего	3	1
79	объекта и	2	1
80	в них	1	1
81	так и	9	1
82	не было	1	1
83	одной стороны	4	1
84	историю литературы	1	1
85	и не	22	1
86	полагает что	1	1
87	никогда не	4	1
88	это как	3	1
89	со своими	2	1
90	же время	7	1
91	и о	1	1
92	далеко еще	1	1
93	именно на	1	1
94	как и	5	1
95	бы в	1	1
96	для этого	1	1
97	этом не	1	1
98	что автор	1	1
99	остается в	1	1
100	в таких	1	1
101	литературоведении и	1	1
102	в труде	1	1
103	вот в	2	1
104	конечно не	1	1
105	в связи	1	1
106	в те	1	1
107	на первый	1	1
108	из понимания	1	1
109	и его	6	1
110	в этих	1	1
111	место в	4	1
112	связи с	2	1
113	от друга	1	1
114	хотя бы	1	1
115	в целом	5	1
116	не может	8	1
117	в своей	7	1
118	а в	5	1
119	тех кто	1	1
120	как совокупность	1	1
121	можно будет	1	1
122	о том	6	1
123	в области	3	1
124	и потому	2	1
125	в котором	1	1
126	точке зрения	1	1
127	из тех	1	1
128	исторической поэтики	1	1
129	существу своему	1	1
130	словесного творчества	1	1
131	столь же	1	1
132	время в	2	1
133	каждом своем	1	1
134	собой не	1	1
135	когда мы	1	1
136	в силу	1	1
137	в конечном	1	1
138	вовсе не	1	1
139	ли не	1	1
140	же самое	2	1
141	с одной	4	1
142	что без	1	1
143	но не	4	1
144	у него	1	1
145	в данном	4	1
146	между тем	3	1
147	существу это	1	1
148	конечном счете	1	1
149	не один	1	1
150	и более	1	1
151	бы они	1	1
152	в каждом	1	1
153	они не	1	1
154	это значит	1	1
