N	2gram	Nazirov_Tr_1	Myshleni
1	таким образом	1	26
2	в том	2	24
3	и в	18	23
4	том что	4	21
5	в целом	4	20
6	в этом	9	17
7	того чтобы	1	17
8	то что	4	17
9	не только	8	16
10	так же	4	16
11	говорит он	1	15
12	того что	1	15
13	как и	5	14
14	речи в	1	14
15	может быть	7	14
16	но и	4	14
17	в его	3	14
18	что в	4	14
19	с помощью	1	13
20	в развитии	1	12
21	не может	5	12
22	об отношении	1	12
23	представляет собой	1	11
24	как бы	7	11
25	прежде всего	4	10
26	и с	7	9
27	между тем	1	9
28	вместе с	1	9
29	и не	7	9
30	не является	1	9
31	ребенка в	2	8
32	то же	5	8
33	заключается в	1	8
34	в ходе	2	8
35	самого начала	1	8
36	с самого	1	8
37	и на	7	8
38	с одной	1	8
39	вопрос о	2	7
40	в самом	2	7
41	в этой	4	7
42	в другом	1	7
43	с тем	2	7
44	в то	5	7
45	и ее	2	7
46	что он	6	7
47	все это	4	6
48	столь же	2	6
49	в себе	4	6
50	лишь в	1	6
51	с этой	1	6
52	по сравнению	1	6
53	и его	6	6
54	взрослого человека	1	6
55	о том	2	6
56	связь между	1	6
57	все время	1	6
58	только в	1	6
59	между этими	2	6
60	вопрос об	1	6
61	тем что	2	6
62	именно в	1	6
63	потому что	2	6
64	сравнению с	1	5
65	между собой	1	5
66	бы в	1	5
67	перед нами	2	5
68	и как	3	5
69	но в	6	5
70	он не	2	5
71	а затем	1	5
72	тем самым	3	5
73	по себе	1	5
74	тому что	1	5
75	по своей	1	5
76	как мы	1	5
77	и т.д	1	5
78	и что	4	5
79	так и	5	5
80	ребенка и	2	5
81	и все	4	5
82	в котором	1	4
83	высшей степени	1	4
84	исследования в	1	4
85	в чем	1	4
86	с его	2	4
87	но не	1	4
88	положение о	1	4
89	как в	3	4
90	говорит что	2	4
91	все эти	3	4
92	что она	2	4
93	при этом	3	4
94	что все	2	4
95	ни в	2	4
96	в высшей	1	4
97	в своей	1	4
98	не столько	1	4
99	не в	2	4
100	ребенок не	1	4
101	к тому	2	4
102	в настоящей	1	4
103	мы видим	1	4
104	только что	1	4
105	в одном	2	4
106	одну из	1	4
107	этого слова	1	4
108	она должна	2	4
109	в результате	1	4
110	хотя бы	1	4
111	в сфере	1	3
112	человека и	1	3
113	в такой	1	3
114	сам по	1	3
115	и то	2	3
116	самом деле	1	3
117	я не	4	3
118	в общем	1	3
119	что именно	1	3
120	в своем	3	3
121	все же	5	3
122	в которой	1	3
123	что это	5	3
124	он в	1	3
125	как он	1	3
126	и если	1	3
127	факт что	1	3
128	на все	1	3
129	на две	1	3
130	должны были	1	3
131	она не	1	3
132	ничего не	2	3
133	во всем	1	3
134	в области	1	3
135	могут быть	1	3
136	что оно	1	3
137	и это	2	3
138	можно было	1	3
139	об этом	4	3
140	и который	1	3
141	и которое	1	3
142	который в	2	3
143	связи с	1	3
144	уже в	3	3
145	то и	2	3
146	обратиться к	1	3
147	всяком случае	1	3
148	на этот	1	3
149	во всех	1	3
150	а не	1	3
151	ко всем	1	3
152	смысле этого	1	3
153	тем и	1	3
154	и от	1	3
155	во всяком	1	3
156	он показывает	1	2
157	и до	2	2
158	что эти	2	2
159	сам автор	1	2
160	той же	1	2
161	вместо того	1	2
162	целое на	1	2
163	ответа на	1	2
164	в ее	2	2
165	эта речь	1	2
166	за пределы	1	2
167	к сожалению	1	2
168	и я	2	2
169	как говорит	2	2
170	и наконец	1	2
171	в первом	2	2
172	бы и	2	2
173	это понятие	1	2
174	не к	1	2
175	и вот	1	2
176	на этом	1	2
177	но все	2	2
178	на пороге	1	2
179	повод для	1	2
180	в них	1	2
181	несмотря на	5	2
182	с такой	1	2
183	должно быть	3	2
184	и при	1	2
185	представление о	1	2
186	что говорит	2	2
187	одном из	2	2
188	не могли	1	2
189	что этот	2	2
190	того кто	1	2
191	что эта	1	2
192	что с	3	2
193	этими двумя	2	2
194	не имеет	2	2
195	того как	1	2
196	никогда не	2	2
197	же время	6	2
198	всем протяжении	1	2
199	на вопрос	1	2
200	в конце	3	2
201	данном случае	2	2
202	с собой	1	2
203	на нее	1	2
204	вот почему	1	2
205	ко всей	1	2
206	в жизнь	1	2
207	один из	3	2
208	в двух	1	2
209	нуждается в	1	2
210	человека с	1	2
211	на всем	2	2
212	уже не	2	2
213	эти черты	1	2
214	в виде	2	2
215	цели которые	1	2
216	одно из	1	2
217	для него	3	2
218	в известной	2	2
219	и даже	4	2
220	развития в	1	2
221	чем он	2	2
222	под влиянием	2	2
223	виде в	1	2
224	в частности	2	2
225	и потому	1	2
226	как это	3	2
227	о чем	3	2
228	в данном	2	2
229	по самой	1	2
230	указывает на	1	2
231	мы начинаем	1	2
232	но этот	1	2
233	эта новая	1	1
234	ту же	1	1
235	и т	1	1
236	одним из	1	1
237	например в	1	1
238	из трех	1	1
239	он всегда	4	1
240	его практическую	1	1
241	связаны между	1	1
242	и новые	1	1
243	не вполне	1	1
244	в виду	1	1
245	не способен	1	1
246	в ней	1	1
247	эти мысли	1	1
248	что судьба	1	1
249	в отличие	2	1
250	еще не	4	1
251	на них	1	1
252	быть в	1	1
253	и развить	1	1
254	могло быть	1	1
255	само это	1	1
256	некоторые черты	1	1
257	отличие от	2	1
258	не просто	2	1
259	значение для	1	1
260	это самое	1	1
261	в истории	1	1
262	что ее	1	1
263	то в	1	1
264	оттого что	1	1
265	но без	1	1
266	различными исследователями	1	1
267	имеет для	1	1
268	не могла	1	1
269	вообще не	1	1
270	в нем	4	1
271	перестает быть	1	1
272	которой не	1	1
273	на мысль	1	1
274	и еще	1	1
275	чем у	1	1
276	к одному	1	1
277	содержит в	1	1
278	показал что	1	1
279	последнее слово	1	1
280	который он	1	1
281	совершенно иная	1	1
282	из первых	1	1
283	который сам	1	1
284	к области	2	1
285	этом мы	1	1
286	но мы	1	1
287	в самую	2	1
288	которой он	1	1
289	ведет к	1	1
290	не выдерживает	1	1
291	можно так	1	1
292	но если	1	1
293	в женеве	1	1
294	этой связи	1	1
295	наших дней	1	1
296	почти не	1	1
297	если можно	1	1
298	что я	4	1
299	в основном	3	1
300	но эта	2	1
301	тем не	1	1
302	внутреннее родство	1	1
303	борьбу с	1	1
304	что сам	1	1
305	и великого	1	1
306	раз и	2	1
307	она стремится	1	1
308	выходящее за	1	1
309	не менее	1	1
310	вплоть до	1	1
311	считает что	1	1
312	на котором	1	1
313	он с	1	1
314	и всегда	1	1
315	контакт с	1	1
316	бы сказали	1	1
317	предстает перед	1	1
318	детей и	1	1
319	связь и	1	1
320	вот что	1	1
321	мы бы	1	1
322	быть по	1	1
323	как будто	3	1
324	в образах	1	1
325	эти же	1	1
326	вопросу об	1	1
327	автор в	1	1
328	своей книге	1	1
329	не вызывает	1	1
330	его за	2	1
331	что при	1	1
332	с ее	3	1
333	на другой	1	1
334	ухода из	1	1
335	слова нельзя	1	1
336	только не	1	1
337	в дальнейшем	5	1
338	не мог	2	1
339	в борьбе	1	1
340	когда его	1	1
341	она нам	1	1
342	еще в	2	1
343	известной мере	1	1
344	содержатся в	1	1
345	в ход	1	1
346	он просит	1	1
347	ситуации и	1	1
348	и здесь	2	1
349	в самой	1	1
350	но этого	2	1
351	а также	1	1
352	что и	2	1
353	я вижу	1	1
354	это не	5	1
355	в форме	1	1
356	о своих	1	1
357	говорит в	1	1
358	для ребенка	1	1
359	оказалось что	1	1
360	что даже	1	1
361	нажимает на	1	1
362	по мнению	2	1
363	в обществе	1	1
364	этой линии	1	1
365	от самых	1	1
366	к проблемам	1	1
367	именно на	1	1
368	так что	2	1
369	всем его	1	1
370	чтобы он	1	1
371	это неизбежно	1	1
372	а это	1	1
373	всегда оказывается	1	1
374	могло бы	1	1
375	слова в	1	1
376	речи я	1	1
377	к ним	1	1
378	как его	1	1
379	у него	6	1
380	и вместе	1	1
381	как прямой	1	1
382	отдельные черты	1	1
383	психологического исследования	1	1
384	и др	1	1
385	что не	1	1
386	социальной жизни	1	1
387	естественно что	1	1
388	до этого	1	1
389	не было	1	1
390	думается нам	1	1
391	до конца	2	1
392	ничем не	2	1
393	особенно заметно	1	1
394	отнюдь не	3	1
395	это она	1	1
396	чем же	1	1
397	когда я	1	1
398	для чего	1	1
399	сознательно и	1	1
