N	2gram	Vygotskiy__5	VeschiIm
1	не есть	4	49
2	не может	18	33
3	не только	16	31
4	может быть	9	29
5	и не	12	28
6	и в	16	26
7	то что	26	24
8	и есть	7	23
9	значит что	5	22
10	это значит	5	22
11	а не	10	20
12	есть только	1	17
13	что я	2	16
14	и следовательно	6	15
15	в смысле	3	15
16	что она	2	14
17	только в	10	14
18	по себе	7	13
19	и что	12	13
20	того что	16	13
21	и то	4	12
22	есть не	2	12
23	все же	3	12
24	в себя	3	12
25	что это	1	12
26	было бы	10	12
27	и ее	1	12
28	но и	6	12
29	сказать что	13	12
30	таким образом	19	11
31	что же	1	11
32	и больше	1	10
33	то же	8	10
34	есть нечто	1	10
35	в ней	2	10
36	как бы	5	10
37	потому что	21	10
38	что мы	4	10
39	бы то	1	9
40	в самом	4	9
41	и с	3	9
42	в том	18	9
43	что не	1	9
44	еще и	3	9
45	прежде всего	3	9
46	что иное	1	8
47	с ее	1	8
48	иное как	1	8
49	сущности и	1	8
50	в себе	1	8
51	на то	1	8
52	и это	1	8
53	ничего не	5	8
54	себя и	2	8
55	она есть	1	8
56	но это	3	8
57	не что	1	8
58	также и	1	7
59	говорить о	3	7
60	в этом	25	7
61	его в	2	7
62	том что	15	7
63	в то	5	7
64	что оно	6	7
65	указывает на	2	7
66	как с	3	7
67	в свете	4	7
68	себя в	1	7
69	и их	4	7
70	так как	16	7
71	как раз	1	7
72	совершенно не	2	7
73	со стороны	1	6
74	что они	5	6
75	и как	3	6
76	но в	6	6
77	это есть	4	6
78	одно и	1	6
79	что является	2	6
80	точки зрения	18	6
81	но если	6	6
82	с ним	5	6
83	она не	1	6
84	отличается от	1	6
85	можно было	5	6
86	ясно что	1	6
87	должно быть	8	6
88	и только	1	6
89	а если	1	6
90	так что	4	6
91	если мы	7	6
92	для него	5	6
93	но что	3	6
94	относится к	1	6
95	в результате	4	6
96	жизни и	2	6
97	что в	16	6
98	того же	7	5
99	это и	3	5
100	в сущности	13	5
101	в чем	3	5
102	но не	10	5
103	с самой	1	5
104	есть просто	1	5
105	как к	1	5
106	должна быть	5	5
107	же это	1	5
108	вообще не	4	5
109	это не	4	5
110	с тем	3	5
111	нечто третье	1	5
112	а есть	1	5
113	не в	6	5
114	тем не	1	5
115	в отношении	9	5
116	не менее	3	5
117	у нас	2	5
118	для себя	1	5
119	свою очередь	3	5
120	в ее	1	5
121	должны быть	2	5
122	если бы	8	5
123	для этого	1	5
124	еще не	4	5
125	или не	2	5
126	что для	2	5
127	ни на	2	5
128	с этой	4	5
129	и для	1	5
130	из себя	1	5
131	а в	3	5
132	в свою	4	5
133	собственном смысле	1	4
134	мы не	3	4
135	как понятие	1	4
136	я не	2	4
137	как я	3	4
138	то это	2	4
139	в их	3	4
140	во всех	2	4
141	точка зрения	8	4
142	для всякого	1	4
143	независимо от	1	4
144	его на	2	4
145	с этим	3	4
146	в своем	5	4
147	как и	8	4
148	что значит	3	4
149	с точки	9	4
150	и более	3	4
151	и о	1	4
152	только то	1	4
153	о том	8	4
154	с другой	4	4
155	что и	3	4
156	этот вопрос	6	4
157	то и	2	4
158	из них	2	4
159	так то	1	4
160	тем что	5	4
161	и даже	2	4
162	даже не	1	4
163	как же	1	4
164	знания и	2	4
165	и потому	2	4
166	мы говорим	2	4
167	в данном	1	4
168	как только	1	4
169	не существует	1	4
170	и все	1	4
171	от того	3	4
172	о сущности	1	4
173	между ними	1	4
174	оно не	1	4
175	сам по	1	3
176	самом деле	3	3
177	к другому	1	3
178	отношения к	2	3
179	мы имеем	1	3
180	и сущность	1	3
181	бы что	1	3
182	вопрос о	12	3
183	из того	11	3
184	не то	4	3
185	о понимании	1	3
186	более или	1	3
187	вопроса о	3	3
188	в нем	7	3
189	по самому	1	3
190	раз навсегда	1	3
191	в понятии	1	3
192	подобно тому	4	3
193	на этом	3	3
194	понятие не	1	3
195	в жизни	2	3
196	несмотря на	1	3
197	нисколько не	1	3
198	или менее	1	3
199	в своей	2	3
200	все это	2	3
201	их в	2	3
202	знание и	1	3
203	как можно	1	3
204	и другое	4	3
205	тогда когда	5	3
206	и притом	1	3
207	в основе	8	3
208	само по	2	3
209	того чтобы	17	3
210	к ней	1	3
211	к тому	6	3
212	без всякого	1	3
213	в собственном	1	3
214	так и	7	3
215	можно сказать	5	3
216	один из	1	3
217	мы видим	4	3
218	тот же	5	3
219	что он	25	3
220	но как	3	3
221	без этого	1	3
222	только на	2	3
