N	3gram	Nazirov_Tv_2	KulturaY
1	и т п	2	24
2	и т д	11	14
3	в том что	2	10
4	можно было бы	1	9
5	в самом деле	2	7
6	с другой стороны	2	7
7	только потому что	1	6
8	по крайней мере	2	6
9	во всяком случае	2	5
10	не может быть	3	4
11	точно так же	1	3
12	в связи с	1	3
13	то же время	7	3
14	в то же	7	3
15	в соответствии с	4	2
16	в наше время	2	2
17	на этот вопрос	2	2
18	то или иное	1	2
19	так же как	2	2
20	тем что он	1	2
21	и потому что	1	2
22	в отличие от	2	2
23	и в том	1	2
24	по себе не	1	2
25	в свою очередь	1	2
26	не только потому	1	2
27	того или иного	1	2
28	в конечном счете	1	2
29	мы знаем что	1	2
30	мы говорим о	1	2
31	и в другом	1	2
32	том что в	1	1
33	в том смысле	1	1
34	сих пор еще	1	1
35	хотя и не	1	1
36	что однако не	1	1
37	дело в том	1	1
38	отвечает на вопрос	1	1
39	влечет за собой	2	1
40	может и не	1	1
41	уже в процессе	1	1
42	до сих пор	3	1
43	на точку зрения	1	1
44	в первую очередь	1	1
45	только то что	1	1
46	но это не	1	1
47	большую роль в	1	1
48	это своего рода	1	1
49	не то что	1	1
50	сами по себе	1	1
51	в первый раз	1	1
52	в противоречии с	1	1
53	это все же	1	1
54	не значит что	1	1
55	в году в	1	1
56	в известном смысле	1	1
57	не могут быть	1	1
58	не только для	1	1
59	едва ли не	2	1
60	выше было показано	1	1
61	с полным правом	2	1
62	в виду что	1	1
63	ответ на этот	1	1
64	положение нуждается в	1	1
65	д и т	1	1
66	в то время	1	1
67	как и в	1	1
68	хотя и с	1	1
69	о том что	2	1
70	ничего общего с	1	1
71	и никогда не	1	1
72	с самого начала	1	1
73	и прежде всего	1	1
74	можно встретить и	1	1
75	т д и	1	1
76	в предисловии к	1	1
77	т п эта	1	1
78	они имеют смысл	1	1
79	потому что они	1	1
80	т д в	1	1
81	к тому же	1	1
82	известно что в	1	1
83	не должен быть	1	1
