N	3gram	Berdyaev_V_1	VeschiIm
1	и т д	2	20
2	бы то ни	1	9
3	т д и	1	7
4	д и т	1	7
5	по крайней мере	1	6
6	в том что	2	6
7	то и другое	1	3
8	вместе с тем	1	3
9	если оно не	1	2
10	в нем нет	2	2
11	есть еще и	1	2
12	к тому что	3	2
13	то что я	2	1
14	есть прежде всего	1	1
15	том что он	2	1
16	да и то	1	1
17	как объективную реальность	1	1
18	еще не был	1	1
19	и можно ли	1	1
20	есть то что	1	1
21	хотя бы и	1	1
22	но может ли	1	1
23	что бы то	1	1
24	у нас это	1	1
25	бы и не	2	1
26	в конце концов	1	1
27	и в этом	1	1
28	ее и в	1	1
29	уже и не	1	1
30	с другой стороны	1	1
31	и во всяком	1	1
32	и вместе с	1	1
33	вместо того чтобы	2	1
34	но все же	1	1
35	самого себя и	1	1
36	мы видим что	1	1
