N	2gram	Propp_Isto_1	Psycholo
1	то что	9	37
2	и в	28	30
3	в том	9	27
4	что в	12	24
5	и что	10	23
6	потому что	4	23
7	том что	7	21
8	того чтобы	1	20
9	таким образом	8	20
10	для того	1	20
11	как бы	2	19
12	на то	4	17
13	что он	10	17
14	не только	12	16
15	и мы	2	16
16	если мы	3	16
17	в этом	8	14
18	как раз	2	13
19	так же	7	13
20	с одной	4	12
21	одной стороны	4	12
22	вместе с	6	12
23	может быть	25	11
24	если бы	8	11
25	что мы	7	11
26	о том	9	10
27	и то	1	9
28	никогда не	14	9
29	увидим что	5	9
30	и когда	2	9
31	так как	6	9
32	с другой	6	9
33	для этого	3	9
34	не может	15	9
35	сказать что	5	9
36	мы увидим	10	9
37	мы имеем	13	8
38	что это	8	8
39	он должен	2	8
40	при этом	3	8
41	с тем	4	8
42	сейчас же	1	8
43	не в	9	8
44	к тому	6	8
45	и это	1	8
46	тому что	1	8
47	того что	4	8
48	мы видим	11	8
49	а не	15	8
50	могут быть	4	8
51	и т	25	7
52	то же	12	7
53	зависимости от	2	7
54	но не	5	7
55	все же	10	7
56	и как	2	7
57	в нем	2	7
58	по себе	3	7
59	в основе	4	7
60	совершенно ясно	1	7
61	мы можем	1	7
62	как это	3	7
63	в зависимости	2	6
64	мы уже	1	6
65	что если	2	6
66	в своем	5	6
67	и если	2	6
68	что она	5	6
69	на этом	3	6
70	ясно что	2	6
71	как и	4	6
72	никак не	1	6
73	и его	3	6
74	как будто	4	6
75	когда мы	2	6
76	в совершенно	1	6
77	или в	5	6
78	и здесь	7	6
79	и тем	2	6
80	тем что	3	6
81	но и	10	6
82	именно в	3	6
83	и не	9	6
84	и для	4	6
85	что оно	1	6
86	совершенно не	1	6
87	и есть	1	5
88	еще не	7	5
89	по этому	2	5
90	о смерти	6	5
91	ответ на	2	5
92	что они	5	5
93	что именно	1	5
94	когда он	6	5
95	в себе	2	5
96	в целом	2	5
97	в этой	6	5
98	материала и	2	5
99	было бы	7	5
100	несмотря на	1	5
101	был бы	2	5
102	сих пор	5	5
103	же самое	3	5
104	как мы	3	5
105	но в	8	5
106	сводится к	1	5
107	один из	4	5
108	дело с	2	5
109	только в	11	5
110	именно на	2	5
111	до сих	5	5
112	а с	2	5
113	и потому	2	5
114	бы в	2	5
115	обратиться к	1	5
116	другой стороны	5	5
117	исходит из	3	4
118	то это	3	4
119	в виду	1	4
120	в ней	7	4
121	стороны и	1	4
122	могли бы	3	4
123	и к	1	4
124	мы говорили	1	4
125	в основу	1	4
126	есть не	1	4
127	в них	1	4
128	в своей	1	4
129	не могли	1	4
130	что эта	1	4
131	из которых	3	4
132	у нас	1	4
133	указывает на	2	4
134	по сравнению	1	4
135	мысль о	2	4
136	действия и	3	4
137	на примере	1	4
138	мы могли	1	4
139	внимание на	1	4
140	этому поводу	2	4
141	в его	5	4
142	этот вопрос	7	4
143	не можем	3	4
144	только на	1	4
145	в конце	1	4
