N	2gram	Savitsky_P_1	Psycholo
1	в том	9	37
2	и в	14	32
3	и что	1	22
4	том что	4	21
5	потому что	3	21
6	то что	4	21
7	что в	4	20
8	может быть	5	18
9	так же	1	18
10	точки зрения	3	17
11	что и	1	17
12	не может	4	17
13	того чтобы	1	14
14	то же	9	13
15	в этом	10	13
16	для того	3	13
17	в самом	1	12
18	заключается в	3	12
19	не только	17	12
20	по себе	4	12
21	с и	1	12
22	если мы	1	12
23	на то	1	11
24	было бы	6	11
25	с тем	3	11
26	и т	3	10
27	с точки	3	10
28	но и	6	10
29	как и	1	10
30	и не	12	10
31	никогда не	1	9
32	что при	1	9
33	что все	1	9
34	что это	1	8
35	не в	5	8
36	не менее	2	8
37	того что	2	8
38	поэзии и	1	7
39	совершенно ясно	1	7
40	и как	3	7
41	ясно что	1	7
42	только в	7	7
43	мы знаем	1	7
44	а не	2	7
45	в психологии	1	7
46	что если	1	6
47	в этой	1	6
48	если бы	4	6
49	те же	1	6
50	и мы	2	6
51	тот же	3	6
52	как бы	4	6
53	и на	1	5
54	что его	1	5
55	только на	1	5
56	далеко не	1	5
57	все это	2	5
58	в то	7	5
59	не сумеем	1	5
60	в ней	6	5
61	вслед за	3	5
62	отнюдь не	2	5
63	как раз	2	5
64	как на	2	5
65	же как	1	4
66	есть не	2	4
67	столь же	3	4
68	с этим	2	4
69	все же	1	4
70	в нем	3	4
71	и по	1	4
72	и с	2	4
73	и тем	2	4
74	в жизни	2	4
75	в данном	1	4
76	знаем что	1	4
77	и более	1	4
78	не имеет	1	4
79	как она	1	4
80	могут быть	3	4
81	и это	2	4
82	никак не	2	4
83	между тем	3	4
84	мы видим	1	4
85	из них	2	4
86	в творчестве	1	4
87	наряду с	3	4
88	а в	4	4
89	например в	2	3
90	отношении к	5	3
91	и то	1	3
92	мы не	3	3
93	во всех	2	3
94	но как	1	3
95	в общем	2	3
96	что именно	1	3
97	как к	1	3
98	и к	4	3
99	но в	9	3
100	формы в	1	3
101	думать что	2	3
102	творчества и	2	3
103	главным образом	2	3
104	не к	2	3
105	не как	1	3
106	и вот	2	3
107	в которых	5	3
108	в отношении	10	3
109	или что	1	3
110	что с	1	3
111	тогда когда	1	3
112	мы можем	1	3
113	в каком	1	3
114	с ее	1	3
115	том виде	1	3
116	для этого	1	3
117	с другой	5	3
118	бы и	1	3
119	мы должны	4	3
120	и ее	1	3
121	что не	1	3
122	и других	2	3
123	представить себе	1	3
124	сами по	3	3
125	были бы	1	3
126	в частности	2	3
127	ни на	1	3
128	в смысле	6	3
