N	4gram	Medvedev_F_3	VerxiiNi
1	в том числе и	1	4
2	с этой точки зрения	1	2
3	бы то ни было	4	2
4	в то же время	7	2
5	мы имеем в виду	1	1
6	нет никаких указаний на	1	1
7	одного и того же	1	1
8	во всяком случае с	1	1
9	один и тот же	1	1
10	в том или ином	1	1
11	с другой стороны сами	1	1
12	что так или иначе	1	1
13	между формой и содержанием	1	1
14	не в том что	1	1
15	а вместе с тем	1	1
16	в том что они	1	1
17	и сами по себе	1	1
18	во всяком случае в	2	1
19	все более и более	1	1
20	вместе с тем и	1	1
21	и в то же	2	1
22	с нашей точки зрения	1	1
