N	3gram	Savitsky_P_1	Komedia
1	в том что	4	9
2	с другой стороны	1	5
3	то же время	7	4
4	в то же	7	4
5	и т д	1	4
6	с одной стороны	3	3
7	но и в	2	2
8	во всяком случае	1	2
9	именно потому что	1	2
10	можно судить по	1	2
11	том что в	1	1
12	или хотя бы	1	1
13	чуть ли не	1	1
14	более или менее	1	1
15	в том числе	2	1
16	и не только	2	1
17	и связывается с	1	1
18	только в условиях	1	1
19	вместе с тем	1	1
20	можно говорить о	1	1
21	мы не только	1	1
22	и еще в	1	1
23	в применении к	1	1
24	так же как	1	1
25	не только в	4	1
26	только в виде	1	1
27	в отличие от	1	1
28	что уже в	1	1
29	не в отрыве	1	1
30	в борьбе с	1	1
31	в отрыве от	1	1
32	в большинстве случаев	1	1
33	в отношении к	5	1
34	для того чтобы	1	1
35	насколько можно судить	1	1
