N	3gram	Propp_Russ_2	VLabPisa
1	и т д	5	15
2	в этом отношении	1	13
3	с другой стороны	1	8
4	не может быть	3	8
5	по этому поводу	2	7
6	более или менее	1	6
7	можно сказать что	1	4
8	в том что	18	4
9	это и есть	1	3
10	о том что	4	3
11	о том как	1	3
12	мы видели что	4	3
13	о том же	3	3
14	вместе с тем	4	3
15	же говорит и	1	3
16	в этом и	2	2
17	подобно тому как	3	2
18	с одной стороны	2	2
19	в другом месте	1	2
20	можно было бы	1	2
21	таким образом в	1	2
22	не может не	1	2
23	для того чтобы	6	2
24	во всех этих	1	2
25	во всяком случае	1	2
26	в том чтобы	2	2
27	дело так будто	1	1
28	в том же	1	1
29	том же говорит	1	1
30	вопрос о том	1	1
31	того момента когда	1	1
32	к этому же	1	1
33	может быть и	1	1
34	т е в	5	1
35	иметь в виду	1	1
36	а между тем	1	1
37	бы значительно увеличить	1	1
38	бросается в глаза	2	1
39	того или другого	1	1
40	ни одна из	1	1
41	т е не	1	1
42	что один из	1	1
43	в то время	2	1
44	совершенно очевидно что	1	1
45	но она не	2	1
46	может быть принята	1	1
47	но вместе с	2	1
48	все то что	1	1
49	из этих элементов	1	1
50	дело не в	1	1
51	может быть признана	1	1
52	в применении к	1	1
53	по его мнению	1	1
54	человека а не	1	1
55	главным образом на	1	1
56	одна из них	1	1
57	после того как	2	1
58	между тем это	2	1
59	же как и	2	1
60	то что в	1	1
61	только тогда когда	3	1
62	по аналогии с	1	1
63	но и в	1	1
64	то время как	1	1
65	во всех других	1	1
66	так же как	4	1
67	а вместе с	1	1
68	т е из	1	1
69	состоял в том	1	1
70	было бы значительно	1	1
71	этому поводу с	1	1
72	в свою очередь	1	1
73	в данном случае	6	1
74	один из них	1	1
