N	2gram	Nazirov_Tv_1	TeoriaLi
1	в мире	4	24
2	не только	7	18
3	в качестве	2	17
4	тогда как	1	16
5	и не	7	16
6	я в	1	16
7	а в	6	14
8	и в	21	13
9	в частности	2	13
10	то есть	12	12
11	так и	2	12
12	может быть	5	12
13	в этом	6	11
14	представляет собой	3	11
15	при этом	7	11
16	в том	7	11
17	но не	3	10
18	и его	6	10
19	а не	5	10
20	то же	13	9
21	в его	13	9
22	по отношению	1	8
23	своего рода	4	8
24	в душе	1	8
25	но и	3	8
26	отношению к	1	8
27	что в	12	8
28	отличие от	2	7
29	в себе	2	7
30	том что	11	7
31	в отличие	2	7
32	в то	15	7
33	во второй	2	7
34	только в	5	7
35	себя в	1	7
36	как это	1	7
37	в данном	2	7
38	еще не	1	6
39	с его	11	6
40	но в	7	6
41	в первой	2	6
42	место в	3	6
43	в русской	5	6
44	же время	12	6
45	как бы	17	6
46	мы имеем	1	5
47	данном случае	2	5
48	в своем	4	5
49	в самом	3	5
50	он не	8	5
51	в принципе	2	5
52	как и	12	5
53	не в	2	5
54	однако в	2	5
55	тем самым	7	5
56	в нем	3	5
57	в ее	1	5
58	между тем	1	5
59	уже не	3	5
60	не случайно	4	5
61	с другой	3	5
62	как в	8	5
63	в искусстве	1	5
64	героя и	2	5
65	по преимуществу	2	4
66	говорить о	1	4
67	как правило	1	4
68	конечном счете	4	4
69	а и	1	4
70	хотя и	3	4
71	всего лишь	1	4
72	то что	8	4
73	ни в	1	4
74	в своей	4	4
75	в их	3	4
76	не столько	2	4
77	художественного мира	1	4
78	не менее	6	4
79	личности в	2	4
80	приводит к	2	4
81	можно сказать	2	4
82	в конечном	4	4
83	и ее	1	4
84	но он	2	4
85	личности и	2	4
86	в свою	7	4
87	на смену	2	4
88	не знает	2	4
89	сказать что	2	4
90	не может	4	4
91	что можно	1	3
92	иного рода	1	3
93	не все	1	3
94	в художественном	1	3
95	перед нами	2	3
96	и к	1	3
97	со своей	1	3
98	все эти	1	3
99	в этой	5	3
100	и вот	1	3
101	и по	3	3
102	самим собой	4	3
103	его в	1	3
104	по мысли	1	3
105	авторской позиции	3	3
106	и сам	1	3
107	в этих	2	3
108	художественного творчества	1	3
109	тем не	2	3
110	в отношении	1	3
111	никогда не	3	3
112	как раз	1	3
113	потому что	5	3
114	свою очередь	1	3
115	другой стороны	1	3
116	так в	1	3
117	и что	1	3
118	того что	3	3
119	а с	1	3
120	во времени	3	3
121	человека с	2	3
122	для него	6	3
123	с ее	3	3
124	в финале	4	3
125	именно в	2	3
126	прежде всего	4	3
127	в соответствии	3	3
128	человека к	1	3
129	по своему	1	3
130	мира в	2	3
131	к которому	1	3
132	таким образом	5	3
133	или в	2	3
134	в основе	2	3
135	отношении к	1	3
136	я и	3	2
137	была бы	1	2
138	того же	2	2
139	и это	1	2
140	это и	3	2
141	на деле	2	2
142	я как	1	2
143	но она	2	2
144	принадлежит к	1	2
145	на себя	1	2
146	я не	3	2
147	в целом	4	2
148	между собой	1	2
149	в чем	2	2
150	у него	7	2
151	человеческих отношений	3	2
152	как говорит	1	2
153	как к	2	2
154	и как	4	2
155	говорит что	2	2
156	это тоже	1	2
157	видения мира	1	2
158	в которой	3	2
159	образом и	1	2
160	но на	1	2
161	к герою	1	2
162	к одному	1	2
163	в году	7	2
164	здесь мы	2	2
165	об этом	2	2
166	дома и	1	2
167	это не	4	2
168	и тем	2	2
169	соответствии с	3	2
170	вовсе не	5	2
171	и того	2	2
172	и некоторые	1	2
173	одного и	1	2
174	в войне	1	2
175	от себя	1	2
176	войне и	1	2
177	по себе	1	2
178	даже в	3	2
179	и притом	2	2
180	дело не	3	2
181	только не	1	2
182	мышления и	1	2
183	казалось бы	1	2
184	как будто	5	2
185	вокруг него	1	2
186	имеет место	1	2
187	моя жизнь	1	2
188	и о	1	2
189	в себя	2	2
190	роль в	1	2
191	однако эта	1	2
192	что может	1	2
193	к его	1	2
194	в виду	2	2
195	и здесь	1	2
196	о том	6	2
197	что каждый	1	2
198	в глаза	2	2
199	времени в	13	2
200	это было	1	2
201	восходит к	1	2
202	к нему	1	2
203	во всех	1	2
204	русской литературе	4	2
205	вслед за	2	2
206	существования в	1	2
207	в литературе	2	2
208	и мире	1	2
209	с одной	1	2
210	слова не	1	2
211	в прозе	1	2
212	в диалоге	1	2
213	в конце	1	2
214	во всей	2	2
215	от свободы	1	2
216	и даже	3	2
217	в области	1	2
218	себя и	1	2
219	становится самим	1	2
220	одной стороны	1	2
221	а на	1	2
222	в рассказе	3	2
223	не на	1	2
224	о чем	1	2
225	вместе с	2	2
226	так же	3	2
227	жизни но	1	2
228	к жизни	2	2
229	могут быть	2	2
230	в мировой	1	2
231	к тому	2	2
232	жизни в	6	2
233	одной из	4	2
234	в романе	10	2
235	что он	6	2
236	читательского восприятия	1	2
237	также и	1	1
238	в сфере	1	1
239	человека и	4	1
240	и через	1	1
241	ложью не	1	1
242	трагический герой	1	1
243	связана с	1	1
244	говорилось выше	1	1
245	и есть	1	1
246	не признает	1	1
247	над этим	1	1
248	этого мира	1	1
249	от своей	1	1
250	и до	1	1
251	действительности и	2	1
252	восстает против	1	1
253	сливается с	3	1
254	одним из	4	1
255	и высшей	2	1
256	той же	3	1
257	же как	1	1
258	на первом	2	1
259	не во	2	1
260	единство и	1	1
261	чтобы не	1	1
262	впечатление от	1	1
263	не вполне	1	1
264	человек должен	1	1
265	в одиночку	1	1
266	и со	1	1
267	литературе нового	1	1
268	который может	1	1
269	не от	1	1
270	собой в	2	1
271	и на	7	1
272	эта позиция	1	1
273	зрения у	1	1
274	столь же	1	1
275	время в	3	1
276	бы то	1	1
277	тем как	1	1
278	это имеет	1	1
279	совсем не	1	1
280	нет не	2	1
281	из окна	1	1
282	если в	2	1
283	в комедии	1	1
284	каждой человеческой	2	1
285	еще один	1	1
286	отнюдь не	5	1
287	это тот	1	1
288	в истории	1	1
289	в эстетическую	1	1
290	о жизни	1	1
291	и где	1	1
292	сознания в	1	1
293	целый ряд	1	1
294	как уже	1	1
295	что по	1	1
296	в герое	1	1
297	личности а	1	1
298	искусство и	1	1
299	добро и	1	1
300	или иную	1	1
301	то в	2	1
302	к чему	1	1
303	из жизни	1	1
304	что это	1	1
305	небытию в	1	1
306	что достоевский	7	1
307	европейского романа	1	1
308	он в	1	1
309	в известном	1	1
310	нас на	1	1
311	художественный мир	1	1
312	говорят о	1	1
313	зависим от	1	1
314	имеем в	1	1
315	если он	1	1
316	у а	1	1
317	героя к	1	1
318	вследствие этого	1	1
319	на его	3	1
320	исходит из	1	1
321	что она	2	1
322	в статье	1	1
323	он ни	3	1
324	ключ к	1	1
325	первой части	3	1
326	свою собственную	1	1
327	отношений между	2	1
328	в первом	2	1
329	у читателя	1	1
330	на земле	3	1
331	его можно	1	1
332	своей свободы	1	1
333	ним на	1	1
334	мы обнаруживаем	1	1
335	подход к	1	1
336	то ни	1	1
337	не будет	2	1
338	самого процесса	1	1
339	что все	3	1
340	это первый	2	1
341	внутренней форме	1	1
342	а по	2	1
343	времени и	4	1
344	первую очередь	1	1
345	толстого в	1	1
346	свое я	4	1
347	было бы	1	1
348	в бою	1	1
349	должен был	1	1
350	весь мир	1	1
351	делает его	1	1
352	в них	1	1
353	стремился к	1	1
354	с тем	1	1
355	всю жизнь	1	1
356	он и	1	1
357	когда я	2	1
358	ведет к	2	1
359	духовной жизни	1	1
360	собой как	1	1
361	менее чем	1	1
362	с ума	1	1
363	но если	3	1
364	обращается к	1	1
365	в котором	6	1
366	современное литературоведение	1	1
367	к предмету	1	1
368	и читателя	1	1
369	себе а	1	1
370	на первой	1	1
371	сам же	1	1
372	дается в	1	1
373	за минуту	1	1
374	и внутренних	1	1
375	но эта	1	1
376	и ад	1	1
377	и более	1	1
378	автора этой	1	1
379	свобода и	1	1
380	он выступает	1	1
381	вышел в	1	1
382	и достоевского	1	1
383	у нее	1	1
384	между людьми	2	1
