N	3gram	Nazirov_Tr_1	Istorich
1	не может быть	1	7
2	тем не менее	1	6
3	в том что	2	4
4	точно так же	2	3
5	в связи с	1	3
6	с того что	1	3
7	о том что	2	3
8	но все же	2	3
9	обстоит дело с	1	2
10	и должно быть	1	2
11	в отличие от	2	2
12	все же не	1	2
13	с самого начала	1	2
14	не только по	1	1
15	в виде отдельных	1	1
16	в этом случае	1	1
17	в и ленина	1	1
18	в своей книге	1	1
19	и то в	1	1
20	и т п	1	1
21	за то что	1	1
22	стоящая на грани	1	1
23	может быть понят	1	1
24	в этой связи	1	1
25	это может быть	1	1
26	еще в году	1	1
27	еще ничего не	1	1
28	но в то	2	1
29	связаны между собой	1	1
30	не могут быть	1	1
31	и знает что	1	1
32	в дальнейшем он	1	1
33	в одном из	1	1
34	один раз и	1	1
35	виде и что	1	1
36	смысле этого слова	1	1
37	в последней главе	1	1
38	после того как	1	1
39	во всем его	1	1
40	к тому что	1	1
41	и в этом	1	1
42	несмотря на всю	1	1
43	мы узнаем в	1	1
