N	2gram	Savitsky_P_1	UchenyiS
1	и в	14	14
2	а не	2	10
3	не только	17	10
4	прежде всего	3	8
5	и не	12	8
6	не может	4	7
7	в этом	10	7
8	то что	4	7
9	может быть	5	6
10	то же	9	5
11	и только	1	5
12	все это	2	5
13	хотя бы	8	5
14	с другой	5	4
15	но и	6	4
16	в россии	3	4
17	в этой	1	4
18	и то	1	3
19	это не	3	3
20	было бы	6	3
21	как и	1	3
22	для этого	1	3
23	в частности	2	3
24	к сожалению	1	3
25	этой области	1	3
26	в то	7	3
27	все же	1	3
28	но в	9	3
29	формы в	1	3
30	же время	7	3
31	в области	11	3
32	только к	1	3
33	другой стороны	1	3
34	не как	1	3
35	не о	2	3
36	что все	1	2
37	именно как	2	2
38	и с	2	2
39	и через	1	2
40	должна быть	1	2
41	мы не	3	2
42	является в	2	2
43	если бы	4	2
44	что мы	3	2
45	не столько	2	2
46	должна была	1	2
47	том что	4	2
48	сводится к	3	2
49	мы и	1	2
50	литературы и	1	2
51	на каждом	1	2
52	с его	1	2
53	но не	3	2
54	думается что	1	2
55	не все	1	2
56	в его	2	2
57	что и	1	2
58	по себе	4	2
59	более чем	2	2
60	этом смысле	1	2
61	могли бы	1	2
62	в том	9	2
63	в себе	3	2
64	в самом	1	2
65	между тем	3	2
66	только в	7	2
67	не в	5	2
68	не есть	1	2
69	бы и	1	2
70	могут быть	3	2
71	как раз	2	2
72	и это	2	1
73	тем в	1	1
74	в последние	2	1
75	поэзии и	1	1
76	же как	1	1
77	в исторической	1	1
78	значительной мере	2	1
79	к следующему	1	1
80	и быть	1	1
81	было и	1	1
82	в пределах	8	1
83	никогда не	1	1
84	не ограничиваются	1	1
85	одной стороны	3	1
86	в сфере	2	1
87	с тем	3	1
88	и техники	1	1
89	развитие в	1	1
90	должно быть	2	1
91	но идея	1	1
92	не вполне	1	1
93	или менее	1	1
94	воспринимает не	1	1
95	в г	1	1
96	в порядке	3	1
97	науки они	2	1
98	тех кто	4	1
99	как на	2	1
100	историю в	1	1
101	в ней	6	1
102	и потому	4	1
103	в котором	4	1
104	и что	1	1
105	он был	1	1
106	в различных	1	1
107	в значительной	2	1
108	чем то	1	1
109	он будет	1	1
110	чем к	1	1
111	в данном	1	1
112	переходит в	1	1
113	того что	2	1
114	друг другу	2	1
115	в которых	5	1
116	образом на	2	1
117	отдельности и	1	1
118	друг с	1	1
119	ней не	2	1
120	на то	1	1
121	и вся	1	1
122	отнюдь не	2	1
123	она не	1	1
124	для тех	2	1
125	в преодолении	1	1
126	в своем	4	1
127	что с	1	1
128	известно не	1	1
129	но для	1	1
130	обе эти	1	1
131	она должна	1	1
132	тот же	3	1
133	более или	1	1
134	в которой	1	1
135	о котором	1	1
136	бы ни	2	1
137	не было	2	1
138	находятся в	1	1
139	тогда когда	1	1
140	с одной	3	1
141	в качестве	9	1
142	в задачах	1	1
143	тем более	2	1
144	в известном	1	1
145	начала и	2	1
146	что по	1	1
147	далеко не	1	1
148	но также	4	1
149	наша задача	1	1
150	же в	4	1
151	в виде	2	1
152	что было	1	1
153	в нем	3	1
154	связанные с	1	1
155	с другом	1	1
156	где бы	2	1
157	только как	1	1
158	одно из	1	1
159	исходить из	1	1
160	sturm und	1	1
161	в отдельности	1	1
162	последние годы	1	1
163	само по	1	1
164	насколько мы	1	1
165	мы можем	1	1
166	всего что	1	1
167	поэтики в	1	1
168	это в	1	1
169	что при	1	1
170	что в	4	1
171	признание что	2	1
172	бы это	1	1
