N	3gram	Tiupa_Vved_1	DiskursI
1	в том что	3	13
2	по отношению к	7	9
3	с одной стороны	5	9
4	тогда как в	1	5
5	по природе своей	1	5
6	о том что	4	5
7	в отличие от	2	4
8	то же время	3	4
9	к тому же	4	4
10	и т.п но	1	3
11	но при этом	2	3
12	а с другой	2	3
13	не в том	1	3
14	той или иной	2	3
15	не может быть	3	3
16	в свою очередь	4	3
17	с другой стороны	1	3
18	в то же	4	3
19	пока еще не	3	3
20	в строгом значении	1	2
21	по своей природе	2	2
22	в е годы	1	2
23	мы имеем дело	3	2
24	и того же	1	2
25	а не в	1	2
26	подобно тому как	2	2
27	действующее лицо события	2	2
28	в том числе	1	2
29	в соответствии с	6	2
30	то же самое	1	2
31	а в том	1	2
32	картина мира которая	1	2
33	одной стороны и	1	2
34	в речевой практике	1	2
35	сами по себе	1	2
36	значении этого термина	1	2
37	том числе и	1	2
38	свидетель и судия	2	2
39	событий процессов состояний	1	2
40	в основе своей	1	2
41	далеко не ограничивается	1	2
42	по крайней мере	1	2
43	главное действующее лицо	2	2
44	в значительной степени	1	2
45	события свидетель и	2	2
46	первого и второго	1	2
47	большей или меньшей	1	2
48	а не только	1	2
49	в данном случае	6	2
50	лицо события свидетель	2	2
51	в том чтобы	2	2
52	по сути своей	1	2
53	не только в	2	2
54	не сводится к	4	2
55	по своему происхождению	1	2
56	состоит в том	2	2
57	едва ли не	2	2
58	событие самого рассказывания	2	2
59	в частности в	2	2
60	более или менее	2	2
61	сказать и о	1	2
62	науке о литературе	1	2
63	то есть в	1	2
64	по сути дела	1	2
65	можно сказать что	1	2
66	одного и того	1	2
67	в начале х	1	2
68	самого рассказывания в	1	2
69	в науке о	1	2
70	высказываний пиететное цитирование	1	1
71	рассказывается то есть	1	1
72	его событийной полноте	1	1
73	здесь как и	1	1
74	действие или положение	1	1
75	адресатом как иерархические	1	1
76	как таковой в	1	1
77	в этом случае	1	1
78	повторяющееся действие или	1	1
79	напротив они сходятся	1	1
80	только раскрывают содержание	1	1
