N	3gram	Nazirov_Tr_1	Istorich
1	в этом случае	1	7
2	о том что	2	4
3	в связи с	1	4
4	но все же	2	4
5	тем не менее	1	4
6	не может быть	1	3
7	после того как	1	3
8	в данном случае	2	2
9	и вместе с	1	2
10	в том что	2	2
11	как и в	1	2
12	как и его	1	1
13	объясняется тем что	1	1
14	но это уже	1	1
15	сам по себе	1	1
16	что он не	1	1
17	в отличие от	2	1
18	может быть в	1	1
19	то же время	5	1
20	точно так же	2	1
21	что все это	1	1
22	у него нет	1	1
23	это может быть	1	1
24	может быть не	1	1
25	еще ничего не	1	1
26	на мысль что	1	1
27	то что он	1	1
28	она все же	1	1
29	во всяком случае	1	1
30	только один раз	1	1
31	а я буду	2	1
32	что уже не	1	1
33	с самого начала	1	1
34	несмотря на всю	1	1
35	в самом деле	1	1
36	и в образе	1	1
37	в то же	5	1
38	быть отнесены к	1	1
