N	2gram	Bakhtin_sl_1	formyVre
1	и в	41	46
2	в этом	12	22
3	у рабле	3	18
4	и т	28	14
5	прежде всего	8	14
6	вовсе не	7	13
7	в романе	21	13
8	и его	14	12
9	во всех	17	11
10	не только	16	11
11	только в	6	11
12	т п	23	11
13	смерти в	1	11
14	как бы	12	10
15	то есть	26	10
16	точки зрения	16	10
17	в том	3	10
18	но в	8	10
19	мы уже	2	9
20	не в	7	9
21	у него	3	9
22	но и	16	9
23	вместе с	1	9
24	и не	16	9
25	и для	4	9
26	то же	14	8
27	смерть и	1	8
28	как и	4	8
29	с точки	8	8
30	для того	2	8
31	того чтобы	1	8
32	потому что	2	8
33	связи с	2	8
34	в его	13	8
35	из них	3	8
36	в основном	3	8
37	жизни и	1	8
38	и на	14	7
39	так сказать	5	7
40	всех этих	4	7
41	так и	11	7
42	в них	6	7
43	может быть	14	7
44	в одном	2	7
45	как мы	8	6
46	еще не	4	6
47	все же	7	6
48	и наконец	4	6
49	при этом	6	6
50	человека в	1	6
51	и с	4	6
52	его в	3	6
53	в основе	5	6
54	романе в	3	6
55	никогда не	3	6
56	те же	2	6
57	и во	3	6
58	так как	3	6
59	в особенности	8	6
60	здесь в	4	6
61	все это	5	6
62	и все	4	6
63	но не	2	5
64	с этим	3	5
65	в своем	3	5
66	все эти	9	5
67	связанные с	3	5
68	он не	3	5
69	в нем	30	5
70	этих форм	1	5
71	должно быть	2	5
72	громадное значение	1	5
73	в то	14	5
74	и у	2	5
75	и др	14	5
76	в частности	2	5
77	в пределах	14	5
78	по существу	3	5
79	в смысле	4	5
80	также и	3	4
81	и самое	2	4
82	и он	1	4
83	что они	2	4
84	в истории	3	4
85	как в	8	4
86	из этих	3	4
87	в себе	3	4
88	и было	1	4
89	том что	2	4
90	в котором	2	4
91	место в	1	4
92	том же	4	4
93	героев и	1	4
94	же время	12	4
95	с ним	7	4
96	о том	3	4
97	его жизни	1	4
98	все его	4	4
99	так что	2	4
100	конечно не	3	4
101	пересекается с	1	4
102	за ними	1	4
103	с другом	2	4
104	и их	1	4
105	а не	15	4
