N	2gram	Propp_Isto_6	Tragedij
1	и в	26	18
2	в этом	12	9
3	не только	10	8
4	и с	6	7
5	и на	12	7
6	может быть	11	7
7	как бы	4	7
8	и не	10	7
9	но в	7	6
10	и его	7	6
11	в образе	10	6
12	что он	9	6
13	у него	7	6
14	то же	5	5
15	все же	8	5
16	что это	2	5
17	это не	4	5
18	как и	5	5
19	несмотря на	1	5
20	в то	5	5
21	так и	5	5
22	не может	6	5
23	еще не	9	4
24	в себе	3	4
25	в целом	1	4
26	в этой	2	4
27	в нем	8	4
28	об этом	1	4
29	том что	10	4
30	что я	1	4
31	и что	5	4
32	но и	9	4
33	и даже	1	4
34	прежде всего	4	4
35	так же	2	4
36	но это	4	4
37	все это	1	4
38	что в	12	4
39	то что	6	4
40	в мире	1	3
41	и он	4	3
42	своего рода	2	3
43	как в	6	3
44	в своем	2	3
45	и как	2	3
46	все эти	8	3
47	при этом	3	3
48	то есть	1	3
49	тем самым	2	3
50	что с	1	3
51	о чем	2	3
52	с ее	1	3
53	и сам	2	3
54	жизнь и	1	3
55	с ним	8	3
56	к нему	1	3
57	в его	5	3
58	один из	3	3
59	уже в	1	3
60	для него	1	3
61	никто не	2	3
62	как будто	3	3
63	как это	5	3
64	вряд ли	1	2
65	и до	2	2
66	что эти	2	2
67	а как	1	2
68	никогда не	13	2
69	и то	3	2
70	голод и	2	2
71	он был	2	2
72	с его	4	2
73	ее к	3	2
74	отношение к	1	2
75	отличие от	1	2
76	тут же	1	2
77	не просто	1	2
78	так что	3	2
79	как говорит	1	2
80	перед нами	2	2
81	то и	2	2
82	жизнью и	1	2
83	он не	2	2
84	что она	3	2
85	но все	2	2
86	что все	1	2
87	его в	5	2
88	знает что	1	2
89	превратилось в	2	2
90	в это	4	2
91	ни в	2	2
92	нет в	3	2
93	с тем	4	2
94	я увидел	1	2
95	вопрос о	3	2
96	не в	3	2
97	что этот	2	2
98	этими двумя	1	2
99	одна из	2	2
100	не имеет	2	2
101	не могут	1	2
102	он и	2	2
103	к тому	2	2
104	и это	8	2
105	но при	2	2
106	в ее	1	2
107	данном случае	3	2
108	он вообще	1	2
109	еще в	3	2
110	как у	2	2
111	ничего не	2	2
112	и здесь	1	2
113	о том	7	2
114	теперь и	1	2
115	что и	4	2
116	ее за	1	2
117	в том	12	2
118	между этими	1	2
119	и ее	3	2
120	уже не	7	2
121	в виде	6	2
122	не так	2	2
123	в одном	3	2
124	друг друга	1	2
125	не случайно	1	2
126	на меня	1	2
127	тем что	5	2
128	в самую	1	2
129	под влиянием	1	2
130	в данном	3	2
131	о его	1	2
132	еще раз	1	2
133	потому что	13	2
134	со мной	1	2
135	состоит из	1	2
136	в частности	3	2
137	этим объясняется	3	2
138	во сне	3	2
139	в таком	1	2
140	точно так	2	2
141	только он	2	1
142	ли мы	1	1
143	ту же	2	1
144	также что	1	1
145	и т	10	1
146	одним из	1	1
147	например в	7	1
148	рассказ об	1	1
149	я его	2	1
150	он показывает	1	1
151	и др	2	1
152	силы и	1	1
153	и есть	1	1
154	что когда	2	1
155	старика и	1	1
156	в какой-то	1	1
157	должна быть	3	1
158	и новые	1	1
159	не вполне	2	1
160	золотом веке	1	1
161	в ней	5	1
162	представляет собой	2	1
163	и доброго	1	1
164	во всех	1	1
165	но не	2	1
166	могло быть	2	1
167	но как	4	1
168	в голове	1	1
169	странное место	1	1
170	положение о	1	1
171	тогда как	2	1
172	такой силой	1	1
173	сменяющие друг	1	1
174	в истории	1	1
175	вот я	1	1
176	что именно	1	1
177	место где	1	1
178	и наконец	3	1
179	из книги	1	1
180	и хотя	2	1
181	оттого что	3	1
182	не получил	1	1
183	он в	1	1
184	как он	6	1
185	если он	3	1
186	и если	1	1
187	вообще не	3	1
188	по-видимому не	1	1
189	эта деталь	1	1
190	на западе	2	1
191	не значит	1	1
192	его самого	1	1
193	к одному	1	1
194	что нужно	1	1
195	не как	1	1
196	судьба ее	1	1
197	так часто	2	1
198	этом мире	1	1
199	и по	4	1
200	на этом	1	1
201	что сам	1	1
202	таким образом	12	1
203	от нее	2	1
204	здесь мы	4	1
205	а затем	1	1
206	же не	2	1
207	в другом	1	1
208	и чтобы	1	1
209	на все	1	1
210	обоих случаях	1	1
211	с визгом	1	1
212	известно что	2	1
213	а это	1	1
214	но уже	1	1
215	в них	3	1
216	он же	1	1
217	когда я	1	1
218	с такой	1	1
219	обратимся к	1	1
220	перед собой	1	1
221	или вообще	2	1
222	но если	1	1
223	и при	1	1
224	в своей	3	1
225	этой связи	1	1
226	где мы	1	1
227	в котором	1	1
228	человеком и	2	1
229	может погибнуть	1	1
230	не столько	1	1
231	представление о	9	1
232	миф о	2	1
233	должны были	2	1
234	и вот	3	1
235	но он	2	1
236	и один	1	1
237	тем не	1	1
238	борьбу с	1	1
239	того кто	1	1
240	тому что	1	1
241	не менее	1	1
242	она не	3	1
243	на земле	4	1
244	в обоих	1	1
245	считает что	1	1
246	на котором	3	1
247	того как	3	1
248	как его	1	1
249	в полночь	2	1
250	это мы	2	1
251	за тебя	1	1
252	или как	2	1
253	к ней	1	1
254	по своей	1	1
255	связь и	1	1
256	это сказывается	1	1
257	для нас	2	1
258	сел на	2	1
259	что на	1	1
260	в области	1	1
261	ли это	1	1
262	перед ним	1	1
263	в стиле	1	1
264	и далее	2	1
265	к себе	2	1
