N	2gram	Bakhtin_Pr_5	IolandNe
1	и с	12	3
2	и не	27	2
3	достоевского а	1	2
4	в этом	14	2
5	записок из	3	2
6	он не	13	2
7	творчества достоевского	1	2
8	что в	6	2
9	самого себя	1	2
10	ничего не	3	2
11	же это	1	1
12	себя в	2	1
13	все это	14	1
14	этим и	1	1
15	нисколько не	1	1
16	с голядкиным	1	1
17	федор павлович	1	1
18	и в	35	1
19	только что	3	1
20	жизни этого	1	1
21	в эту	4	1
22	я не	8	1
23	то и	1	1
24	них не	1	1
25	бы в	4	1
26	того же	1	1
27	жил в	1	1
28	и со	3	1
29	с другой	4	1
30	и та	2	1
31	это было	2	1
32	а в	7	1
33	еще одной	1	1
34	доказать что	1	1
35	того что	3	1
36	и без	4	1
37	смердякова и	1	1
38	на котором	1	1
39	а с	3	1
40	другой стороны	3	1
41	для него	14	1
42	в основе	1	1
43	самого достоевского	1	1
44	в значительной	1	1
45	говорить о	3	1
46	и сам	7	1
47	есть только	2	1
48	отношению к	7	1
49	ненависть к	2	1
50	так и	8	1
51	бы его	3	1
52	он с	6	1
53	того чтобы	1	1
54	достоевского с	1	1
55	во многом	1	1
56	не случайно	2	1
57	никогда не	4	1
58	его личности	1	1
59	из подполья	35	1
60	только для	1	1
61	и очень	1	1
62	и ничего	1	1
63	эпизод с	2	1
64	тех же	1	1
65	для других	3	1
66	тем что	4	1
67	в целом	3	1
68	точно и	1	1
69	по отношению	6	1
70	введение в	1	1
71	в них	4	1
72	все эти	3	1
73	ибо и	2	1
74	со всеми	3	1
75	если бы	1	1
76	для того	1	1
77	без этого	1	1
78	несут и	2	1
