N	2gram	Medvedev_S_1	KFilosof
1	может быть	2	43
2	в его	3	39
3	не может	1	27
4	и не	1	26
5	по отношению	2	25
6	и в	3	22
7	в котором	1	21
8	отношению к	2	21
9	и его	1	17
10	только в	2	16
11	в этом	5	13
12	но не	1	12
13	все эти	1	11
14	в своей	1	11
15	не в	3	11
16	это не	1	10
17	все это	7	10
18	из себя	1	10
19	и есть	1	9
20	в целом	1	9
21	но и	2	9
22	как бы	2	9
23	было бы	2	8
24	не было	1	8
25	то что	2	7
26	конечно не	1	7
27	вовсе не	1	7
28	отнюдь не	1	6
29	в мире	1	6
30	и только	3	6
31	в смысле	2	6
32	в том	5	6
33	но как	1	5
34	все же	1	5
35	не только	3	5
36	но ведь	3	5
37	то же	2	5
38	его в	1	5
39	как и	1	5
40	никогда не	1	5
41	ни одно	1	5
42	с ним	1	5
43	именно в	1	5
44	хотя бы	1	5
45	в чем	1	4
46	место в	1	4
47	между тем	1	4
48	том что	2	4
49	для нас	3	4
50	а в	1	4
51	только как	2	4
52	что в	2	4
53	должна быть	2	3
54	мы не	1	3
55	что это	1	3
56	еще не	2	3
57	в каждом	1	3
58	положения в	1	3
59	ничего не	1	3
60	о том	1	3
61	не дает	1	3
62	тем что	1	3
63	вступает в	1	3
64	в то	1	3
65	я и	1	2
66	это и	2	2
67	в данном	1	2
68	и как	1	2
69	в этой	1	2
70	в виде	1	2
71	так и	1	2
72	и мы	2	2
73	он ни	1	2
74	по себе	1	2
75	тому что	1	2
76	дело не	2	2
77	в процессе	1	2
78	же время	1	2
79	в области	1	2
80	бы он	1	2
81	может не	1	2
82	единства и	1	2
83	в него	1	2
84	что он	1	2
85	а с	1	2
86	именно на	1	2
87	него и	1	2
88	не из	1	2
89	для этого	1	2
90	прежде всего	1	2
91	и потому	1	2
92	быть не	1	2
93	и понимает	1	1
94	тем же	1	1
95	что эти	1	1
96	столь же	1	1
97	а тем	1	1
98	его построения	1	1
99	и будет	1	1
100	я остаюсь	1	1
101	более чем	3	1
102	вокруг этих	1	1
103	и наконец	1	1
104	и куда	1	1
105	что она	1	1
106	главным образом	2	1
107	по самому	1	1
108	и по	1	1
109	же не	1	1
110	в этих	1	1
111	всяком случае	1	1
112	не от	1	1
113	новое и	1	1
114	мысли в	1	1
115	но только	1	1
116	факта что	1	1
117	точке зрения	1	1
118	представляется нам	1	1
119	и должно	1	1
120	и о	1	1
121	более не	1	1
122	что все	1	1
123	в настоящее	1	1
124	образом в	1	1
125	на все	1	1
126	нашей работы	1	1
127	настоящее время	1	1
128	не выходит	1	1
129	ни на	1	1
130	в конечном	1	1
131	связь между	1	1
132	литературе о	1	1
133	сказать и	1	1
134	в лучшем	1	1
135	ровно ничего	1	1
136	один из	1	1
137	или нет	1	1
138	систематическое единство	1	1
139	только тогда	1	1
140	конечном счете	1	1
141	ведь это	2	1
142	наше время	1	1
143	может служить	1	1
144	границы и	1	1
145	в соответствующих	1	1
146	человек все	1	1
147	и затем	1	1
148	противном случае	1	1
149	конечно только	1	1
150	зависит от	1	1
151	ценное что	1	1
152	где же	1	1
153	но сам	1	1
154	когда мы	1	1
155	это значит	1	1
156	только для	1	1
157	лучшем случае	1	1
158	же самое	1	1
159	в противном	1	1
160	остается в	1	1
161	она должна	1	1
162	она может	2	1
163	мы должны	1	1
164	или не	1	1
165	между ними	1	1
166	будет тем	1	1
167	во всяком	1	1
168	они не	1	1
