N	2gram	Propp_Isto_7	BTomashe
1	и не	4	2
2	больше чем	1	2
3	все это	8	2
4	в ней	1	2
5	видеть в	3	2
6	можно было	1	2
7	об исторических	1	1
8	же не	1	1
9	тем более	2	1
10	об этом	6	1
11	и в	24	1
12	не вполне	3	1
13	и о	2	1
14	к ней	2	1
15	некоторого единства	1	1
16	с другой	9	1
17	в своей	1	1
18	необходимо отметить	1	1
19	на которой	1	1
20	как будто	1	1
21	и нет	2	1
22	было бы	2	1
23	все же	9	1
24	а о	1	1
25	кроме того	3	1
26	никак не	1	1
27	еще не	8	1
28	имеющихся в	2	1
29	и на	2	1
30	только одной	1	1
31	стоит на	1	1
32	одной из	4	1
33	должна быть	1	1
34	прежде всего	2	1
35	в данном	4	1
36	и во	1	1
37	так и	5	1
38	в книге	1	1
39	его не	2	1
40	как часть	1	1
41	далеко не	1	1
42	не о	1	1
43	всего в	1	1
44	нельзя не	1	1
45	а не	8	1
46	что в	13	1
47	другой стороны	8	1
48	также не	1	1
49	и ее	2	1
50	не все	3	1
51	таким образом	7	1
52	материала по	2	1
53	вопрос о	3	1
54	и более	1	1
55	и потому	1	1
56	не только	21	1
