N	2gram	Potebnia_M_1	Myshleni
1	в развитии	1	28
2	то что	10	26
3	в этом	15	25
4	что он	1	25
5	потому что	52	21
6	таким образом	13	19
7	точки зрения	8	18
8	в том	26	18
9	не может	22	18
10	того чтобы	2	17
11	не только	21	16
12	и в	39	16
13	того что	8	16
14	так как	21	16
15	что в	22	16
16	том что	16	15
17	понятий и	1	15
18	так же	5	15
19	для того	3	14
20	в сущности	2	13
21	сказать что	3	13
22	вопрос о	4	12
23	по отношению	13	12
24	в области	1	12
25	и что	10	12
26	и не	18	12
27	и развития	2	12
28	отношению к	13	12
29	из того	2	11
30	в его	5	11
31	развития и	3	11
32	но не	8	10
33	было бы	12	10
34	как мы	2	10
35	только в	25	10
36	а не	21	10
37	с точки	3	9
38	в отношении	1	9
39	может быть	27	9
40	то же	6	8
41	в известном	1	8
42	понятий в	2	8
43	должно быть	7	8
44	как и	9	8
45	если бы	14	8
46	тем самым	4	8
47	о том	2	8
48	он не	3	8
49	мы должны	3	8
50	же как	1	7
51	того же	3	7
52	переход от	1	7
53	и есть	2	7
54	в нем	20	7
55	но он	2	7
56	по себе	10	7
57	приводит к	1	7
58	так и	13	7
59	мы могли	1	7
60	если мы	3	7
61	наших исследований	1	6
62	и на	1	6
63	в мысли	8	6
64	могли бы	2	6
65	но в	9	6
66	умственного развития	1	6
67	в этой	3	6
68	как он	1	6
69	связанные с	1	6
70	в другом	1	6
71	но если	2	6
72	не в	15	6
73	что оно	2	6
74	своего развития	1	6
75	что все	3	6
76	языка и	17	6
77	и следовательно	2	6
78	этот вопрос	2	6
79	мы можем	2	6
80	у него	1	6
81	развития в	1	6
82	но и	20	6
83	речи и	10	6
84	в какой	1	6
85	к тому	4	6
86	в такой	1	5
87	этой теории	4	5
88	должна быть	3	5
89	что они	1	5
90	как в	10	5
91	в своем	3	5
92	говорит что	1	5
93	в которой	2	5
94	он должен	2	5
95	на все	2	5
96	из нее	1	5
97	показывает что	3	5
98	тому что	3	5
99	мысли и	9	5
100	с ним	3	5
101	что с	1	5
102	самого начала	3	5
103	в то	4	5
104	тогда когда	9	5
105	того как	6	5
106	в деятельности	2	5
107	никогда не	4	5
108	ничего не	1	5
109	этом отношении	1	5
110	с самого	3	5
111	можно было	1	5
112	на вопрос	1	5
113	заключается в	3	5
114	значит что	1	5
115	хотя бы	2	5
116	для него	4	5
117	тем что	9	5
118	как бы	6	5
119	это значит	1	5
120	с необходимостью	1	5
121	еще более	2	5
122	только что	2	5
123	и то	3	4
124	отношений в	1	4
125	уже по	1	4
126	той же	3	4
127	что если	3	4
128	оба эти	1	4
129	мысль что	5	4
130	а только	4	4
131	не то	1	4
132	друг от	2	4
133	за пределы	2	4
134	сама по	3	4
135	в самом	3	4
136	все эти	1	4
137	с их	1	4
138	при этом	6	4
139	подобно тому	3	4
140	и по	6	4
141	это не	7	4
142	и другое	3	4
143	мысли в	9	4
144	мышления и	1	4
145	не имеет	5	4
146	в самых	1	4
147	могут быть	9	4
148	не есть	10	4
149	от друга	2	4
150	еще не	6	4
151	системы понятий	1	4
152	в теории	2	4
153	развития но	1	4
154	так что	16	4
