N	2gram	Medvedev_I_1	Poddanst
1	и в	1	14
2	и не	2	12
3	в этом	2	10
4	с другой	1	5
5	и о	1	5
6	если бы	1	4
7	а также	1	4
8	что в	2	4
9	а в	1	4
10	для того	1	3
11	и без	1	3
12	значительной мере	1	2
13	в значительной	1	2
14	говорить о	1	2
15	и дети	1	2
16	того что	1	2
17	и и	1	2
18	и с	3	2
19	в них	1	2
20	в эту	1	2
21	более чем	1	2
22	все это	1	2
23	бы что	2	1
24	должен быть	2	1
25	себя в	1	1
26	от нее	1	1
27	а с	1	1
28	нисколько не	1	1
29	и еще	1	1
30	и очень	1	1
31	того чтобы	1	1
32	никогда не	1	1
33	другой стороны	1	1
34	только что	1	1
35	что при	1	1
