N	2gram	Medvedev_V_1	StatiiOP
1	и в	26	44
2	в том	15	36
3	и т	23	30
4	что в	10	30
5	том что	8	29
6	пушкина в	1	24
7	в этом	26	21
8	т д	14	21
9	вовсе не	3	19
10	не только	25	18
11	то что	6	18
12	было бы	7	17
13	о том	10	17
14	а в	3	17
15	а не	7	16
16	и не	19	16
17	может быть	22	15
18	т е	18	15
19	в области	2	14
20	в данном	1	14
21	как в	1	13
22	можно было	2	13
23	не в	6	12
24	самом деле	1	11
25	в этой	4	11
26	того чтобы	3	11
27	у нас	2	11
28	точки зрения	3	11
29	но в	2	10
30	для того	3	10
31	что он	4	10
32	только в	7	10
33	но и	10	10
34	также и	2	9
35	как и	7	9
36	в то	6	9
37	так и	5	9
38	если бы	3	9
39	того что	3	9
40	в его	14	9
41	т п	9	9
42	с другой	11	9
43	например в	3	8
44	во всех	6	8
45	все же	5	8
46	но ведь	1	8
47	это не	7	8
48	из них	9	8
49	у пушкина	2	8
50	и его	6	8
51	не может	17	8
52	на эти	2	7
53	что они	3	7
54	в самом	4	7
55	в статье	4	7
56	так например	2	7
57	таким образом	31	7
58	другой стороны	8	7
59	для нас	1	7
60	этом отношении	13	7
61	до сих	1	7
62	прежде всего	13	7
63	сих пор	1	7
64	сказать что	5	7
65	по поводу	2	7
66	из этих	7	6
67	в своей	4	6
68	потому что	1	6
69	данном случае	1	6
70	что и	3	6
71	всяком случае	1	6
72	для него	8	6
73	именно в	2	6
74	в той	1	6
75	но это	1	6
76	хотя бы	19	6
77	во всяком	1	6
78	вряд ли	1	5
79	и то	1	5
80	то же	10	5
81	уже о	1	5
82	в целом	4	5
83	все эти	6	5
84	в нем	6	5
85	евгения онегина	1	5
86	и по	3	5
87	в слове	3	5
88	в котором	3	5
89	в которых	3	5
90	этой области	3	5
91	не менее	2	5
92	вплоть до	2	5
93	никогда не	4	5
94	могут быть	5	5
95	тем что	1	5
96	и даже	2	5
97	несколько примеров	1	5
98	что мы	2	5
99	все это	10	5
100	совершенно не	1	5
101	жизни и	3	5
102	так же	3	5
103	речь идет	1	4
104	как это	12	4
105	это и	6	4
106	в которой	2	4
107	вопрос о	1	4
108	бы и	6	4
109	на то	1	4
110	что она	2	4
111	по словам	8	4
112	является не	4	4
113	том как	3	4
114	можно ли	2	4
115	дело не	1	4
116	не имеет	1	4
117	же время	5	4
118	как будто	1	4
119	том отношении	2	4
120	в ее	4	4
121	что у	2	4
122	на вопрос	2	4
123	и что	1	4
124	д но	1	4
125	заключается в	2	4
126	этот вопрос	3	4
127	в качестве	11	4
