N	3gram	Berdyaev_O_1	Problema
1	для того чтобы	3	8
2	на то что	1	8
3	сам по себе	1	7
4	о том что	1	5
5	в том что	1	5
6	во всяком случае	1	3
7	то что в	1	3
8	о том как	1	2
9	хотя и не	1	2
10	в самом деле	1	2
11	ли сказать что	2	2
12	можно ли сказать	2	2
13	и то что	1	2
14	а не только	1	2
15	и в этом	2	2
16	не может быть	2	2
17	с тем что	2	2
18	и в самом	1	2
19	от человека к	1	1
20	ни к каким	1	1
21	в записках из	3	1
22	не было и	1	1
23	него всегда есть	1	1
24	в этом отношении	1	1
25	вовсе не так	1	1
26	записках из подполья	3	1
27	иван карамазов есть	1	1
28	в самом начале	1	1
29	действующих лиц в	1	1
30	и не быть	1	1
31	как будто бы	1	1
32	это было бы	2	1
33	не могут быть	2	1
34	а вовсе не	1	1
35	есть не только	1	1
36	а не в	2	1
37	и в том	1	1
38	уже сам по	1	1
39	хотя бы даже	1	1
40	преступление и наказание	1	1
41	даже и в	1	1
42	есть одно из	1	1
43	в вечном муже	1	1
44	в братьях карамазовых	1	1
45	и в его	1	1
46	или лучше сказать	1	1
47	как и в	1	1
48	не есть просто	1	1
