N	2gram	Propp_Russ_1	Tragedij
1	и в	36	18
2	в году	2	9
3	в этом	12	9
4	не только	22	8
5	и с	2	7
6	и на	10	7
7	может быть	8	7
8	как бы	5	7
9	и не	6	7
10	но в	2	6
11	и его	1	6
12	в образе	2	6
13	что он	1	6
14	у него	2	6
15	то же	3	5
16	все же	5	5
17	что это	3	5
18	это не	10	5
19	как и	10	5
20	несмотря на	3	5
21	в то	1	5
22	в дальнейшем	2	5
23	так и	7	5
24	не может	4	5
25	к жизни	3	5
26	еще не	4	4
27	в себе	1	4
28	в целом	2	4
29	в этой	1	4
30	в нем	2	4
31	об этом	9	4
32	том что	19	4
33	что я	1	4
34	и что	4	4
35	но и	16	4
36	так же	3	4
37	но это	4	4
38	все это	6	4
39	что в	19	4
40	и все	1	4
41	то что	6	4
42	и он	1	3
43	своего рода	3	3
44	отнюдь не	2	3
45	как в	5	3
46	в своем	3	3
47	и как	2	3
48	все эти	2	3
49	при этом	6	3
50	то есть	3	3
51	о чем	3	3
52	в поле	3	3
53	и сам	1	3
54	жизнь и	1	3
55	с ним	2	3
56	к нему	1	3
57	в его	2	3
58	один из	8	3
59	уже в	1	3
60	как будто	5	3
61	как это	8	3
62	в основном	3	3
63	в первом	1	2
64	из самых	1	2
65	и до	2	2
66	что эти	1	2
67	и за	1	2
68	из своих	1	2
69	он был	2	2
70	не был	1	2
71	но этого	1	2
72	с его	1	2
73	отличие от	1	2
74	тут же	2	2
75	не просто	2	2
76	так что	2	2
77	она как	1	2
78	это был	1	2
79	перед нами	1	2
80	с г	2	2
81	то и	1	2
82	и лучше	2	2
83	он не	1	2
84	что она	2	2
85	но все	3	2
86	что все	1	2
87	его в	1	2
88	превратилось в	1	2
89	в это	3	2
90	ни в	1	2
91	нет в	1	2
92	с тем	8	2
93	любви и	1	2
94	в отличие	1	2
95	вопрос о	1	2
96	одном из	1	2
97	но эта	1	2
98	что этот	4	2
99	но они	3	2
100	одна из	4	2
101	не имеет	6	2
102	в русском	4	2
103	не могут	1	2
104	он и	1	2
105	к тому	4	2
106	и это	1	2
107	данном случае	1	2
108	еще в	4	2
109	как у	1	2
110	ничего не	3	2
111	и здесь	2	2
112	о том	8	2
113	в глаза	1	2
114	что и	7	2
115	бросается в	1	2
116	в том	17	2
117	даже если	1	2
118	который в	1	2
119	и ее	1	2
120	и детей	1	2
121	уже не	6	2
122	в виде	6	2
123	не так	1	2
124	в одном	3	2
125	не случайно	2	2
126	тем что	4	2
127	говорит о	1	2
128	до конца	2	2
129	под влиянием	1	2
130	было в	1	2
131	я тебе	1	2
132	в данном	1	2
133	и дети	1	2
134	потому что	10	2
135	в частности	2	2
136	только о	1	2
137	этим объясняется	1	2
138	по поводу	1	2
139	в таком	1	2
140	точно так	1	2
141	ту же	1	1
142	и т	10	1
143	например в	2	1
144	а из	1	1
145	и др	4	1
146	самом деле	1	1
147	за все	2	1
148	на две	1	1
149	должна быть	1	1
150	не думает	1	1
151	и могут	1	1
152	собой как	1	1
153	богатые люди	1	1
154	не вполне	1	1
155	на себя	2	1
156	ему в	1	1
157	в виду	1	1
158	в ней	2	1
159	в xix	10	1
160	представляет собой	4	1
161	между собой	2	1
162	и служит	1	1
163	в чем	1	1
164	во всех	4	1
165	на другой	1	1
166	в петербурге	1	1
167	но не	2	1
168	и ненависти	1	1
169	значение и	2	1
170	стол все	1	1
171	с совершенно	1	1
172	тогда как	2	1
173	на стол	4	1
174	далее следует	1	1
175	в истории	1	1
176	что именно	2	1
177	и наконец	1	1
178	в которой	1	1
179	общеизвестно что	1	1
180	как он	2	1
181	по-видимому не	1	1
182	на западе	2	1
183	не значит	2	1
184	чем у	2	1
185	до xx	1	1
186	не к	1	1
187	не как	1	1
188	в россии	4	1
189	ее своей	1	1
190	недостаточно чтобы	1	1
191	теперь еще	1	1
192	и по	8	1
193	на этом	3	1
194	что сам	1	1
195	таким образом	6	1
196	здесь мы	1	1
197	а затем	1	1
198	же не	2	1
199	на все	2	1
200	известно что	1	1
201	быть не	1	1
202	по улицам	4	1
203	на свои	1	1
204	этом мы	1	1
205	повод для	1	1
206	в них	6	1
207	он же	3	1
208	что ему	2	1
209	со своими	1	1
210	которой он	1	1
