N	3gram	Nazirov_Tv_2	FransuaR
1	то же время	7	10
2	в то же	7	10
3	до сих пор	3	8
4	мы уже говорили	1	7
5	в том что	2	6
6	и в то	2	5
7	сих пор еще	1	4
8	как и в	1	4
9	в другом месте	1	3
10	в том числе	1	3
11	в связи с	1	3
12	том числе и	1	2
13	но в то	1	2
14	дело в том	1	2
15	в то время	1	2
16	с одной из	1	2
17	в нем и	1	2
18	о том что	2	2
19	с другой стороны	2	2
20	не может быть	3	2
21	мы видим в	1	1
22	в которой он	1	1
23	в чем же	1	1
24	потому что в	1	1
25	в первой части	2	1
26	по отношению к	3	1
27	мы узнаем что	1	1
28	в самом деле	2	1
29	в отличие от	2	1
30	и сегодня так	1	1
31	можно так выразиться	1	1
32	несмотря на его	1	1
33	что в романе	1	1
34	о том как	1	1
35	творчества этого великого	1	1
36	так и в	2	1
37	была для него	1	1
38	но при этом	1	1
39	в году и	1	1
40	в известном смысле	1	1
41	и в этом	1	1
42	а с другой	1	1
43	это одна из	1	1
44	все же не	2	1
45	если можно так	1	1
46	ведь в этом	1	1
47	потому что они	1	1
48	на той же	1	1
49	из всего романа	1	1
50	только то что	1	1
51	в частности в	1	1
52	мы не можем	1	1
53	в романе не	1	1
54	находит и в	1	1
55	с самого начала	1	1
56	особое значение имеет	1	1
57	и прежде всего	1	1
58	что никогда не	1	1
59	в ту эпоху	1	1
60	но ведь в	1	1
61	тесно связан с	1	1
62	может и не	1	1
63	в античной литературе	1	1
64	можно было бы	1	1
65	друг за другом	1	1
66	в предисловии к	1	1
67	в какой-то мере	1	1
68	к тому же	1	1
69	в глубине души	1	1
70	той или иной	1	1
