N	2gram	Tiupa_Disk_2	VeschiIm
1	не есть	1	49
2	не может	9	33
3	не только	10	31
4	может быть	16	29
5	и не	15	28
6	и в	16	26
7	то что	5	24
8	и есть	1	23
9	а не	14	20
10	не просто	1	18
11	в имени	1	15
12	и следовательно	1	15
13	только в	3	14
14	и что	1	13
15	того что	1	13
16	и то	4	12
17	есть не	1	12
18	все же	6	12
19	в себя	2	12
20	и ее	3	12
21	но и	11	12
22	сказать что	1	12
23	таким образом	1	11
24	общения с	1	11
25	что же	2	11
26	то же	6	10
27	в ней	2	10
28	как бы	4	10
29	потому что	4	10
30	уже не	3	10
31	бы то	1	9
32	в самом	1	9
33	то ни	1	9
34	и с	2	9
35	в том	8	9
36	еще и	1	9
37	прежде всего	7	9
38	ни было	1	9
39	с ее	2	8
40	в себе	19	8
41	и это	2	8
42	ничего не	1	8
43	себя и	1	8
44	но это	3	8
45	также и	3	7
46	говорить о	2	7
47	в этом	16	7
48	его в	3	7
49	том что	10	7
50	в то	5	7
51	со своим	2	7
52	указывает на	1	7
53	как с	1	7
54	себя в	6	7
55	и их	1	7
56	от всего	1	7
57	со стороны	10	6
58	и как	3	6
59	но в	11	6
60	одно и	2	6
61	что является	1	6
62	точки зрения	4	6
63	но если	1	6
64	по крайней	1	6
65	необходимо чтобы	1	6
66	с ним	1	6
67	она не	1	6
68	отличается от	1	6
69	должно быть	2	6
70	и нечто	1	6
71	и только	1	6
72	крайней мере	1	6
73	так что	1	6
74	для него	5	6
75	в результате	2	6
76	жизни и	3	6
77	что в	5	6
78	того же	2	5
79	это и	1	5
80	и до	1	5
81	в сущности	1	5
82	в чем	1	5
83	но не	7	5
84	отнюдь не	6	5
85	должна быть	2	5
86	же это	1	5
87	содержит в	2	5
88	это не	3	5
89	не в	3	5
90	тем не	1	5
91	не менее	7	5
92	одна из	1	5
93	для себя	2	5
94	в ее	1	5
95	для этого	1	5
96	себя с	2	5
97	еще не	6	5
98	или не	1	5
99	с этой	1	5
100	и для	2	5
101	а в	2	5
102	мы не	1	4
103	я не	1	4
104	во всех	1	4
105	точка зрения	1	4
106	в своем	5	4
107	однако не	1	4
108	на почве	2	4
109	как и	16	4
110	с точки	2	4
111	и более	1	4
112	же время	5	4
113	точке зрения	1	4
114	должен быть	1	4
115	только то	1	4
116	о том	4	4
117	с другой	5	4
118	что и	2	4
119	быть и	1	4
120	из них	3	4
121	бытия и	2	4
122	тем что	1	4
123	и даже	1	4
124	в данном	7	4
125	и все	3	4
126	между ними	1	4
127	оно не	1	4
128	себя как	1	3
129	самом деле	1	3
130	к другому	1	3
131	мы имеем	2	3
132	вещами и	1	3
133	вопрос о	1	3
134	только это	1	3
135	из того	1	3
136	но даже	1	3
137	момент в	2	3
138	в а	1	3
139	не то	1	3
140	себе не	1	3
141	в нем	7	3
142	подобно тому	2	3
143	на этом	1	3
144	было в	3	3
145	в жизни	1	3
146	реальности и	2	3
147	несмотря на	1	3
148	можно только	1	3
149	в своей	6	3
150	все это	2	3
151	их в	2	3
152	как о	1	3
153	в основе	4	3
154	к ней	1	3
155	ему не	1	3
156	ни о	1	3
157	к себе	1	3
158	к тому	1	3
159	в собственном	1	3
160	и сам	1	3
161	так и	9	3
162	о ней	1	3
163	можно сказать	3	3
164	один из	1	3
165	что он	2	3
166	только на	1	3
167	в одном	4	3
168	отношение к	2	3
169	никакого отношения	1	3
170	принципиально не	1	3
171	никогда не	2	3
172	эти две	1	3
173	а с	5	3
174	вместе с	2	3
175	в той	2	3
176	тому как	2	3
177	да и	1	3
178	себя самого	1	3
179	и ни	1	3
180	я в	5	3
181	не быть	1	3
182	можно говорить	1	2
183	как это	1	2
184	переход от	1	2
185	в первом	1	2
186	поэтому и	1	2
187	той же	2	2
188	к чему	1	2
189	но она	3	2
190	своей собственной	1	2
191	не нужно	2	2
192	на их	1	2
193	тогда как	11	2
194	тут же	2	2
195	как в	8	2
196	когда он	1	2
197	что на	2	2
198	то в	1	2
199	себе как	1	2
200	приводит к	3	2
201	он не	3	2
202	о которой	1	2
203	в силу	1	2
204	но все	1	2
205	то чтобы	1	2
206	и может	3	2
207	различие между	1	2
208	об этом	1	2
209	то есть	12	2
210	ни в	7	2
211	но уже	2	2
212	она сама	1	2
213	вообще но	1	2
214	для нее	1	2
215	но они	1	2
216	дело в	2	2
217	на него	1	2
218	чем не	2	2
219	в разных	1	2
220	как она	1	2
221	и его	3	2
222	однако это	1	2
223	существенно для	1	2
224	данном случае	6	2
225	в в	1	2
226	не с	2	2
227	никак не	1	2
228	не стоит	1	2
229	основе своей	2	2
230	может не	1	2
231	и во	1	2
232	во втором	1	2
233	еще более	1	2
234	к личности	1	2
235	об их	1	2
236	в качестве	16	2
237	как нечто	1	2
238	и они	1	2
239	не случайно	1	2
240	не говорит	1	2
241	в особенности	1	2
242	и недостаточно	1	2
243	превращается в	1	2
244	из субъекта	1	2
245	о чем	2	2
246	что из	1	2
247	ближе к	1	2
248	в частности	12	2
249	самого себя	1	2
250	а потом	2	2
251	личность как	1	2
252	просто как	1	2
253	при всем	1	2
254	ли в	1	2
255	но именно	1	2
256	ни к	5	2
257	жизни в	3	2
258	может и	2	2
259	в своих	6	2
260	во всяком	1	2
261	я и	4	1
262	речь идет	1	1
263	же как	2	1
264	чтобы не	1	1
265	идет о	2	1
266	чего не	3	1
267	по преимуществу	2	1
268	не имеют	1	1
269	с таким	2	1
270	он ничего	1	1
271	для своего	1	1
272	в которой	1	1
273	для осмысления	2	1
274	он как	1	1
275	наличие в	1	1
276	в каждый	1	1
277	в полной	1	1
278	жизни как	2	1
279	и со	1	1
280	предстает как	1	1
281	проявляется в	3	1
282	не иметь	1	1
283	и на	5	1
284	как-то в	1	1
285	с его	6	1
286	одном и	1	1
287	если в	1	1
288	ответ на	1	1
289	с совершенно	1	1
290	отличие от	12	1
291	в истории	1	1
292	и выражения	1	1
293	стороны и	2	1
294	что как	2	1
295	образцом для	1	1
296	перед нами	3	1
297	хотя и	1	1
298	быть а	1	1
299	еще на	1	1
300	да будет	1	1
301	все эти	3	1
302	но без	1	1
303	в этой	4	1
304	раз в	1	1
305	жизнь как	1	1
306	по имени	1	1
307	но на	1	1
308	при этом	17	1
309	отказа от	1	1
310	и еще	1	1
311	тезис его	1	1
312	он должен	1	1
313	в принципе	2	1
314	к одному	1	1
315	не к	2	1
316	не как	1	1
317	одной и	1	1
318	его от	1	1
319	именно это	1	1
320	подход к	3	1
321	того или	1	1
322	не собственное	1	1
323	по природе	2	1
324	форму и	1	1
325	в это	1	1
326	однако при	3	1
327	в них	3	1
328	она и	1	1
329	далеко не	2	1
330	и вне	1	1
331	она была	1	1
332	и того	3	1
333	со всей	1	1
334	одного и	3	1
335	энергии в	1	1
336	на первый	2	1
337	с ума	1	1
338	этом случае	2	1
339	уж и	1	1
340	нас не	1	1
341	я его	1	1
342	в котором	3	1
343	в отличие	12	1
344	строго говоря	1	1
345	стало быть	1	1
346	поэтому в	1	1
347	втором случае	1	1
348	к реальному	1	1
349	тем самым	6	1
350	даже в	1	1
351	случае мы	1	1
352	например и	1	1
353	сознании в	1	1
354	и общечеловеческий	1	1
355	книги или	1	1
356	дело не	1	1
357	о них	1	1
358	это еще	2	1
359	всего на	1	1
360	в наше	2	1
361	по своей	6	1
362	сводится к	2	1
363	личности в	2	1
364	только от	1	1
365	не могут	1	1
366	укажу на	1	1
367	необходимо также	1	1
368	могут быть	3	1
369	тут все	1	1
370	указать на	2	1
371	уже было	1	1
372	из весьма	1	1
373	но также	1	1
374	различных типов	1	1
375	для обозначения	1	1
376	общения в	1	1
377	утверждать что	1	1
378	в применении	1	1
379	им в	1	1
380	более не	1	1
381	и от	1	1
382	и внутреннее	1	1
383	с самого	1	1
384	в пределах	4	1
385	ее жизнь	1	1
386	однако эта	1	1
387	природе своей	2	1
388	в другом	3	1
389	предполагает со	1	1
390	здесь как	1	1
391	отождествляется с	1	1
392	и творит	2	1
393	момент жизни	1	1
394	или иной	3	1
395	все дело	1	1
396	о нем	1	1
397	не был	1	1
398	говорит об	2	1
399	а также	8	1
400	самому себе	1	1
401	нас в	1	1
402	признавая тем	1	1
403	должно было	1	1
404	для освещения	1	1
405	от них	1	1
406	с нами	1	1
407	на одном	1	1
408	чем и	1	1
409	где происходит	1	1
410	не зная	1	1
411	и полное	1	1
412	но тут	1	1
413	которое было	1	1
414	одного из	4	1
415	но с	1	1
416	было это	1	1
417	свет и	1	1
418	в какой	1	1
419	каждый момент	1	1
420	и весьма	1	1
421	и так	1	1
422	соответствующей ему	1	1
423	не было	3	1
424	с одной	4	1
425	на мой	2	1
426	для всех	1	1
427	же из	1	1
428	является не	2	1
429	бытия но	1	1
430	это требует	1	1
431	чего бы	1	1
432	к своим	2	1
433	этом в	2	1
434	всяком случае	1	1
435	вовсе не	1	1
436	не о	2	1
437	общения и	2	1
438	к той	1	1
439	в других	1	1
440	но из	1	1
441	из мысли	1	1
442	различий между	1	1
443	и прежде	2	1
444	или о	1	1
445	не состоит	1	1
446	имеют никакого	1	1
447	к человеку	1	1
448	в некоторых	1	1
449	одной стороны	4	1
450	а сам	2	1
451	стремится к	2	1
452	его как	1	1
453	решения вопроса	1	1
454	было сказано	1	1
455	стороны в	1	1
456	который бы	1	1
457	или по	2	1
458	всем что	1	1
459	из которых	1	1
460	может так	1	1
461	нет а	1	1
462	применении к	1	1
463	и другой	1	1
464	в состоянии	1	1
465	слова и	1	1
466	оба они	1	1
467	не знаем	1	1
468	но для	1	1
469	к другим	1	1
470	а вот	1	1
471	не является	4	1
472	от той	1	1
473	его нет	1	1
474	его с	1	1
475	в третьем	1	1
476	не будучи	1	1
477	также не	1	1
478	хотя в	1	1
479	к самому	1	1
480	одной из	1	1
481	как явления	1	1
482	становления и	3	1
483	слово в	1	1
484	от света	1	1
485	с ней	2	1
486	другой стороны	2	1
487	другой в	1	1
488	к его	4	1
489	жизни а	3	1
490	я это	1	1
491	из этого	1	1
492	сам в	1	1
493	только о	1	1
494	от слова	1	1
495	не соответствующее	1	1
496	своих частей	1	1
497	в противоположность	5	1
498	к этому	4	1
499	можно назвать	4	1
500	которая не	1	1
