N	3gram	Potebnia_M_3	Tragedij
1	то же время	5	5
2	в то же	5	5
3	так и в	2	3
4	в данном случае	1	2
5	бросается в глаза	1	2
6	не в силах	1	2
7	о том что	1	2
8	и в самом	2	2
9	в том что	16	2
10	а между тем	2	1
11	и теперь еще	1	1
12	но он сам	1	1
13	не только по	3	1
14	понятно что в	1	1
15	не было до	1	1
16	том что он	2	1
17	общем смысле этого	1	1
18	сам по себе	5	1
19	что он не	3	1
20	но как в	1	1
21	и то что	1	1
22	и т п	2	1
23	за то что	1	1
24	может быть не	1	1
25	не имеет для	1	1
26	смысле этого слова	7	1
27	в чем же	1	1
28	тем не менее	3	1
29	не могут быть	2	1
30	не может быть	3	1
31	уже не к	1	1
32	приходит в голову	1	1
33	что в ней	2	1
34	не только не	2	1
35	в самом деле	1	1
36	с тем и	2	1
37	после того как	1	1
38	к тому что	2	1
39	как и в	2	1
40	в разговоре с	1	1
