N	2gram	Tiupa_Hudo_1	Analitik
1	в тексте	9	24
2	художественной реальности	4	20
3	тогда как	13	19
4	в этом	11	18
5	художественного впечатления	3	17
6	не только	16	16
7	литературного произведения	10	16
8	плотность акцентуации	1	16
9	и в	19	16
10	в частности	13	16
11	так и	11	15
12	ритмических рядов	1	15
13	как и	2	14
14	ритмического ряда	3	13
15	своего рода	5	12
16	внутреннего зрения	7	12
17	но и	10	12
18	и не	15	12
19	том что	8	12
20	в том	18	12
21	иначе говоря	4	11
22	в качестве	24	11
23	при этом	13	10
24	объектной организации	6	10
25	в эпизоде	1	10
26	могут быть	4	10
27	а не	9	10
28	как бы	9	10
29	в этой	2	9
30	лишь в	4	9
31	в пределах	3	9
32	и даже	1	9
33	на уровне	1	9
34	то есть	18	9
35	всего лишь	4	8
36	в целом	3	8
37	представляет собой	10	8
38	состоит в	16	8
39	в данном	4	8
40	не случайно	3	8
41	и т.п	4	8
42	отнюдь не	2	8
43	в проекции	1	8
44	уединенного сознания	1	8
45	сочетании с	1	7
46	к тому	4	7
47	в сочетании	1	7
48	а также	5	7
49	о том	2	7
50	в себе	9	7
51	кадров внутреннего	3	7
52	художественного целого	3	7
53	то что	4	7
54	в самом	5	6
55	факторов художественного	3	6
56	и на	2	6
57	но в	7	6
58	в мире	21	6
59	говорить о	3	6
60	может быть	14	6
61	с другой	7	6
62	как это	5	6
63	текста в	3	6
64	субъектной организации	5	6
65	как система	2	5
66	в сторону	2	5
67	и к	3	5
68	произведения в	1	5
69	с одной	2	5
70	говорит о	1	5
71	в контексте	3	5
72	лирического героя	2	5
73	того же	2	4
74	между двумя	2	4
75	по преимуществу	2	4
76	в поле	1	4
77	в сущности	1	4
78	совпадает с	2	4
79	столь же	1	4
80	как правило	2	4
81	но не	11	4
82	по отношению	9	4
83	за пределы	2	4
84	как в	2	4
85	в своем	2	4
86	хотя и	3	4
87	в себя	2	4
88	тому же	1	4
89	художественных значимостей	1	4
90	читателя в	3	4
91	внутренней речи	14	4
92	уже говорилось	1	4
93	на этом	1	4
94	то же	10	4
95	не с	2	4
96	и тем	2	4
97	тем самым	4	4
98	для него	4	4
99	точки зрения	10	4
100	в ходе	5	4
101	не в	7	4
102	внутренний хронотоп	1	4
103	в конце	1	4
104	коммуникативного события	2	4
105	и является	1	4
106	имеет место	2	4
107	не менее	3	4
108	можно сказать	5	4
109	в новелле	1	4
110	времени в	2	4
111	во всех	3	4
112	только в	5	4
113	и его	12	4
114	уже не	4	4
115	у него	1	4
116	как раз	3	4
117	одной стороны	2	4
118	не может	7	4
