N	3gram	Berdyaev_N_1	Istorich
1	с другой стороны	2	8
2	с одной стороны	2	7
3	в том что	1	5
4	до сих пор	1	4
5	не только в	1	4
6	о том что	1	4
7	вместе с тем	2	3
8	то время как	1	3
9	в то время	1	3
10	не может быть	4	3
11	в ней нет	1	2
12	но и в	1	2
13	что в нем	2	2
14	во всяком случае	1	2
15	можно было бы	1	2
16	как и в	1	2
17	между небом и	1	1
18	лицом к лицу	3	1
19	только потому что	1	1
20	должны помнить что	1	1
21	в том числе	1	1
22	же как и	1	1
23	и не может	1	1
24	в зависимости от	1	1
25	и формы жизни	1	1
26	в свою противоположность	1	1
27	наряду с этим	1	1
28	том числе и	1	1
29	со всех сторон	3	1
30	этого мира не	1	1
31	в жизни народа	1	1
32	так же как	2	1
33	вообще не существует	1	1
34	что в эту	1	1
35	это не значит	2	1
36	и к образованию	1	1
37	к единству и	1	1
38	есть вместе с	1	1
39	в том смысле	1	1
40	для борьбы со	1	1
41	и вместе с	1	1
42	это значит что	1	1
43	подобно тому как	3	1
44	не значит что	3	1
45	помнить что в	1	1
46	играют большую роль	1	1
