N	2gram	Propp_Morf_1	VerxiiNi
1	и в	13	26
2	таким образом	21	22
3	с тем	2	18
4	в этом	14	15
5	точки зрения	2	13
6	как бы	3	12
7	в том	6	11
8	из этих	1	10
9	не только	4	10
10	и с	1	10
11	может быть	52	10
12	после смерти	1	10
13	связи с	10	9
14	в области	1	9
15	так как	16	9
16	но и	4	9
17	что в	8	9
18	но не	4	8
19	главным образом	4	8
20	и у	1	8
21	с другой	8	8
22	и не	12	8
23	как на	1	8
24	но в	2	7
25	связанные с	1	7
26	но все	3	7
27	из них	3	7
28	том что	4	7
29	потому что	3	7
30	к нему	3	7
31	с одной	1	7
32	то что	8	7
33	а с	2	7
34	одной стороны	1	7
35	все же	7	6
36	все эти	2	6
37	в себе	1	6
38	всяком случае	2	6
39	с точки	2	6
40	к тому	4	6
41	так и	6	6
42	о том	2	6
43	что и	7	6
44	несмотря на	4	6
45	мы должны	3	6
46	во всяком	2	6
47	отношение к	1	5
48	сих пор	1	5
49	и к	4	5
50	в силу	1	5
51	или менее	2	5
52	не имеет	2	5
53	того чтобы	3	5
54	с другом	1	5
55	для того	2	5
56	в его	1	5
57	до сих	1	5
58	а не	11	5
59	друг с	1	5
60	и для	2	5
61	так же	3	5
62	одной из	1	5
63	более или	2	5
64	то же	7	4
65	в течение	1	4
66	целый ряд	3	4
67	учение о	3	4
68	в этой	2	4
69	и по	2	4
70	с другими	1	4
71	он не	3	4
72	далеко не	5	4
73	и тогда	1	4
74	в которых	2	4
75	в то	3	4
76	а в	7	4
77	и что	2	4
78	только в	2	4
79	на этот	1	4
80	не может	14	4
81	из которых	3	4
82	в этих	13	4
83	во время	6	4
84	что он	4	4
85	в виде	2	4
86	на западе	1	3
87	религии в	1	3
88	не вполне	1	3
89	большей частью	4	3
90	если в	5	3
91	и нет	1	3
92	и как	5	3
93	в которой	3	3
94	что это	1	3
95	друг за	2	3
96	при этом	1	3
97	индии в	1	3
98	и при	1	3
99	оказывается что	1	3
100	тем не	5	3
101	если бы	2	3
102	то с	2	3
103	не менее	5	3
104	представляет собой	17	3
105	к концу	1	3
106	в других	3	3
107	с самого	1	3
108	ясно что	5	3
109	можно сказать	2	3
110	путь к	2	3
111	того что	3	3
112	но с	1	3
113	хотя бы	4	3
114	в качестве	5	3
115	так что	1	3
116	уже не	2	3
117	что эти	2	3
118	связывается с	2	3
119	а после	1	3
120	для него	1	3
121	в одном	1	3
122	случае не	3	3
123	и даже	1	3
124	в связи	9	3
125	в рамках	1	3
126	с этой	1	3
127	и таким	2	3
128	в результате	7	3
129	отношению к	4	3
130	и другие	6	3
131	к этому	3	3
132	в таком	1	3
133	точно так	1	3
134	одним из	1	2
135	связана с	3	2
136	его не	1	2
137	мы имеем	9	2
138	надо было	1	2
139	такое положение	1	2
140	так чтобы	1	2
141	и заставляет	1	2
142	грань между	1	2
143	еще не	3	2
144	и на	1	2
145	бы то	3	2
146	с его	2	2
147	во всех	4	2
148	основано на	1	2
149	друг на	2	2
150	или иное	1	2
151	что именно	1	2
152	некоторые из	1	2
153	и наконец	1	2
154	с тех	1	2
155	на то	2	2
156	из этой	1	2
157	состоит в	2	2
158	его можно	1	2
159	то ни	3	2
160	те же	1	2
161	к другу	2	2
162	них не	1	2
163	на все	1	2
164	образом если	1	2
165	в них	1	2
166	на друга	2	2
167	не всегда	9	2
168	но если	7	2
169	что о	1	2
170	которые в	1	2
171	не в	3	2
172	в россии	2	2
173	вплоть до	1	2
174	самого начала	1	2
175	тех пор	1	2
176	больше чем	1	2
177	так например	3	2
178	этом отношении	1	2
179	ему в	1	2
180	не потому	1	2
181	и здесь	5	2
182	не могут	4	2
183	утверждать что	3	2
184	ничего общего	1	2
185	приводит к	2	2
186	в образе	4	2
187	не с	2	2
188	мысль о	1	2
189	в виду	1	2
190	с того	3	2
191	а также	4	2
192	между тем	5	2
193	вслед за	5	2
194	быть и	2	2
195	один из	5	2
196	и действительно	1	2
197	очень много	1	2
198	со всеми	1	2
199	для всех	1	2
200	в начале	3	2
201	одно из	1	2
202	мы можем	2	2
203	прежде всего	9	2
204	может ли	1	2
205	и все	1	2
206	так называемой	1	2
207	всех других	1	2
208	если не	1	2
209	уже давно	1	2
210	по своему	2	2
211	по существу	12	2
212	никем не	1	2
213	на пути	4	2
214	благодаря этому	3	2
215	что мы	2	2
216	только для	1	2
217	же самое	1	2
218	или по	2	2
219	тем и	2	2
220	о котором	1	2
221	в другое	1	2
222	только что	2	2
223	ни было	2	2
224	сказать что	2	2
225	из этого	1	2
226	можно назвать	3	2
227	как эти	2	1
228	только он	1	1
229	вряд ли	2	1
230	можно говорить	1	1
231	таком случае	1	1
232	в этот	1	1
233	начинается с	3	1
234	живое существо	1	1
235	смысле слова	4	1
236	самом деле	4	1
237	он может	2	1
238	это и	2	1
239	который можно	1	1
240	и есть	2	1
241	в первом	3	1
242	явления и	1	1
243	посылает на	1	1
244	и до	1	1
245	вообще же	1	1
246	где я	1	1
247	и этот	1	1
248	мы уже	1	1
249	это совершенно	1	1
250	мы не	8	1
251	имеется и	1	1
252	этого момента	3	1
253	в сущности	3	1
254	время как	3	1
255	оно есть	1	1
256	к началу	4	1
257	не совсем	1	1
258	очень давно	1	1
259	кто же	1	1
260	известной работе	1	1
261	при таких	1	1
262	области народной	1	1
263	неба до	1	1
264	за это	1	1
