N	3gram	Tiupa_Teor_1	Problema
1	тем не менее	3	10
2	в том что	8	9
3	той или иной	1	8
4	сама по себе	1	8
5	в связи с	1	7
6	в данном случае	5	7
7	то же самое	1	7
8	с другой стороны	5	5
9	по крайней мере	1	5
10	не может быть	4	5
11	в то же	5	4
12	бы то ни	1	4
13	что иное как	1	4
14	и то же	1	4
15	в то время	1	4
16	не что иное	1	4
17	есть не что	1	4
18	тех или иных	3	4
19	заключается в том	1	3
20	именно потому что	1	3
21	то ни было	1	3
22	о том что	1	3
23	содержит в себе	1	3
24	может быть и	2	3
25	точно так же	1	3
26	та или иная	1	3
27	дело в том	1	3
28	одно и то	1	3
29	того или иного	3	3
30	или иной мере	1	2
31	том или ином	1	2
32	можно сказать что	2	2
33	это уже не	1	2
34	чего бы то	1	2
35	и тем самым	2	2
36	того же типа	1	2
37	и многих других	1	2
38	дело не в	1	2
39	в таких случаях	1	2
40	никак не может	1	2
41	в сравнении с	1	2
42	то или иное	1	2
43	только то что	1	2
44	в том или	1	2
45	не является ни	1	2
46	с точки зрения	3	2
47	друг от друга	1	2
48	в отличие от	6	2
49	в той или	1	2
50	мы говорим о	1	2
51	на первый взгляд	1	2
52	во всей его	1	1
53	так или иначе	4	1
54	или ином отношении	1	1
55	который может быть	1	1
56	в виду не	3	1
57	таким образом что	1	1
58	также еще и	1	1
59	так же как	1	1
60	ни к каким	1	1
61	и от себя	1	1
62	и потому что	1	1
63	с одной стороны	2	1
64	в одном случае	1	1
65	этого слова как	1	1
66	данном случае совершенно	1	1
67	из того что	1	1
68	как и в	2	1
69	не только не	2	1
70	с самим собою	1	1
71	войне и мире	2	1
72	еще и потому	1	1
73	для того чтобы	1	1
74	таким образом и	1	1
75	иметь в виду	1	1
76	значении этого слова	2	1
77	того что не	1	1
78	в другом но	1	1
79	к тому что	2	1
80	точки зрения в	1	1
81	и того же	3	1
82	в евгении онегине	1	1
83	в первом случае	1	1
84	как впрочем и	1	1
85	и его внешней	2	1
86	и в этой	1	1
87	между собой в	1	1
88	чего нет в	1	1
89	более или менее	2	1
90	в узком значении	2	1
91	на котором он	1	1
92	в себе никакого	1	1
93	по сути дела	1	1
94	в этих случаях	1	1
95	одного и того	3	1
96	в художественном произведении	1	1
97	узком значении этого	1	1
98	значение знака есть	1	1
99	в войне и	2	1
100	случае совершенно не	1	1
101	не в самом	2	1
102	ту или иную	1	1
103	при этом в	1	1
104	это было бы	1	1
105	но он не	1	1
