N	2gram	Losev_Dial_4	ViktorSh
1	конце концов	1	2
2	и в	15	2
3	том что	10	2
4	в том	11	2
5	в конце	1	2
6	и только	2	1
7	крайней мере	7	1
8	тем более	6	1
9	хотя бы	4	1
10	и не	30	1
11	все время	1	1
12	и его	7	1
13	потому что	10	1
14	я не	5	1
15	даже не	2	1
16	и то	3	1
17	все это	9	1
18	совершенно ясно	2	1
19	именно в	5	1
20	главным образом	2	1
21	чего не	3	1
22	в их	3	1
23	как же	5	1
24	но разве	1	1
25	то чего	1	1
26	их как	1	1
27	это далеко	1	1
28	дело в	1	1
29	в частности	2	1
30	уже известно	1	1
31	одно и	1	1
32	не одно	1	1
33	говоря о	1	1
34	в которых	1	1
35	разве это	1	1
36	в самом	2	1
37	только в	7	1
38	то же	9	1
39	ясно что	11	1
40	так как	14	1
41	бы уже	1	1
42	но это	4	1
43	без знания	3	1
44	в этом	11	1
45	да и	2	1
46	имеется в	3	1
47	чем больше	2	1
48	по крайней	7	1
49	ибо никакой	1	1
50	и заключается	1	1
51	по существу	1	1
52	к этому	3	1
53	гораздо более	1	1
54	том же	1	1
