N	3gram	Nazirov_Vr_1	Mirosoze
1	не может быть	2	17
2	не было бы	1	5
3	это и есть	1	4
4	это не было	1	3
5	и в самом	1	3
6	и уж конечно	1	2
7	до сих пор	1	2
8	и не может	1	2
9	достоевский прежде всего	1	2
10	в конце концов	1	2
11	о достоевском и	1	2
12	в то время	1	2
13	тем что он	1	2
14	в высшей степени	1	2
15	он не только	2	2
16	но и от	1	1
17	он был очень	1	1
18	и это было	1	1
19	уже в конце	1	1
20	отличается не только	1	1
21	но это не	1	1
22	сам достоевский в	1	1
23	записках из подполья	1	1
24	может быть и	1	1
25	имел в виду	3	1
26	быть и речи	1	1
27	отношение достоевского к	1	1
28	в этот момент	2	1
29	во всяком случае	1	1
30	как бы в	1	1
31	что они не	1	1
32	записки из подполья	1	1
33	преступления и наказания	1	1
34	и достоевский в	1	1
35	и никогда не	1	1
36	о том что	1	1
37	но не менее	1	1
38	и во всем	1	1
39	и сам достоевский	1	1
40	в том что	2	1
41	ответ на это	1	1
42	не только от	1	1
