N	3gram	Vinokur_Ku_2	Tvorches
1	в то же	3	13
2	то же время	3	12
3	в том что	10	6
4	о том что	1	5
5	в конечном счете	2	4
6	дело в том	1	3
7	что все это	1	3
8	в соответствии с	2	3
9	с самого начала	1	3
10	том что в	1	2
11	на самом деле	2	2
12	в наше время	2	2
13	и т п	24	2
14	точно так же	3	2
15	по крайней мере	6	2
16	в данном случае	1	2
17	не только в	4	2
18	в году в	1	2
19	можно сказать что	2	2
20	тем не менее	5	2
21	что иное как	1	1
22	было бы говорить	1	1
23	хотя и не	1	1
24	резко отличен от	1	1
25	потому что не	1	1
26	чуть ли не	1	1
27	и приводит к	2	1
28	в настоящее время	1	1
29	и к этому	1	1
30	как это имеет	1	1
31	о котором говорилось	1	1
32	до сих пор	1	1
33	в своей книге	1	1
34	и в других	1	1
35	хотя бы и	2	1
36	сами по себе	1	1
37	что он не	1	1
38	в отличие от	2	1
39	эти слова не	1	1
40	будет потому что	1	1
41	в первую очередь	1	1
42	но все это	1	1
43	только то что	1	1
44	не могут быть	1	1
45	у достоевского и	1	1
46	бы то ни	1	1
47	это вовсе не	1	1
48	вместе с тем	2	1
49	не то что	1	1
50	и тем не	4	1
51	все более и	1	1
52	бы и в	1	1
53	все это в	1	1
54	на этой почве	3	1
55	все же и	2	1
56	в этой области	4	1
57	то ни было	1	1
58	с одной стороны	1	1
59	в конце концов	3	1
60	не будет потому	1	1
61	в известном смысле	1	1
62	котором говорилось выше	1	1
63	это имеет место	1	1
64	не только для	1	1
65	в связи с	3	1
66	с гораздо более	1	1
67	а на деле	1	1
68	не может и	1	1
69	но эти слова	1	1
70	потому что я	1	1
71	заключается в том	1	1
72	в свою очередь	2	1
73	оно могло бы	1	1
74	и в самом	2	1
75	у нас принято	1	1
76	более и более	1	1
77	с другой стороны	7	1
78	так как и	1	1
79	имеет тот же	1	1
80	но это не	1	1
81	не значит что	1	1
82	не что иное	1	1
83	к тому что	1	1
84	к вопросу о	2	1
85	как и в	1	1
86	дело не в	2	1
87	к тому же	1	1
88	и т д	14	1
