N	3gram	Vinokur_Vv_1	FransuaR
1	в том что	12	6
2	той или иной	1	5
3	как мы уже	1	5
4	большей или меньшей	2	4
5	до сих пор	5	4
6	в средние века	1	4
7	в отличие от	3	4
8	в большей или	1	4
9	или меньшей степени	1	4
10	нужно сказать что	1	4
11	в известной мере	2	3
12	и прежде всего	1	3
13	в эпоху возрождения	1	3
14	в этом отношении	3	3
15	в применении к	6	3
16	с точки зрения	2	3
17	и др в	1	2
18	во всех его	1	2
19	во второй половине	2	2
20	дошедших до нас	1	2
21	и в том	3	2
22	в разной степени	1	2
23	вовсе не в	2	2
24	этот вопрос мы	1	2
25	ни к какому	1	2
26	на самом деле	1	2
27	в значительной мере	1	2
28	в значительной степени	1	2
29	но все же	3	2
30	в свое время	2	2
31	второй половины xix	2	2
32	всего того что	1	2
33	но и в	1	2
34	дело в том	2	2
35	на этот вопрос	3	2
36	с одной стороны	4	2
37	можно говорить о	1	1
38	в чем же	3	1
39	чтобы убедиться в	1	1
40	что одним из	1	1
41	себе самому и	1	1
42	не могут быть	2	1
43	в самом его	1	1
44	не потому что	1	1
45	это в сущности	1	1
46	в то же	5	1
47	в самом деле	5	1
48	и в разной	1	1
49	в этой системе	1	1
50	теми или иными	1	1
51	в германии в	1	1
52	можно сказать что	3	1
53	и именно как	1	1
54	объединяются в одном	1	1
55	то же время	5	1
56	с другой стороны	5	1
57	имея в виду	1	1
58	в них в	1	1
59	а между тем	1	1
60	античного мира в	1	1
61	только в форме	1	1
62	имеем в виду	1	1
63	или иных отношениях	1	1
64	в целом ряде	2	1
65	на время в	1	1
66	сказать что в	1	1
67	как об особом	2	1
68	но от этого	1	1
69	но в то	3	1
70	это не просто	1	1
71	в особенности в	1	1
72	по отношению к	4	1
73	в одном месте	1	1
74	свое значение и	2	1
75	все то что	1	1
76	в настоящее время	1	1
77	не только в	4	1
78	может быть никакой	1	1
79	греков и римлян	3	1
80	то или иное	1	1
81	мы имеем в	1	1
82	языка на котором	1	1
83	но в общем	1	1
84	до наших дней	1	1
85	в связи с	2	1
86	он вовсе не	1	1
87	в известном смысле	3	1
88	в собственном смысле	2	1
89	типа были в	1	1
90	тех или иных	3	1
91	для того чтобы	21	1
92	в тех или	1	1
93	в нем все	1	1
94	из дошедших до	1	1
95	во всяком случае	3	1
96	сохраняет свое значение	1	1
97	он определяет как	1	1
98	потому что он	2	1
99	на то или	1	1
100	как раз в	1	1
101	не может быть	8	1
