1	и не	16	31
2	и в	15	29
3	может быть	13	24
4	в его	9	24
5	в этом	11	22
6	а не	10	22
7	как бы	10	19
8	в нем	5	19
9	точки зрения	9	19
10	для него	4	18
11	у достоевского	1	16
12	то что	5	15
13	не только	15	15
14	и его	12	14
15	то же	10	14
16	не как	2	14
17	но и	10	14
18	рядом с	1	14
19	с точки	3	13
20	уже не	5	13
21	в пределах	3	13
22	как и	3	12
23	не может	6	12
24	о себе	2	12
25	достоевского в	1	12
26	таким образом	3	12
27	героя и	5	10
28	в одном	2	10
29	только в	5	10
30	в самом	5	10
31	этом смысле	3	10
32	в то	7	10
33	себе самом	1	9
34	все эти	2	9
35	же время	6	9
36	с его	6	9
37	одного сознания	2	9
38	но не	11	9
39	в романе	2	9
40	все же	1	9
41	если бы	3	9
42	это не	3	9
43	что в	6	8
44	что он	3	8
45	в своей	4	8
46	авторского слова	1	8
47	по себе	2	8
48	потому что	3	8
49	отношению к	10	8
50	в том	15	8
51	в каждом	1	8
52	по отношению	10	8
53	в своем	2	8
54	входит в	4	7
55	а как	1	7
56	мира и	2	7
57	том что	6	7
58	но в	7	7
59	вовсе не	2	7
60	в форме	4	7
61	с другими	2	7
62	за пределы	2	7
63	и на	2	7
64	а в	12	7
65	в себе	11	7
66	не в	6	7
67	прежде всего	4	7
68	и как	4	7
69	так и	10	7
70	романе достоевского	1	7
71	несмотря на	2	6
72	этого мира	1	6
73	в одной	1	6
74	не могут	1	6
75	могут быть	5	6
76	что она	1	6
77	на мир	1	6
78	все это	1	6
79	и потому	2	6
80	в конце	1	6
81	как в	2	6
82	его в	3	6
83	к нему	3	6
84	как раз	3	6
85	сливается с	1	6
86	так же	2	6
87	в мире	23	6
88	о мире	1	6
89	в самой	1	6
90	в единстве	1	6
91	в целом	3	6
92	так как	1	6
93	мира в	2	5
94	зависимости от	1	5
95	он и	1	5
96	было бы	1	5
97	в сущности	1	5
98	перед нами	1	5
99	с ним	2	5
100	художественного мира	2	5
101	и о	2	5
102	он не	4	5
103	и др	2	5
104	автора и	3	5
105	в зависимости	1	5
106	и это	2	5
107	более того	1	5
108	именно в	2	5
109	той же	1	5
110	еще не	4	5
111	у него	2	5
112	между тем	4	5
113	сознаний в	1	5
114	с их	2	5
115	героя не	1	5
116	это и	2	5
117	в этой	2	4
118	тем как	1	4
119	героя в	1	4
120	идет о	2	4
121	они не	1	4
122	и для	3	4
123	превращается в	2	4
124	в литературе	2	4
125	личности в	4	4
126	их в	3	4
127	его как	1	4
128	даже в	2	4
129	как мы	1	4
130	героя о	1	4
131	бы и	1	4
132	в основе	6	4
133	все то	1	4
134	ивана карамазова	1	4
135	не было	1	4
136	в произведении	3	4
137	не на	3	4
138	в результате	1	4
139	художественном мире	1	3
140	типа и	1	3
141	в своих	1	3
142	например в	4	3
143	как будто	1	3
144	и одновременно	5	3
145	все что	1	3
146	мире в	1	3
147	но как	2	3
148	и здесь	1	3
149	приводит к	6	3
150	я не	2	3
151	внешнего мира	3	3
152	но с	1	3
153	сказать что	4	3
154	автора в	1	3
155	оно не	2	3
156	и слово	1	3
157	одна из	2	3
158	не во	1	3
159	автора как	2	3
160	ни в	5	3
161	никогда не	1	3
162	в уста	1	3
163	как к	4	3
164	бы в	1	3
165	с другой	7	3
166	порядка в	4	3
167	во времени	4	3
168	о своем	1	3
169	нового времени	2	3
170	героев и	1	3
171	не дает	1	3
172	в произведениях	1	3
173	в мир	1	3
174	себе и	1	3
175	художественного творчества	5	3
176	и внутренне	1	3
177	не знает	4	3
178	в пространстве	2	3
179	отношении к	2	3
180	не входит	2	3
181	лишь на	1	3
182	в их	5	3
183	в художественном	3	3
184	только то	1	3
185	от автора	1	3
186	в них	2	3
187	в себя	2	3
188	на почве	2	3
189	тому как	1	3
190	себе самому	1	3
191	ее как	1	3
192	в другой	1	3
193	была бы	3	3
194	отношения к	4	3
195	на котором	1	3
196	другой стороны	5	3
197	далеко не	3	3
198	за ним	1	3
199	тому что	2	3
200	подобно тому	1	3
201	точек зрения	1	3
202	и пр	1	3
203	наконец в	1	2
204	идет не	1	2
205	однако в	3	2
206	и несет	1	2
207	на его	1	2
208	могли бы	1	2
209	они ни	1	2
210	не есть	1	2
211	всей его	2	2
212	является не	1	2
213	одно из	2	2
214	но он	3	2
215	в которой	3	2
216	и вполне	1	2
217	к этим	1	2
218	так что	1	2
219	с героем	1	2
220	при этом	12	2
221	из которых	2	2
222	тем или	2	2
223	то и	1	2
224	в жизни	1	2
225	в истории	1	2
226	и есть	1	2
227	европейского романа	1	2
228	поэтому не	1	2
229	вследствие этого	2	2
230	в художественной	2	2
231	с собою	1	2
232	один из	1	2
233	во всей	3	2
234	ту сторону	1	2
235	входят в	1	2
236	мы видим	1	2
237	он ни	1	2
238	из своего	1	2
239	друг другу	1	2
240	жизни и	1	2
241	замысла и	1	2
242	что может	2	2
243	что из	1	2
244	отношение к	6	2
245	или к	1	2
246	него не	1	2
247	совпадает с	2	2
248	и души	1	2
249	или даже	2	2
250	и ее	3	2
251	себя и	2	2
252	чем является	1	2
253	для понимания	2	2
254	то ни	1	2
255	те же	1	2
256	по ту	1	2
257	и что	3	2
258	в структуре	3	2
259	зрения и	1	2
260	себе еще	1	2
261	к более	1	2
262	между ними	5	2
263	художественный образ	1	2
264	же в	1	2
265	ведь это	1	2
266	себя самого	1	2
267	бы то	1	2
268	для других	1	2
269	не позволяет	1	2
270	здесь мы	1	2
271	человека но	1	2
272	они могут	1	2
273	в котором	1	2
274	напротив мы	1	2
275	к другому	2	2
276	и со	1	2
277	по преимуществу	2	2
278	тот же	1	2
279	в контексте	2	2
280	для автора	2	2
281	из его	1	2
282	в той	3	2
283	в данном	3	2
284	жизни не	1	2
285	на языке	1	2
286	имеет значение	1	2
287	связи с	1	2
288	в условиях	1	2
289	же и	1	2
290	и к	3	2
291	произведения в	1	2
292	и даже	1	2
293	для себя	2	2
294	не способна	1	2
295	ни было	1	2
296	кругозор героя	1	2
297	чтобы в	1	2
298	героя как	1	2
299	самим собою	2	2
300	жизни а	1	2
301	по своим	1	2
302	ивана ильича	1	2
303	с этой	1	2
304	переходит к	1	2
305	и сам	2	2
306	в отношении	3	2
307	с которой	1	2
308	именно потому	1	2
309	не об	1	2
310	и от	1	2
311	самом произведении	1	2
312	в противоположность	3	2
313	тоже не	1	2
314	или же	1	2
315	ни был	2	2
316	ни были	1	2
317	и одна	1	1
318	к сверхличному	1	1
319	с формой	1	1
320	и другого	1	1
321	для основного	1	1
322	не следует	3	1
323	образа и	1	1
324	свою очередь	2	1
325	со своей	3	1
326	едва ли	1	1
327	во множестве	1	1
328	героя к	1	1
329	его можно	1	1
330	с кругозором	1	1
331	все они	1	1
332	видения мира	2	1
333	от этого	1	1
334	как с	1	1
335	в ее	6	1
336	типа как	1	1
337	от обычного	1	1
338	к своему	2	1
339	мира с	1	1
340	художественной конструкции	1	1
341	в противном	2	1
342	материала в	2	1
343	основой художественного	1	1
344	комизм и	1	1
345	как у	1	1
346	того и	1	1
347	в статье	1	1
348	случае не	2	1
349	искусства не	1	1
350	а именно	2	1
351	хотя и	4	1
352	оценки и	1	1
353	героев или	1	1
354	этого в	1	1
355	в творческом	2	1
356	и приобретает	1	1
357	на их	1	1
358	к одному	1	1
359	здесь как	1	1
360	а с	2	1
361	не могли	1	1
362	между несколькими	1	1
363	но вы	1	1
364	к самому	1	1
365	в свою	3	1
366	а только	4	1
367	части и	1	1
368	также может	1	1
369	образом и	2	1
370	и оценки	1	1
371	быть это	1	1
372	вошел в	1	1
373	не совпадает	1	1
374	что говорит	1	1
375	что это	1	1
