N	2gram	Tiupa_Teor_1	OGranits
1	и в	18	13
2	и его	8	12
3	прежде всего	2	9
4	может быть	17	8
5	не может	4	8
6	и не	13	8
7	и т.п	4	7
8	в его	6	7
9	и их	1	7
10	точки зрения	9	7
11	эстетический объект	3	7
12	только в	6	6
13	как бы	5	6
14	не только	16	6
15	то что	3	6
16	таким образом	3	6
17	художественного произведения	4	5
18	и т.д	3	5
19	в поэзии	2	5
20	с точки	3	5
21	эстетического объекта	2	5
22	еще и	1	4
23	на фоне	2	4
24	но в	9	4
25	то же	7	4
26	лишь в	6	4
27	в своей	6	4
28	было бы	1	4
29	все это	2	4
30	только и	1	4
31	в двух	1	4
32	не является	4	4
33	материала в	2	4
34	в каждом	1	4
35	связана с	1	3
36	и то	2	3
37	в ее	5	3
38	в пределах	5	3
39	так и	10	3
40	при анализе	1	3
41	говорить о	3	3
42	в их	2	3
43	по отношению	4	3
44	за пределы	2	3
45	в которой	2	3
46	в себе	9	3
47	к одному	1	3
48	в одном	2	3
49	так как	1	3
50	одно и	1	3
51	здесь мы	1	3
52	но и	9	3
53	слово в	1	3
54	как и	4	3
55	не в	7	3
56	и для	2	3
57	никогда не	4	3
58	превращается в	2	3
59	отношению к	4	3
60	не столько	1	3
61	что в	9	3
62	в искусстве	6	3
63	и наиболее	1	2
64	для себя	1	2
65	ни одно	1	2
66	и др	1	2
67	данном случае	5	2
68	в произведении	3	2
69	роль в	2	2
70	на две	3	2
71	те же	1	2
72	есть не	1	2
73	мог бы	3	2
74	если бы	3	2
75	и делают	1	2
76	что иное	1	2
77	иное как	1	2
78	не что	1	2
79	ее в	2	2
80	а также	6	2
81	в чем	1	2
82	мы понимаем	1	2
83	между тем	5	2
84	лишь путем	1	2
85	нуждается в	1	2
86	во всей	1	2
87	что они	1	2
88	вслед за	2	2
89	наконец в	1	2
90	как в	5	2
91	в которую	1	2
92	в данном	8	2
93	в этом	8	2
94	в том	16	2
95	мы видим	1	2
96	тот же	1	2
97	с ними	1	2
98	произведения мы	1	2
99	в действительности	1	2
100	или иного	3	2
101	во времени	3	2
102	в целом	3	2
103	и тем	3	2
104	все эти	2	2
105	с одной	2	2
106	в нем	4	2
107	при этом	12	2
108	языка но	1	2
109	для него	2	2
110	в другом	3	2
111	говорить об	1	2
112	отношений между	1	2
113	вовсе не	3	2
114	тем что	1	2
115	в них	2	2
116	и внутренняя	1	2
117	в области	4	2
118	с другой	7	2
119	всей своей	1	2
120	в самом	4	2
121	входит в	1	2
122	того или	3	2
123	одной стороны	2	2
124	соответствии с	2	2
125	литературное произведение	1	2
126	более того	1	2
127	не на	2	2
128	а не	9	2
129	другой стороны	5	2
130	в связи	1	2
131	том что	9	2
132	с помощью	1	2
133	от своего	2	2
134	разрыв между	1	2
135	и ее	3	2
136	так же	2	2
137	в отношении	3	2
138	и помимо	1	2
139	своего рода	7	2
140	литературного произведения	7	2
141	эстетической функции	1	2
142	слова и	1	2
143	художественное произведение	1	2
144	не менее	4	2
145	в структуре	2	2
146	на язык	1	2
147	собственно говоря	1	2
148	от всех	1	2
149	бы в	1	2
150	истории литературы	1	2
151	и является	2	2
152	а в	13	2
153	героя и	5	2
154	и к	3	2
155	имеет место	2	2
156	могут быть	4	2
157	в своих	1	2
158	к тому	2	2
159	обычно в	1	1
160	и это	2	1
161	можно говорить	1	1
162	одним из	2	1
163	также и	1	1
164	же как	1	1
165	своего развития	1	1
166	человека и	1	1
167	в виду	5	1
168	того же	3	1
169	своем составе	3	1
170	на основе	2	1
171	в собственном	1	1
172	в организации	2	1
173	здесь и	1	1
174	в себя	3	1
175	ту же	1	1
176	и до	1	1
177	или иная	1	1
178	можно лишь	1	1
179	с языком	2	1
180	мышления но	1	1
181	можно было	1	1
182	особенно в	1	1
183	повести гоголя	2	1
184	осуществляется в	1	1
185	мы имеем	7	1
186	или их	1	1
187	на первом	1	1
188	содержания в	1	1
189	и о	4	1
190	но у	1	1
191	мы в	2	1
192	комплексов в	1	1
193	говоря и	2	1
194	вопрос о	1	1
195	стиля в	1	1
196	быть может	1	1
197	для этого	1	1
198	по себе	1	1
199	его за	1	1
200	на себя	2	1
201	с ее	3	1
202	и который	2	1
203	сводится к	5	1
204	из того	1	1
205	этого термина	1	1
206	в мире	19	1
207	в каждой	1	1
208	революции в	1	1
209	теории литературы	1	1
210	следует иметь	1	1
211	и что	3	1
212	еще не	4	1
213	хх веке	1	1
214	в широком	1	1
215	столь же	2	1
216	звуков в	1	1
217	времени в	2	1
218	является таким	1	1
219	тем как	1	1
220	в конечном	6	1
221	жизни он	1	1
222	к нему	1	1
223	совсем не	1	1
224	но не	9	1
225	а у	1	1
226	отношение к	5	1
227	художественного впечатления	5	1
228	или иное	1	1
229	в другой	1	1
230	ограниченного числа	1	1
231	на то	1	1
232	своей ценностной	1	1
233	в художественной	1	1
234	строф в	1	1
235	его эстетической	1	1
236	иных жизненных	1	1
237	в одной	1	1
238	полагая что	1	1
239	статье о	1	1
240	в своем	4	1
241	то или	1	1
242	языкового знака	2	1
243	по своей	3	1
244	один из	2	1
245	они хотят	1	1
246	ценностная активность	1	1
247	и как	2	1
248	языка наиболее	1	1
249	одной из	2	1
250	телу в	1	1
251	что он	1	1
252	более или	2	1
253	звука и	1	1
254	произведения есть	1	1
255	или иную	1	1
256	который в	2	1
257	в значительной	1	1
258	этим словом	1	1
259	состоит не	1	1
260	так в	4	1
261	в этой	3	1
262	для всех	1	1
263	с их	2	1
264	с одним	1	1
265	только на	1	1
266	если он	1	1
267	становится эстетическим	1	1
268	себя и	1	1
269	три стороны	1	1
270	вследствие этого	1	1
271	является не	1	1
272	что она	2	1
273	в статье	1	1
274	речь в	1	1
275	или даже	4	1
276	конечном счете	6	1
277	ту или	1	1
278	никто не	2	1
279	в узком	3	1
280	состоит в	17	1
281	художественного высказывания	3	1
282	внутренней речи	13	1
283	в конце	2	1
284	одном случае	1	1
285	картины мира	1	1
286	подобно тому	1	1
287	с системой	1	1
288	отличие от	6	1
289	на этом	1	1
290	его можно	1	1
291	говорит следующее	1	1
292	встречаются в	1	1
293	или иных	3	1
294	ее на	1	1
295	не должно	1	1
296	человеческое тело	1	1
297	для того	1	1
298	в особенности	1	1
299	к другому	1	1
300	особенности в	1	1
301	бы быть	1	1
302	в лирике	2	1
303	и здесь	2	1
304	его в	2	1
305	как к	2	1
306	значимым и	1	1
307	искусства в	2	1
308	если говорить	1	1
309	ко второму	1	1
310	и иных	1	1
311	к которому	3	1
312	вещами как	1	1
313	свести к	1	1
314	и дает	1	1
315	организации художественного	6	1
316	такого понимания	1	1
317	заключается в	2	1
318	членения и	1	1
319	только к	1	1
320	только одно	1	1
321	больше и	1	1
322	отношений здесь	1	1
323	в хх	1	1
324	к более	1	1
325	т.д как	1	1
326	не было	1	1
327	она и	1	1
328	о художественном	1	1
329	а на	3	1
330	далеко не	2	1
331	из наиболее	1	1
332	лишь одного	1	1
333	когда я	1	1
334	же точно	1	1
335	выбор слова	1	1
336	долгое время	1	1
337	отнюдь не	3	1
338	понятие о	2	1
339	должно быть	1	1
340	иных произведений	1	1
341	теоретической и	1	1
342	автора и	1	1
343	если не	1	1
344	с первых	1	1
345	или менее	2	1
346	сводятся к	2	1
347	одно слово	2	1
348	художественного творчества	1	1
349	нее как	1	1
350	в строке	3	1
351	и особенно	2	1
352	в такой	1	1
353	как это	8	1
354	и синтаксические	1	1
355	в отличие	6	1
356	быть это	1	1
357	такого рода	8	1
358	тому как	1	1
359	и вот	3	1
360	для данного	1	1
361	высказывания и	1	1
362	слова могут	1	1
363	тем не	3	1
364	между индивидуальными	1	1
365	и более	1	1
366	их в	3	1
367	в ряду	1	1
368	для понимания	2	1
369	и наоборот	1	1
370	этой внутренней	1	1
371	что говоря	1	1
372	зрения и	2	1
373	это особенно	1	1
374	этого слова	3	1
