N	4gram	Bakhtin_KF_1	Myslijsy
1	в то же время	2	3
2	в том что между	1	2
3	и по отношению к	1	2
4	один и тот же	1	2
5	тем не менее в	1	1
6	с точки зрения той	1	1
7	в том смысле в	1	1
8	одного и того же	1	1
9	по отношению к нему	4	1
10	хотя бы и с	1	1
11	не подлежит сомнению но	1	1
12	никогда не может стать	1	1
13	в том случае когда	1	1
14	бы он ни был	2	1
15	то же самое что	1	1
16	одна и та же	1	1
17	здесь дело не в	1	1
18	только в том что	1	1
19	дело в том что	1	1
20	а не в ее	1	1
21	как бы он ни	1	1
