N	3gram	Bakhtin_fo_1	Tvorches
1	то же время	9	7
2	в то же	6	7
3	в соответствии с	2	4
4	по отношению к	3	3
5	до сих пор	3	3
6	не может быть	3	3
7	в самом деле	1	2
8	и в то	5	2
9	в отличие от	2	2
10	так же как	2	2
11	в том же	1	2
12	во всяком случае	1	2
13	в античной трагедии	1	2
14	так и в	1	2
15	и т п	8	2
16	о том что	1	2
17	в том что	2	2
18	в другом месте	1	1
19	том что в	1	1
20	в чем не	2	1
21	мы уже говорили	3	1
22	как и для	2	1
23	дело в том	2	1
24	преступление и наказание	1	1
25	в том числе	4	1
26	же как и	2	1
27	он ни был	1	1
28	следуют друг за	1	1
29	достоевского преступление и	1	1
30	сами по себе	1	1
31	в этот день	1	1
32	например в романе	1	1
33	и в дальнейшем	1	1
34	мы видим в	1	1
35	начале xx века	1	1
36	что в нем	1	1
37	большую роль в	1	1
38	при первой встрече	1	1
39	человека в его	3	1
40	со всех сторон	1	1
41	так сказать в	1	1
42	но в то	1	1
43	в первый раз	1	1
44	в противоречии с	1	1
45	однако не может	1	1
46	романа то есть	2	1
47	и в этом	1	1
48	не могут быть	1	1
49	в свою очередь	1	1
50	той или иной	2	1
51	в связи с	5	1
52	ведь в этом	1	1
53	в виду что	1	1
54	к тому же	2	1
55	соответствии с этим	2	1
56	одну и ту	1	1
57	в стороне от	1	1
58	жизни то есть	2	1
59	однако этот быт	1	1
60	в то время	3	1
61	с одной из	1	1
62	ни в чем	2	1
63	в романе не	2	1
64	в нем нет	2	1
65	то что не	1	1
66	самим героем и	1	1
67	с самого начала	2	1
68	но отнюдь не	1	1
69	отметим лишь что	1	1
70	том числе и	2	1
71	или во всяком	1	1
72	бы он ни	1	1
73	в частности с	1	1
74	и ту же	1	1
75	и в литературе	1	1
76	и прежде всего	2	1
77	друг за другом	2	1
78	и в том	1	1
79	героя и его	1	1
80	в конце романа	5	1
81	в высшей степени	1	1
82	как и в	2	1
83	на другой день	2	1
84	мы говорим о	1	1
