N	2gram	Savitsky_E_1	IolandNe
1	и с	2	3
2	и не	14	2
3	в этом	12	2
4	он не	2	2
5	что в	21	2
6	и тот	1	1
7	а для	1	1
8	и в	37	1
9	и о	1	1
10	в эту	2	1
11	то и	1	1
12	с а	2	1
13	то она	1	1
14	бы в	2	1
15	более чем	2	1
16	бы столь	1	1
17	того же	3	1
18	при такой	1	1
19	значительной мере	1	1
20	и со	3	1
21	с другой	7	1
22	кто иной	1	1
23	иной как	1	1
24	и та	2	1
25	а в	2	1
26	вплоть до	1	1
27	доказать что	1	1
28	так то	1	1
29	того что	7	1
30	не дает	3	1
31	цель и	1	1
32	в брошюре	1	1
33	другой стороны	2	1
34	и еще	2	1
35	для него	1	1
36	а также	7	1
37	в основе	1	1
38	что для	1	1
39	что при	1	1
40	в значительной	2	1
41	говорить о	1	1
42	и творчества	2	1
43	и сам	1	1
44	есть только	1	1
45	а если	1	1
46	так и	10	1
47	от этого	5	1
48	того чтобы	6	1
49	во многом	2	1
50	никогда не	3	1
51	когда его	1	1
52	та и	1	1
53	жизни и	2	1
54	тех же	1	1
55	тем что	3	1
56	по отношению	1	1
57	очевидно что	3	1
58	в них	3	1
59	все эти	1	1
60	но когда	1	1
61	от нее	1	1
62	не кто	1	1
63	если бы	2	1
64	для того	6	1
