N	2gram	Propp_Morf_1	Vladivir
1	и в	13	30
2	то что	8	20
3	в этом	14	20
4	у него	1	19
5	в том	6	18
6	и не	12	18
7	и с	1	14
8	а н	1	14
9	что он	4	13
10	же с	1	13
11	там же	1	12
12	что в	8	12
13	не только	4	12
14	том что	4	12
15	а в	7	11
16	в его	1	11
17	как мы	6	11
18	сказать что	2	11
19	в с	1	10
20	и даже	1	10
21	а также	4	10
22	все же	7	9
23	не может	14	9
24	кроме того	1	9
25	не в	3	9
26	потому что	3	9
27	для него	1	9
28	в то	3	9
29	было бы	3	9
30	в связи	9	8
31	связи с	10	8
32	что же	2	8
33	но и	4	8
34	но в	2	8
35	для нас	2	7
36	в эти	1	7
37	не менее	5	7
38	и все	1	7
39	точки зрения	2	7
40	как это	3	7
41	между прочим	1	7
42	а не	11	7
43	может быть	52	7
44	которую он	1	7
45	ни в	1	7
46	в себе	1	6
47	во всяком	2	6
48	еще и	1	6
49	и к	4	6
50	прежде всего	9	6
51	и его	1	6
52	у нас	2	6
53	всяком случае	2	6
54	он был	1	6
55	хотя и	3	6
56	тем не	5	6
57	только в	2	6
58	о чем	1	6
59	об этом	4	6
60	также и	4	6
61	то время	3	6
62	к этому	3	6
63	а именно	1	6
64	все эти	2	5
65	это мы	1	5
66	из этого	1	5
67	как и	3	5
68	к концу	1	5
69	при этом	1	5
70	о его	1	5
71	так и	6	5
72	в своей	1	5
73	того что	3	5
74	так что	1	5
75	в течение	1	5
76	с этим	11	5
77	и что	2	5
78	в результате	7	5
79	то в	3	5
80	же касается	1	5
81	и то	1	5
82	так как	16	5
83	как бы	3	5
84	в которой	3	4
85	на его	4	4
86	и наконец	1	4
87	можно сказать	2	4
88	так же	3	4
89	после смерти	1	4
90	здесь не	2	4
91	вовсе не	4	4
92	что это	1	4
93	в это	1	4
94	его в	2	4
95	совсем не	3	4
96	с этой	1	4
97	отношение к	1	4
98	в начале	3	4
99	то же	7	4
100	для меня	1	4
101	в целом	3	4
102	что его	2	4
103	мы должны	3	4
104	то это	3	4
105	это было	3	4
106	со стороны	3	4
107	в этой	2	4
108	в этих	13	4
109	и на	1	4
110	он не	3	4
111	несмотря на	4	4
112	с его	2	4
113	о том	2	4
114	это время	1	4
115	на этот	1	4
116	но это	6	4
117	не есть	1	4
118	как в	3	3
119	когда мы	1	3
120	а а	2	3
121	и вот	1	3
122	но он	1	3
123	учение о	3	3
124	таким образом	21	3
125	в виде	2	3
126	никак нельзя	1	3
127	во всех	4	3
128	те же	1	3
129	им в	1	3
130	но не	4	3
131	хотя бы	4	3
132	здесь мы	3	3
133	дело в	1	3
134	вплоть до	1	3
135	что касается	1	3
136	но вот	2	3
137	в таком	1	3
138	к ней	1	3
139	с точки	2	3
140	из этих	1	3
141	отличие от	1	3
142	можно говорить	1	3
143	он называет	1	3
144	сказать о	2	3
145	в очень	1	3
146	должно быть	1	3
147	не столько	1	3
148	уже не	2	3
149	или менее	2	3
150	сведения о	1	3
151	только и	1	3
152	более или	2	3
153	в них	1	3
154	и для	2	3
155	что и	7	3
156	в россии	2	3
157	мы будем	3	3
158	само собой	1	3
159	по существу	12	3
160	в области	1	3
161	точно так	1	3
162	и как	5	3
163	большой интерес	1	3
164	в данном	1	3
165	очень много	1	2
166	эти признаки	1	2
167	на другие	2	2
168	время как	3	2
169	людей в	1	2
170	стремится к	1	2
171	после того	1	2
172	а то	3	2
173	это нисколько	1	2
174	исходить из	1	2
175	к нему	3	2
176	на то	2	2
177	на обратном	1	2
178	на эту	1	2
179	у вас	1	2
180	даже в	1	2
181	его и	2	2
182	настоящее время	3	2
183	мы пока	2	2
184	мы не	8	2
185	сведений о	1	2
186	на котором	3	2
187	нисколько не	1	2
188	наряду с	5	2
189	это значит	1	2
190	же они	2	2
191	с тем	2	2
192	если не	1	2
193	есть и	4	2
194	но кроме	1	2
195	он сам	1	2
196	мы находим	1	2
197	но все	3	2
198	этого не	2	2
199	меня не	1	2
200	кажется что	1	2
201	и притом	1	2
202	в той	1	2
203	данном случае	1	2
204	к тому	4	2
205	это не	6	2
206	из его	2	2
207	на все	1	2
208	не имеет	2	2
209	то с	2	2
210	в чем	1	2
211	что не	1	2
212	того чтобы	3	2
213	не на	2	2
214	в самых	2	2
215	г в	1	2
216	или по	2	2
217	в сущности	3	2
218	здесь можно	3	2
219	можно назвать	3	2
220	к этой	1	2
221	во многих	1	2
222	уже давно	1	2
223	для того	2	2
224	она не	2	2
225	в собрании	1	2
226	на первом	1	2
227	ничего не	4	2
228	у которого	1	2
229	и может	1	2
230	ему в	1	2
231	без всякого	2	2
232	что эти	2	2
233	друг друга	3	2
234	на первый	3	2
235	мы уже	1	2
236	не вполне	1	2
237	в настоящее	3	2
238	того как	2	2
239	приходит к	1	2
240	увидим ниже	5	2
241	ли он	1	2
242	а он	1	2
243	три года	3	2
244	и она	1	2
245	на этом	3	2
246	их в	1	2
247	мужа и	1	2
248	но то	1	2
249	в частности	2	2
250	же в	2	2
251	есть нечто	3	2
252	его не	1	2
253	собственно говоря	1	2
254	прочим и	1	2
255	и до	1	2
256	себя в	1	2
257	которое в	1	2
258	или как	1	2
259	и есть	2	2
260	будем говорить	1	2
261	как будто	2	2
262	в виду	1	2
263	можно было	2	2
264	еще в	1	2
265	обратном пути	1	2
266	однако в	2	2
267	и по	2	2
268	по своему	2	2
269	и при	1	2
270	свои собственные	1	1
271	вопрос не	2	1
272	не соответствуют	1	1
273	может не	1	1
274	одним из	1	1
275	и совершенно	1	1
276	и этот	1	1
277	главным образом	4	1
278	о жизни	1	1
279	может только	1	1
280	время уже	1	1
281	известной степени	1	1
282	же он	1	1
283	все более	1	1
284	весь этот	1	1
285	и здесь	5	1
286	в в	2	1
287	но она	1	1
288	также с	1	1
289	очень многое	3	1
290	еще не	3	1
291	в свое	2	1
292	тем временем	2	1
293	что несмотря	1	1
294	в него	1	1
295	в собственном	3	1
296	а ведь	1	1
297	например на	1	1
298	очень часто	6	1
299	говорить о	3	1
300	он едет	1	1
301	на той	2	1
302	бы то	3	1
303	и ни	1	1
304	что они	2	1
305	сам он	3	1
306	все с	1	1
307	как например	2	1
308	даже не	3	1
309	вопрос в	2	1
310	т д	39	1
311	никто не	3	1
312	прежде чем	3	1
313	для всех	1	1
