N	4gram	Vinokur_Vv_1	SlovoVZh
1	дело в том что	2	4
2	так как если бы	1	4
3	бы то ни было	1	3
4	с одной стороны и	3	2
5	не может быть и	1	2
6	одно и то же	1	2
7	мы имеем дело с	1	1
8	мы имеем в виду	1	1
9	в руках у нас	1	1
10	но в то же	3	1
11	сама по себе не	1	1
12	прежде всего именно в	1	1
13	как если бы оно	1	1
14	в ее отношении к	1	1
15	это только одна сторона	1	1
16	и в этом смысле	1	1
17	в то же время	5	1
18	в зависимости от того	1	1
19	с другой стороны как	1	1
20	то ни было области	1	1
21	в том что в	1	1
22	какой бы то ни	1	1
