N	3gram	Nazirov_Tr_1	FransuaR
1	то же время	5	8
2	в то же	5	8
3	как и все	1	5
4	в конце концов	1	4
5	и до конца	1	3
6	в известной мере	1	3
7	это и есть	1	3
8	начала и до	1	3
9	с самого начала	1	3
10	с начала и	1	3
11	о том что	2	2
12	мировой литературы и	1	1
13	и не может	1	1
14	в той же	1	1
15	и в дальнейшем	2	1
16	и то что	1	1
17	за то что	1	1
18	это пародия на	1	1
19	подчеркнуть что образ	1	1
20	второй части романа	1	1
21	в данном случае	2	1
22	но в то	2	1
23	смысле этого слова	1	1
24	в отличие от	2	1
25	и как бы	2	1
26	по природе своей	1	1
27	как своего рода	1	1
28	все же не	1	1
29	в связи с	1	1
30	о чем он	2	1
31	так и в	3	1
32	все эти образы	1	1
33	не может быть	1	1
34	в дальнейшем он	1	1
35	с того что	1	1
36	связан и с	1	1
37	роль в романе	1	1
38	в том что	2	1
39	в разговоре с	1	1
