N	3gram	Berdyaev_O_1	Myshleni
1	в том что	1	21
2	для того чтобы	3	10
3	во всяком случае	1	6
4	не может быть	2	6
5	на то что	1	6
6	по сравнению с	1	5
7	в самом деле	1	4
8	о том что	1	4
9	смысле этого слова	1	3
10	в этом отношении	1	3
11	том что в	1	2
12	в другом месте	1	2
13	само по себе	1	2
14	и в самом	1	2
15	друг с другом	1	2
16	друг к другу	1	1
17	это было бы	2	1
18	о том как	1	1
19	все та же	1	1
20	как и все	2	1
21	сам по себе	1	1
22	то что в	1	1
23	вместо того чтобы	1	1
24	с тем что	2	1
25	ни у кого	2	1
26	но никогда не	1	1
27	в самой природе	1	1
28	в том случае	1	1
29	и то что	1	1
30	не в том	1	1
31	не могут быть	2	1
32	в совершенно ином	1	1
33	что же это	2	1
34	с вопросом о	1	1
35	к чему бы	1	1
36	и все же	1	1
37	у него в	5	1
38	у кого не	1	1
39	том случае если	1	1
40	после того как	1	1
41	как и в	1	1
42	он прежде всего	2	1
