N	2gram	Voloshinov_1	BTomashe
1	у нас	1	3
2	и не	10	2
3	все это	3	2
4	в ней	6	2
5	можно было	1	2
6	не то	1	2
7	крайней мере	1	1
8	более подробно	1	1
9	художественного произведения	7	1
10	же не	1	1
11	за пределы	4	1
12	тем более	1	1
13	бы только	1	1
14	и в	12	1
15	не вполне	1	1
16	и о	1	1
17	выходит за	1	1
18	что все	1	1
19	это вместе	1	1
20	с другой	4	1
21	в своей	3	1
22	на самом	4	1
23	на которой	1	1
24	как будто	1	1
25	точно и	1	1
26	было бы	1	1
27	все же	4	1
28	всяком случае	1	1
29	кроме того	2	1
30	между ними	2	1
31	словесного творчества	1	1
32	еще не	3	1
33	художественном произведении	3	1
34	и на	4	1
35	очень узко	1	1
36	автора по	1	1
37	в пределах	3	1
38	по поэтике	1	1
39	работу по	1	1
40	должна быть	5	1
41	в значительной	1	1
42	прежде всего	8	1
43	в данном	2	1
44	и во	1	1
45	так и	4	1
46	не было	1	1
47	является только	1	1
48	далеко не	1	1
49	было говорить	1	1
50	можно в	1	1
51	до конца	2	1
52	стиля и	1	1
53	а не	5	1
54	что в	2	1
55	в области	1	1
56	другой стороны	2	1
57	и ее	3	1
58	по крайней	1	1
59	отнюдь не	5	1
60	таким образом	12	1
61	и более	3	1
62	и потому	2	1
63	не только	4	1
64	значительной степени	1	1
65	во всяком	1	1
