N	3gram	Losev_Dial_1	VerxiiNi
1	с одной стороны	2	7
2	с точки зрения	12	6
3	во всяком случае	2	6
4	более или менее	3	5
5	до сих пор	2	5
6	по крайней мере	4	5
7	друг с другом	1	5
8	для того чтобы	1	5
9	о том что	2	4
10	но все же	1	4
11	к тому же	1	4
12	так или иначе	1	3
13	точно так же	2	3
14	в конце концов	3	3
15	в связи с	1	3
16	тем не менее	1	3
17	в том что	7	3
18	то ясно что	1	2
19	то же самое	1	2
20	те и другие	1	2
21	но все это	2	2
22	потому что и	2	2
23	в этом отношении	2	2
24	то или иное	2	2
25	может быть и	3	2
26	по сравнению с	2	2
27	то что он	1	2
28	то же время	4	2
29	ничего общего с	3	2
30	с самого начала	1	2
31	он не имеет	1	2
32	той или иной	3	2
33	можно сказать что	3	2
34	на то что	4	2
35	в то же	4	2
36	и в этом	3	2
37	людей и богов	1	1
38	а между тем	1	1
39	и есть то	1	1
40	о мире как	1	1
41	сказать что в	1	1
42	иметь в виду	3	1
43	в самом деле	1	1
44	крайней мере в	1	1
45	а потому что	1	1
46	очень много но	1	1
47	и в то	2	1
48	до известной степени	1	1
49	сами по себе	1	1
50	не существует ибо	1	1
51	в первую очередь	1	1
52	но для этого	1	1
53	все это мы	1	1
54	том или ином	1	1
55	это как не	1	1
56	и состоит из	2	1
57	не указывает на	1	1
58	которые могли бы	1	1
59	не потому что	1	1
60	но в то	1	1
61	надо помнить что	1	1
62	или по крайней	2	1
63	с ней и	1	1
64	не в том	1	1
65	друг к другу	2	1
66	не имеет никакого	3	1
67	с другой стороны	4	1
68	что оно имеет	1	1
69	а в том	1	1
70	только то что	3	1
71	сих пор не	1	1
72	что учение о	1	1
73	может ли быть	1	1
74	но в конце	1	1
75	не может быть	3	1
76	может и не	2	1
77	в то время	1	1
78	и что она	1	1
79	это и есть	2	1
80	и из которого	1	1
81	весь мир то	1	1
82	ничего подобного нет	1	1
83	что это есть	1	1
84	и так и	1	1
85	добра и зла	1	1
86	но эта связь	1	1
87	может показаться что	1	1
88	а с точки	2	1
89	отчасти может быть	1	1
90	что это как	1	1
