N	2gram	Medvedev_B_1	Psycholo
1	и в	1	30
2	что в	1	24
3	таким образом	1	20
4	не только	1	16
5	с другой	1	9
6	а не	1	8
7	все же	1	7
8	что все	1	6
9	никак не	1	6
10	как будто	1	6
11	и не	2	6
12	совершенно не	1	6
13	еще не	1	5
14	было бы	1	5
15	и потому	1	5
16	другой стороны	1	5
17	в ней	2	4
18	в своей	1	4
19	у нас	3	4
20	прежде всего	1	4
21	художественного произведения	1	3
22	и о	1	3
23	и на	1	3
24	можно было	2	3
25	об этом	1	3
26	вопрос о	1	3
27	так и	1	3
28	в данном	1	3
29	художественном произведении	1	2
30	должна быть	1	2
31	на самом	1	2
32	же не	1	2
33	до конца	1	2
34	все это	2	2
35	между ними	1	2
36	не все	1	1
37	и нет	1	1
38	включать в	1	1
39	остановиться на	1	1
40	сейчас в	1	1
41	свести к	1	1
42	о художественной	1	1
43	далеко не	1	1
44	в научном	1	1
45	только ли	1	1
46	по крайней	1	1
47	и меньше	1	1
48	больше чем	2	1
49	к ней	1	1
50	в области	1	1
51	достаточно точно	1	1
52	то как	1	1
53	но автор	1	1
54	говорить не	1	1
55	в значительной	1	1
56	и во	1	1
57	крайней мере	1	1
58	на которой	1	1
59	не выясняется	1	1
60	не о	1	1
61	одной из	1	1
62	и ее	1	1
63	создает впечатление	1	1
64	не было	1	1
65	не то	2	1
66	в речи	1	1
67	этих приемов	1	1
68	лучше и	2	1
69	точно и	1	1
70	всего в	1	1
71	тем более	1	1
72	будто бы	1	1
73	во всяком	1	1
