N	4gram	Savitsky_E_1	FransuaR
1	в то же время	14	5
2	в большей или меньшей	1	2
3	с одной стороны и	6	2
4	большей или меньшей степени	1	2
5	с другой стороны в	1	1
6	можно сказать что в	2	1
7	и примыкающих к ним	1	1
8	но в то же	2	1
9	и до настоящего времени	1	1
10	в той или иной	3	1
11	дело в том что	1	1
12	одного и того же	1	1
13	имеют существенное значение в	1	1
14	плоть от плоти и	1	1
15	плоти и кровь от	1	1
16	и кровь от крови	1	1
17	заключается в том что	2	1
18	от плоти и кровь	1	1
19	один и тот же	1	1
