N	2gram	Kanaev_Sov_1	Marksizm
1	может быть	12	28
2	и пр	2	25
3	и в	7	19
4	как бы	4	19
5	и не	6	19
6	в процессе	1	18
7	не может	17	18
8	точки зрения	12	17
9	то же	3	16
10	и его	1	16
11	как мы	2	15
12	в этом	7	15
13	так сказать	2	14
14	таким образом	11	14
15	не только	4	13
16	с точки	5	13
17	связи с	1	13
18	в нем	3	11
19	если бы	1	11
20	вовсе не	1	11
21	не в	3	10
22	и т.п	1	10
23	том что	1	10
24	самом деле	2	9
25	при этом	3	9
26	как и	6	9
27	а не	3	9
28	с его	1	8
29	по отношению	1	8
30	в то	1	8
31	же время	1	8
32	только в	1	8
33	отнюдь не	3	8
34	не является	1	8
35	отношению к	1	8
36	на самом	1	7
37	его в	1	7
38	и более	1	7
39	одна из	3	7
40	никогда не	1	7
41	в том	4	7
42	прежде всего	5	7
43	в связи	1	7
44	и для	1	7
45	но в	3	7
46	в таком	2	7
47	мы уже	1	6
48	во всех	1	6
49	в самом	2	6
50	если мы	4	6
51	ни в	1	6
52	речи мы	1	6
53	же самое	2	6
54	и следовательно	1	6
55	быть и	2	6
56	мы можем	6	6
57	с помощью	4	6
58	и все	3	6
59	ни было	1	6
60	в свою	2	6
61	того же	1	5
62	к другому	1	5
63	все же	3	5
64	то ни	2	5
65	на этой	3	5
66	в данном	1	5
67	самого начала	3	5
68	свою очередь	2	5
69	с самого	3	5
70	к нему	1	5
71	в его	2	5
72	в большинстве	1	5
73	или иной	2	5
74	совершенно не	2	5
75	к этому	1	5
76	так же	1	5
77	тем же	2	4
78	все те	2	4
79	в жизненной	1	4
80	бы то	1	4
81	конечно не	1	4
82	только на	1	4
83	в себе	3	4
84	значение в	2	4
85	в данной	1	4
86	это не	4	4
87	было бы	3	4
88	ведь если	1	4
89	мы видели	4	4
90	ничего не	6	4
91	и т.д	3	4
92	той или	1	4
93	из одного	2	4
94	и их	1	4
95	сказать что	1	4
96	и до	1	3
97	не имеют	1	3
98	в ней	1	3
99	еще не	3	3
100	отличие от	2	3
101	чем же	1	3
102	с этим	2	3
103	все эти	5	3
104	в этой	3	3
105	нами в	1	3
106	но ведь	1	3
107	он не	1	3
108	в корне	1	3
109	какой бы	1	3
110	не будет	1	3
111	в другом	1	3
112	конечно в	2	3
113	той же	2	3
114	форму и	1	3
115	мы постараемся	1	3
116	по себе	1	3
117	в отличие	2	3
118	не имеет	1	3
119	каждый раз	6	3
120	у нас	3	3
121	могут быть	2	3
122	для его	2	3
123	и это	1	3
124	оно может	1	3
125	о том	1	3
126	одной из	1	3
127	в какой	1	3
128	с одной	2	3
129	его и	1	3
130	так как	4	3
131	до сих	1	3
132	с другой	1	3
133	в живом	2	3
134	не было	1	3
135	одной стороны	1	3
136	как целого	1	3
137	должно быть	1	3
138	и от	1	3
139	сих пор	1	3
140	а в	4	3
141	во всяком	2	3
142	лишь там	1	2
143	в зависимости	4	2
144	принадлежит только	1	2
145	вопрос о	4	2
146	осуществляется только	1	2
147	имеют место	1	2
148	зависимости от	4	2
149	именно эти	1	2
150	чрезвычайно плохо	1	2
151	иное как	1	2
152	но как	1	2
153	конечно совершенно	1	2
154	независимо от	1	2
155	опирается на	1	2
156	стороны и	1	2
157	в своем	1	2
158	более и	1	2
159	общий характер	1	2
160	что это	2	2
161	в нашем	2	2
162	xviii и	1	2
163	эта система	1	2
164	может стать	1	2
165	уже знаем	1	2
166	рядом с	1	2
167	можем сказать	1	2
168	и потому	3	2
169	всегда и	1	2
170	мы не	9	2
171	и всюду	1	2
172	и тогда	1	2
173	зрения своего	1	2
174	теперь мы	1	2
175	является только	1	2
176	точку зрения	4	2
177	по крайней	1	2
178	но они	1	2
179	и подходы	1	2
180	или как	1	2
181	его значения	1	2
182	ли это	1	2
183	в живой	1	2
184	и именно	2	2
185	сравнительно с	1	2
186	если же	2	2
187	должен быть	1	2
188	приводит к	2	2
189	поэтому в	1	2
190	и даже	2	2
191	все его	1	2
192	крайней мере	1	2
193	его осуществления	1	2
194	всяком случае	2	2
195	пр но	1	2
196	все время	1	2
197	в самый	1	2
198	будет ли	1	2
199	но не	1	2
200	или же	2	2
201	и у	1	2
202	уже в	3	2
203	его возможных	1	2
204	в виде	2	2
205	но для	1	2
206	мы знаем	2	2
207	ведь это	3	2
208	допустим что	1	2
209	но что	1	2
210	у него	2	2
211	и речи	1	2
212	мы это	1	2
213	именно в	1	2
214	здесь в	1	2
215	и прежде	1	2
216	они не	1	2
217	все более	1	2
218	вместе с	4	2
219	и особенно	1	2
220	направление в	1	2
221	xix века	1	2
222	там где	1	2
223	в начале	1	2
224	или в	1	2
225	себя самого	1	2
226	еще более	2	2
227	в системе	3	2
228	между ними	1	2
229	не знает	1	2
230	жизни и	4	2
231	что в	2	2
232	и эта	1	2
233	как известно	2	1
234	можно говорить	1	1
235	и действительно	1	1
236	человека и	1	1
237	конечно во	1	1
238	но тем	1	1
239	для науки	1	1
240	между двумя	1	1
241	между ним	1	1
242	иметь место	1	1
243	входящих в	1	1
244	и могут	1	1
245	без помощи	1	1
246	этом направлении	1	1
247	нашей науки	1	1
248	конечно нет	1	1
249	это совершенно	1	1
250	не приходится	1	1
251	что уже	1	1
252	именно к	1	1
253	говорить о	2	1
254	что иное	1	1
255	для нашей	1	1
256	подчеркнуть что	1	1
257	принадлежит и	1	1
258	между собой	3	1
259	что его	1	1
260	из этих	2	1
261	видели что	3	1
262	совсем не	1	1
263	то он	1	1
264	точка зрения	1	1
265	при условии	1	1
266	помощью которых	2	1
267	всю эту	1	1
268	мы снова	1	1
269	дает нам	2	1
270	этим мы	3	1
271	и нет	1	1
