N	2gram	Bakhtin_Fr_1	Poddanst
1	не только	10	17
2	и в	65	14
3	и не	22	12
4	в области	7	11
5	в этом	15	10
6	в отношении	6	10
7	но в	14	9
8	то же	1	9
9	в том	16	9
10	в пределах	1	8
11	хотя бы	1	8
12	только в	7	7
13	в то	1	7
14	же время	1	7
15	в ней	6	6
16	xix века	5	6
17	было бы	1	6
18	но и	10	6
19	отношении к	1	5
20	в которых	1	5
21	с другой	3	5
22	может быть	6	5
23	и пр	5	5
24	не в	4	5
25	в своем	8	4
26	и к	4	4
27	как бы	22	4
28	и если	1	4
29	европейской культуры	3	4
30	том что	6	4
31	не может	3	4
32	и потому	10	4
33	большей степени	1	4
34	по себе	1	4
35	что в	3	4
36	же в	2	4
37	то что	3	4
38	мы не	1	3
39	сводится к	1	3
40	между тем	5	3
41	это не	3	3
42	хотя и	2	3
43	и как	1	3
44	с ними	1	3
45	с одной	2	3
46	в себе	3	3
47	в нем	13	3
48	сами по	1	3
49	для того	1	3
50	прежде всего	11	3
51	одной стороны	2	3
52	что мы	2	3
53	и без	2	3
54	с точки	3	3
55	но не	2	3
56	наряду с	2	3
57	могут быть	2	3
58	тем самым	1	3
59	потому что	5	3
60	точки зрения	7	3
61	и это	2	2
62	отношения к	2	2
63	например в	2	2
64	значительной мере	2	2
65	в ее	3	2
66	было в	1	2
67	народа его	1	2
68	которое в	2	2
69	в xix	1	2
70	время в	2	2
71	в значительной	6	2
72	во всех	9	2
73	в которую	1	2
74	говорить о	1	2
75	в общем	4	2
76	во всей	3	2
77	со стороны	1	2
78	с этим	1	2
79	xix век	1	2
80	того что	2	2
81	как мир	1	2
82	бы ни	2	2
83	есть в	5	2
84	в начале	1	2
85	главным образом	6	2
86	и других	3	2
87	в его	9	2
88	из них	4	2
89	где бы	1	2
90	не к	2	2
91	и вот	2	2
92	как раз	3	2
93	по-видимому не	1	2
94	именно как	1	2
95	и с	3	2
96	точек зрения	1	2
97	именно в	1	2
98	в жизни	4	2
99	xix веке	1	2
100	в них	5	2
101	не было	1	2
102	а не	1	2
103	в ряду	3	2
104	в эту	1	2
105	эта идея	1	2
106	образом на	2	2
107	не столько	1	2
108	в тот	1	2
109	культуры в	4	2
110	не менее	1	2
111	все это	9	2
112	между прочим	2	2
113	не о	1	2
114	на этих	1	2
115	одна из	1	2
116	да и	2	2
117	еще более	5	2
118	для нас	4	2
119	в частности	5	2
120	имеет не	1	2
121	так называемые	2	2
122	как на	1	2
123	том числе	10	2
124	в применении	3	1
125	от этой	1	1
126	с другом	1	1
127	связана с	5	1
128	и народному	1	1
129	тем и	1	1
130	индивидуальной личности	1	1
131	раньше в	1	1
132	и этим	2	1
133	в себя	3	1
134	моменты церковного	1	1
135	культуры и	8	1
136	по преимуществу	1	1
137	к жизни	2	1
138	на две	1	1
139	культуры на	1	1
140	к смерти	1	1
141	в рамки	1	1
142	применении к	3	1
143	собственном смысле	1	1
144	был и	1	1
145	те же	1	1
146	особенно в	2	1
147	и само	2	1
148	еще в	1	1
149	в эпоху	9	1
150	в собственном	1	1
151	находится в	1	1
152	не вполне	2	1
153	могут стать	1	1
154	план в	1	1
155	и ее	1	1
156	именно потому	1	1
157	мы и	3	1
158	и здесь	3	1
159	видение и	1	1
160	подчеркнуть что	2	1
161	характер этого	1	1
162	настоящее время	1	1
163	литературы и	5	1
164	еще не	6	1
165	и на	11	1
166	он был	2	1
167	и силы	1	1
168	огромное и	1	1
169	с его	5	1
170	науке и	1	1
171	процесс этот	1	1
172	различия между	2	1
173	случайность в	1	1
174	жить и	3	1
175	что и	1	1
176	отличие от	5	1
177	в стадии	2	1
178	не просто	3	1
179	есть с	1	1
180	выступает как	1	1
181	и чем	1	1
182	них в	1	1
183	веке она	1	1
184	средневековья с	1	1
185	мы хотим	1	1
186	к внешнему	1	1
187	которой в	1	1
188	и мир	1	1
189	как условие	1	1
190	как начало	2	1
191	введении в	1	1
192	известном смысле	1	1
193	мира который	1	1
194	мысль и	1	1
195	все же	6	1
196	не два	1	1
197	в отрыве	2	1
198	мы видим	2	1
199	сфер и	1	1
200	два основных	1	1
201	в какой	1	1
202	и такое	1	1
