N	2gram	Tiupa_Vved_1	Sovremen
1	таким образом	4	8
2	в результате	3	5
3	в этом	21	5
4	не может	7	5
5	мы можем	2	4
6	и наконец	2	4
7	мы не	4	4
8	как бы	4	4
9	все эти	1	3
10	в целом	3	3
11	и мы	1	3
12	не можем	2	3
13	зависимости от	1	3
14	в зависимости	1	3
15	с помощью	1	3
16	из этих	3	2
17	а на	2	2
18	как известно	1	2
19	у нас	1	2
20	на этом	1	2
21	в одном	1	2
22	все же	6	2
23	и в	13	2
24	из четырех	1	2
25	но в	6	2
26	мы должны	1	2
27	что же	3	2
28	в третьем	1	2
29	на этот	1	2
30	все это	1	2
31	в первом	2	2
32	тот же	1	2
33	если мы	1	2
34	и все	4	2
35	мы видели	2	2
36	прежде всего	7	2
37	не только	20	2
38	точки зрения	1	2
39	в виде	1	2
40	то же	5	2
41	из которых	1	2
42	не в	6	2
43	с одной	5	2
44	при этом	26	2
45	мы видим	1	2
46	и не	12	1
47	как мы	3	1
48	в процессе	1	1
49	из двенадцати	1	1
50	двух и	1	1
51	вследствие этого	3	1
52	он не	3	1
53	этот раз	2	1
54	только одно	1	1
55	начало нового	1	1
56	за собой	1	1
57	роль в	1	1
58	как у	1	1
59	их в	2	1
60	то они	1	1
61	и составляет	3	1
62	предлагает нам	1	1
63	любого другого	1	1
64	а в	6	1
65	как целого	1	1
66	в то	4	1
67	в своих	2	1
68	как он	2	1
69	но они	2	1
70	в нашем	6	1
71	не образуется	1	1
72	по своим	3	1
73	свою очередь	4	1
74	должен быть	1	1
75	с другой	5	1
76	и т.п	9	1
77	можно назвать	1	1
78	природы и	1	1
79	отличие от	2	1
80	на второй	1	1
81	как и	11	1
82	еще не	7	1
83	на их	1	1
84	мы всегда	1	1
85	подчеркнуть что	5	1
86	жизни и	7	1
87	еще более	1	1
88	собственно и	1	1
89	о том	5	1
90	того же	1	1
91	один из	3	1
92	его с	2	1
93	на друга	1	1
94	и потому	1	1
95	же в	1	1
96	между собой	2	1
97	же время	3	1
98	так же	1	1
99	для нас	2	1
100	и у	1	1
101	что в	3	1
102	в течение	1	1
103	видим не	1	1
104	а не	15	1
105	реагирует на	1	1
106	так называемый	1	1
107	это делает	1	1
108	той же	1	1
109	между ними	1	1
110	может быть	18	1
111	стороны и	1	1
112	развернуть в	1	1
113	случае он	1	1
114	все равно	2	1
115	мы имеем	5	1
116	тем же	1	1
117	она может	1	1
118	определенным образом	1	1
119	в том	10	1
120	и тот	1	1
121	и т.д	5	1
122	из одного	1	1
123	это не	6	1
124	то она	1	1
125	во внутреннем	1	1
126	это уже	1	1
127	уже в	1	1
128	в себе	5	1
129	одной стороны	5	1
130	друг на	1	1
131	одна из	4	1
132	и даже	1	1
133	именно эта	1	1
134	и от	2	1
135	в этой	1	1
136	но это	3	1
137	у него	1	1
138	принадлежит и	2	1
139	этом случае	1	1
140	что это	1	1
141	он в	1	1
142	не подлежит	1	1
143	в нем	5	1
144	так сказать	2	1
145	значение в	1	1
146	только одна	1	1
147	и к	2	1
148	нам только	1	1
149	же самое	1	1
150	частном случае	1	1
151	между двумя	3	1
152	и по	3	1
153	один и	1	1
154	идет о	1	1
155	и более	3	1
156	только к	1	1
157	в конце	1	1
158	они не	1	1
159	его развития	1	1
160	в свою	4	1
161	том что	7	1
162	в своем	5	1
163	в отличие	2	1
164	которых в	1	1
165	на котором	1	1
