N	3gram	Losev_Prob_1	Poddanst
1	в то же	4	7
2	не только в	1	4
3	в том что	5	4
4	с точки зрения	3	3
5	сами по себе	3	3
6	в сравнении с	1	3
7	в настоящий момент	1	3
8	нужно помнить что	1	2
9	и в то	1	2
10	заключается в том	1	2
11	не только это	1	2
12	прежде чем говорить	1	1
13	более или менее	3	1
14	в настоящее время	3	1
15	в этом смысле	6	1
16	есть прежде всего	1	1
17	начала и конца	1	1
18	и в этом	2	1
19	тот или иной	1	1
20	мы не будем	1	1
21	не было бы	1	1
22	в определенный момент	1	1
23	вместе с тем	1	1
24	и то что	2	1
25	только в ее	1	1
26	все это в	1	1
27	так же как	2	1
28	если бы мы	1	1
29	только в виде	1	1
30	если мы не	1	1
31	в настоящую минуту	1	1
32	бы оно ни	1	1
33	во всяком случае	3	1
34	с другой стороны	3	1
35	не может быть	2	1
36	сливаются в одно	2	1
37	чем говорить о	1	1
38	тем и другим	2	1
39	и тем самым	3	1
40	и тем более	1	1
41	но в то	1	1
42	она не только	1	1
43	в душе своей	1	1
44	в известном смысле	1	1
45	для того чтобы	8	1
46	и т д	10	1
47	в отдельности и	1	1
