N	4gram	Medvedev_V_1	Dialekti
1	в то время как	1	4
2	уже по одному тому	2	2
3	одно и то же	1	2
4	с этой точки зрения	1	2
5	не говоря уже о	1	2
6	по одному тому что	2	2
7	с одной стороны и	2	1
8	понимать в том смысле	1	1
9	говоря уже о том	1	1
10	и есть то что	1	1
11	не чем иным как	1	1
12	это и значит что	1	1
13	самого себя таким образом	1	1
14	есть одно и то	1	1
15	так же как и	1	1
16	и в зависимости от	1	1
17	уже о том что	1	1
18	в том смысле что	1	1
19	в то же время	5	1
20	уже сама по себе	1	1
21	и в то же	3	1
