N	2gram	Berdyaev_O_1	Russkaja
1	не может	4	22
2	и не	13	19
3	в том	5	17
4	в этом	12	17
5	и в	19	14
6	с другом	1	14
7	друг с	1	14
8	то что	5	13
9	самим собой	1	12
10	но и	13	10
11	в себе	3	9
12	не только	11	9
13	том что	2	9
14	может быть	11	9
15	во всяком	1	9
16	того чтобы	4	8
17	прежде всего	9	8
18	самом деле	1	7
19	к богу	1	7
20	и с	2	7
21	россии в	2	7
22	о том	3	7
23	ни к	1	7
24	к которой	1	6
25	в своем	2	6
26	и к	2	6
27	в россии	5	6
28	с тем	2	6
29	в своих	3	6
30	если бы	1	6
31	все это	6	6
32	и для	2	6
33	для того	3	6
34	что он	3	6
35	всяком случае	1	6
36	для него	5	6
37	на самом	1	6
38	вопрос о	10	5
39	и на	2	5
40	во имя	3	5
41	на то	1	5
42	в нем	10	5
43	он не	7	5
44	он должен	1	5
45	было бы	3	5
46	в своей	2	5
47	никогда не	9	5
48	потому что	9	5
49	а потому	1	5
50	хотя бы	3	5
51	а в	5	5
52	жизни в	2	5
53	и то	2	4
54	но не	1	4
55	себе и	1	4
56	все же	2	4
57	не в	11	4
58	в этой	5	4
59	в корне	1	4
60	на земле	4	4
61	в совершенно	1	4
62	том случае	1	4
63	его в	2	4
64	как и	6	4
65	во всем	1	4
66	от того	1	4
67	не могут	3	4
68	в мире	1	4
69	можно было	1	4
70	в его	7	4
71	так как	2	4
72	лишь к	1	4
73	со стороны	1	4
74	что же	2	4
75	как бы	3	4
76	жизни и	1	4
77	что в	4	4
78	к этой	2	4
79	все что	3	4
80	то в	1	3
81	и ни	2	3
82	еще не	3	3
83	он сам	4	3
84	что они	2	3
85	в самом	5	3
86	что это	1	3
87	в другом	2	3
88	лишь в	7	3
89	должно быть	2	3
90	можно ли	2	3
91	одна из	1	3
92	в сознании	1	3
93	что все	2	3
94	вопросу о	1	3
95	что и	2	3
96	того что	3	3
97	из них	1	3
98	в конце	1	3
99	тем что	2	3
100	что для	2	3
101	не было	9	3
102	ко всем	2	3
103	и потому	2	3
104	да и	1	3
105	и как	1	3
106	не есть	2	3
107	случае если	1	3
108	и есть	3	2
109	должна быть	1	2
110	видеть в	1	2
111	к чему	1	2
112	из всех	1	2
113	в ней	1	2
114	там и	1	2
115	существование в	1	2
116	для русской	1	2
117	но в	2	2
118	это есть	1	2
119	все эти	4	2
120	раз навсегда	1	2
121	стремиться к	1	2
122	и вот	3	2
123	так часто	1	2
124	свое учение	1	2
125	в глазах	1	2
126	по себе	2	2
127	и тогда	1	2
128	нисколько не	1	2
129	народа и	1	2
130	в этих	3	2
131	в котором	1	2
132	в силу	1	2
133	и более	1	2
134	любовь к	2	2
135	она не	1	2
136	у него	22	2
137	людей и	1	2
138	как будто	1	2
139	свое собственное	1	2
140	отличается от	1	2
141	указывает на	1	2
142	и о	2	2
143	в борьбе	1	2
144	и что	1	2
145	это потому	1	2
146	любви к	1	2
147	от него	7	2
148	к нему	3	2
149	отметить что	1	2
150	что только	1	2
151	совершенно не	1	2
152	бы ни	1	2
153	их не	2	2
154	так что	2	2
155	уже не	1	2
156	его и	1	2
157	разных сторон	2	2
158	не так	1	2
159	в других	2	2
160	даже и	2	2
161	и даже	1	2
162	у многих	1	2
163	а с	1	2
164	не нужна	1	2
165	а не	11	2
166	в частности	1	2
167	отношения к	1	2
168	единственный путь	1	2
169	но это	1	2
170	и от	3	2
171	с ним	3	2
172	отношении к	1	2
173	в культурном	1	2
174	и состоит	1	2
175	ее в	2	2
176	стоящего над	1	1
177	в силе	1	1
178	и действительно	1	1
179	к удовлетворению	1	1
180	не хочет	1	1
181	ту же	1	1
182	также и	1	1
183	есть не	1	1
184	есть единственное	1	1
185	всему этому	1	1
186	мы не	1	1
187	ни у	2	1
188	великое дело	1	1
189	в сущности	1	1
190	себе что	1	1
191	он был	8	1
192	друг к	1	1
193	и вопрос	1	1
194	к этому	2	1
195	ни минуты	1	1
196	к творчеству	1	1
197	победе над	1	1
198	человек может	1	1
199	в истории	2	1
200	отношение человека	1	1
201	что во	1	1
202	в одной	1	1
203	может принимать	1	1
204	когда он	3	1
205	жизни нет	1	1
206	силе и	1	1
207	от этого	1	1
208	не быть	1	1
209	в которой	2	1
210	того ни	1	1
211	это единственная	1	1
212	только один	1	1
213	он всегда	7	1
214	от которого	1	1
215	о которой	2	1
216	есть дело	1	1
217	они в	1	1
218	же это	2	1
219	есть та	1	1
220	к одному	1	1
221	этой природы	1	1
222	лишь с	1	1
223	заключает в	1	1
224	и заключается	1	1
225	это конечно	1	1
226	тем же	1	1
227	к другу	1	1
228	заключается в	1	1
229	чтобы все	1	1
230	это не	3	1
231	она стала	1	1
232	в жизни	1	1
233	с богом	2	1
234	этого слова	1	1
235	она и	1	1
236	ли может	1	1
237	его было	1	1
238	всегда и	1	1
239	еще одну	1	1
240	в царстве	1	1
241	и без	1	1
242	из которой	1	1
243	оказывается что	1	1
244	он весь	2	1
245	для всякого	2	1
246	эта не	1	1
247	ко всему	1	1
248	вовсе не	1	1
249	дело в	1	1
250	ее с	1	1
251	чувствуется что	2	1
252	у кого	2	1
253	не по	1	1
254	он еще	1	1
255	в какую-то	1	1
256	от власти	1	1
257	в разных	1	1
258	бывает не	1	1
