N	2gram	Voloshinov_1	KFilosof
1	может быть	17	43
2	в его	4	39
3	в нем	4	31
4	не может	8	27
5	и не	4	26
6	и в	16	22
7	для меня	2	20
8	не есть	2	19
9	и его	8	17
10	а не	1	17
11	только в	4	16
12	точки зрения	8	13
13	в этом	9	13
14	для него	6	12
15	ни в	5	12
16	и это	6	12
17	но не	1	12
18	все эти	5	11
19	к нему	1	11
20	в своей	2	11
21	как момент	1	11
22	во всех	3	10
23	с точки	6	10
24	все это	4	10
25	и все	4	9
26	его целом	2	9
27	и для	2	9
28	но и	4	9
29	и есть	3	9
30	как бы	5	9
31	жизни и	3	8
32	со стороны	1	8
33	мир в	1	8
34	лишь в	1	8
35	если бы	1	8
36	было бы	2	8
37	вовсе не	1	7
38	быть только	1	7
39	и здесь	1	7
40	в себя	1	7
41	то что	3	7
42	во всем	1	7
43	на основе	2	7
44	что и	2	7
45	себя в	1	7
46	конечно не	6	7
47	поступка и	1	7
48	момент в	2	6
49	смысл и	1	6
50	и действительно	2	6
51	и их	4	6
52	теоретического познания	1	6
53	в смысле	1	6
54	менее всего	1	6
55	отношение к	5	6
56	совершенно не	8	6
57	в том	3	6
58	и только	9	6
59	в мире	1	6
60	отнюдь не	4	6
61	этот момент	1	6
62	уже не	1	6
63	он не	2	6
64	я не	1	6
65	но это	2	6
66	ни одно	1	5
67	не знает	2	5
68	все же	1	5
69	жизни в	1	5
70	как и	2	5
71	со своего	1	5
72	хотя бы	4	5
73	с ним	2	5
74	что я	1	5
75	никогда не	2	5
76	не имеет	1	5
77	но как	2	5
78	и содержание	2	5
79	но ведь	2	5
80	мы имеем	1	5
81	в основе	3	5
82	со всем	1	5
83	то же	2	5
84	жизнь как	1	5
85	но в	4	5
86	его в	4	5
87	но эта	1	5
88	не только	7	5
89	ко всему	1	5
90	все попытки	1	4
91	входит в	1	4
92	только как	3	4
93	при этом	6	4
94	в каком	2	4
95	как его	1	4
96	в одном	3	4
97	а в	3	4
98	для нас	2	4
99	что в	3	4
100	мира и	3	4
101	и момент	1	4
102	в чем	5	4
103	времени и	1	4
104	и т.д	1	4
105	ни было	2	4
106	о нем	1	4
107	к ним	2	4
108	во всей	2	4
109	в своих	1	4
110	моей жизни	2	4
111	время и	1	4
112	чем не	3	4
113	том что	3	4
114	с ними	4	4
115	в конкретной	1	3
116	и этот	2	3
117	отсюда и	1	3
118	нем и	1	3
119	еще не	5	3
120	в другом	1	3
121	этом смысле	3	3
122	и ни	1	3
123	тогда когда	1	3
124	на своем	1	3
125	не менее	2	3
126	и жизни	1	3
127	что это	2	3
128	сознания и	2	3
129	ним и	1	3
130	мы не	2	3
131	других людей	1	3
132	не дает	1	3
133	моменты и	1	3
134	на язык	3	3
135	и пр	12	3
136	к чему	1	3
137	из него	1	3
138	в корне	1	3
139	на самом	4	3
140	нет и	2	3
141	в момент	1	3
142	что не	2	3
143	для того	1	3
144	ничего не	1	3
145	по своему	2	3
146	в виду	1	3
147	изнутри ее	1	3
148	от того	1	3
149	могут быть	3	3
150	о том	2	3
151	и на	4	3
152	и этим	2	3
153	культуры и	1	3
154	самом деле	6	3
155	в ней	1	3
156	всем его	1	3
157	теории и	1	3
158	и делает	1	3
159	в свою	1	3
160	войти в	2	2
161	всех его	2	2
162	и того	1	2
163	вопрос о	1	2
164	бы оно	1	2
165	в него	5	2
166	включая сюда	1	2
167	говорить о	2	2
168	своем месте	1	2
169	бы то	1	2
170	от этого	1	2
171	прежде всего	9	2
172	не будет	2	2
173	а это	1	2
174	этот мир	1	2
175	так и	4	2
176	жизни является	1	2
177	и ценность	1	2
178	в жизни	2	2
179	быть не	1	2
180	в сознании	1	2
181	его и	1	2
182	человек не	1	2
183	та же	1	2
184	того чтобы	1	2
185	и мы	2	2
186	ничего общего	1	2
187	то ни	1	2
188	все остальное	1	2
189	бы он	1	2
190	с тем	1	2
191	со всеми	2	2
192	что только	1	2
193	его к	1	2
194	совсем не	2	2
195	сводится к	2	2
196	оно не	2	2
197	лишь моментом	1	2
198	это уже	1	2
199	а для	1	2
200	смысла в	1	2
201	конечно в	1	2
202	дело с	1	2
203	кажется что	2	2
204	это только	1	2
205	я и	6	2
206	что есть	1	2
207	события и	1	2
208	т.е не	2	2
209	он может	1	2
210	и эстетический	1	2
211	общего не	1	2
212	и единство	1	2
213	философии жизни	1	2
214	под ним	1	2
215	тот же	1	2
216	дело в	1	2
217	даны в	1	2
218	но всегда	1	2
219	весь мир	1	2
220	еще более	1	2
221	это и	1	2
222	и потому	3	2
223	можно ли	1	2
224	едва ли	3	2
225	и может	4	2
226	может иметь	2	2
227	для этого	2	2
228	и она	3	2
229	и других	2	2
230	в этой	4	2
231	и та	1	2
232	в качестве	1	2
233	и эта	1	2
234	себя и	2	2
235	с его	7	2
236	философии но	1	2
237	каждый момент	1	2
238	мы здесь	1	2
239	в области	3	2
240	его жизни	1	2
241	и отсюда	1	2
242	к этому	2	2
243	что он	2	2
244	и то	1	2
245	к себе	3	2
246	же с	1	2
247	или иной	1	2
248	имеем в	1	2
249	на волю	1	2
250	вытекает из	1	2
251	а с	1	2
252	абстрактный момент	1	2
253	все остальные	2	2
254	и как	3	2
255	все ценности	1	2
256	всей его	1	2
257	жизни но	1	2
258	той или	1	2
259	в данном	1	2
260	факт моего	1	1
261	и содержания	1	1
262	день и	1	1
263	на один	1	1
264	что между	1	1
265	отвлечься от	1	1
266	главным образом	1	1
267	форму и	1	1
268	него все	1	1
269	нуждается в	5	1
270	это может	1	1
271	образом и	1	1
272	при нашем	1	1
273	приводит к	1	1
274	всех сторон	1	1
275	на его	1	1
276	и с	8	1
277	растворяется в	1	1
278	единую ткань	1	1
279	остановимся на	1	1
280	и наконец	4	1
281	во всяком	3	1
282	находится на	2	1
283	должны быть	1	1
284	большинстве случаев	3	1
285	могущие быть	1	1
286	можно сказать	4	1
287	вместе с	3	1
288	всю жизнь	2	1
289	другими словами	2	1
290	и имеют	1	1
291	того же	2	1
292	отличается от	1	1
293	в один	4	1
294	это какой-то	1	1
295	всюду мы	1	1
296	из сознания	1	1
297	значение для	1	1
298	с нашим	1	1
299	к этим	1	1
300	у меня	1	1
301	для всего	1	1
302	и ее	4	1
303	как с	2	1
304	в каких	1	1
305	одна и	1	1
306	а то	1	1
307	к другим	2	1
308	зависит от	1	1
309	а просто	1	1
310	на ее	1	1
311	так чтобы	1	1
312	только при	1	1
313	связь с	1	1
314	одного и	1	1
315	с ней	1	1
316	него т.е	1	1
317	предметов и	1	1
318	пробиться в	2	1
319	в большинстве	3	1
320	конечно и	1	1
321	как раз	1	1
322	и так	2	1
323	бы ни	1	1
324	и теперь	3	1
325	но мы	4	1
326	цели и	2	1
327	и связанных	1	1
328	это в	1	1
329	на некоторых	1	1
330	действительного и	1	1
331	не более	1	1
332	разобранный нами	1	1
333	художественного творчества	4	1
334	не существует	2	1
335	трансцендентальный метод	1	1
336	возврат в	3	1
337	него что	1	1
338	в мир	2	1
339	в основных	1	1
340	имеет места	1	1
341	и культуры	1	1
342	именно оно	1	1
343	где же	1	1
344	в нашем	1	1
345	было с	1	1
346	изнутри самой	1	1
347	ко всякому	3	1
348	ведь это	1	1
349	же в	1	1
350	каких бы	1	1
351	остается и	2	1
352	в эту	1	1
353	не можем	2	1
354	и всех	2	1
355	логическому и	1	1
356	когда он	1	1
357	утверждение что	1	1
358	и такие	1	1
359	действительно великолепное	1	1
360	да мы	1	1
361	это содержание	1	1
362	на чем	1	1
363	где оно	1	1
364	человека все	1	1
365	как не	2	1
366	что может	1	1
367	мир не	1	1
368	здесь в	1	1
369	отвлеченно взятая	1	1
370	между ними	3	1
371	отношения к	3	1
372	связанных с	2	1
373	вся культура	3	1
374	и оценок	1	1
375	к тому	1	1
376	не имеют	1	1
377	заемным светом	1	1
378	отношений между	1	1
379	и даже	4	1
380	хотя и	1	1
381	только что	1	1
382	человека но	1	1
383	в этих	3	1
