N	3gram	Tiupa_Teor_1	Tragedij
1	то же время	5	5
2	в то же	5	5
3	в отличие от	6	2
4	точно так же	1	2
5	в данном случае	5	2
6	но в то	1	2
7	о том что	1	2
8	в том что	8	2
9	а между тем	1	1
10	в этом мире	2	1
11	эта встреча не	1	1
12	в известной степени	1	1
13	ивана карамазова в	1	1
14	говорит о его	1	1
15	черт ивана карамазова	1	1
16	в виду не	3	1
17	тем не менее	3	1
18	не могут быть	2	1
19	и пусть пусть	1	1
20	в связи с	1	1
21	не только к	1	1
22	не может быть	4	1
23	на вопрос о	1	1
24	не только не	2	1
25	в последней главе	1	1
26	к тому что	2	1
27	друг перед другом	1	1
28	добро и зло	1	1
29	как и в	2	1
